column,source_table,business_meaning,available_at,transformation,role,future_risk,allowed_stage,justification,evidence
lead_id,leads,Lead identifier,leads.created_at (intake-snapshot assumption),raw,identifier,LOW,T0|T1|T2,Use original intake value; no later version history is assumed.,P1 temporal ontology
user_type,leads,Lead/customer type,leads.created_at (intake-snapshot assumption),raw,model_feature,LOW,T0|T1|T2,Use original intake value; no later version history is assumed.,P1 temporal ontology
company_size,leads,Company size,leads.created_at (intake-snapshot assumption),raw,model_feature,LOW,T0|T1|T2,Use original intake value; no later version history is assumed.,P1 temporal ontology
industry,leads,Lead industry,leads.created_at (intake-snapshot assumption),raw,model_feature,LOW,T0|T1|T2,Use original intake value; no later version history is assumed.,P1 temporal ontology
search_sector,leads,Requested real-estate sector,leads.created_at (intake-snapshot assumption),raw,model_feature,LOW,T0|T1|T2,Use original intake value; no later version history is assumed.,P1 temporal ontology
search_modality,leads,Rent/sale/both search mode,leads.created_at (intake-snapshot assumption),raw,model_feature,LOW,T0|T1|T2,Use original intake value; no later version history is assumed.,P1 temporal ontology
target_area_sqm,leads,Target area,leads.created_at (intake-snapshot assumption),raw,model_feature,LOW,T0|T1|T2,Use original intake value; no later version history is assumed.,P1 temporal ontology
min_budget_mxn_rent_monthly,leads,Minimum monthly rent budget,leads.created_at (intake-snapshot assumption),raw,model_feature,LOW,T0|T1|T2,Use original intake value; no later version history is assumed.,P1 temporal ontology
max_budget_mxn_rent_monthly,leads,Maximum monthly rent budget,leads.created_at (intake-snapshot assumption),raw,model_feature,LOW,T0|T1|T2,Use original intake value; no later version history is assumed.,P1 temporal ontology
min_budget_mxn_sale_total,leads,Minimum purchase budget,leads.created_at (intake-snapshot assumption),raw,model_feature,LOW,T0|T1|T2,Use original intake value; no later version history is assumed.,P1 temporal ontology
max_budget_mxn_sale_total,leads,Maximum purchase budget,leads.created_at (intake-snapshot assumption),raw,model_feature,LOW,T0|T1|T2,Use original intake value; no later version history is assumed.,P1 temporal ontology
preferred_state,leads,Preferred state,leads.created_at (intake-snapshot assumption),raw,model_feature,LOW,T0|T1|T2,Use original intake value; no later version history is assumed.,P1 temporal ontology
preferred_municipality,leads,Preferred municipality,leads.created_at (intake-snapshot assumption),raw,model_feature,LOW,T0|T1|T2,Use original intake value; no later version history is assumed.,P1 temporal ontology
preferred_corridor,leads,Preferred commercial corridor,leads.created_at (intake-snapshot assumption),raw,model_feature,LOW,T0|T1|T2,Use original intake value; no later version history is assumed.,P1 temporal ontology
source,leads,Acquisition source,leads.created_at (intake-snapshot assumption),raw,model_feature,LOW,T0|T1|T2,Use original intake value; no later version history is assumed.,P1 temporal ontology
prior_searches,leads,Declared prior searches count,Assumed at leads.created_at; not separately timestamped,raw,audit_only,LOW,T0|T1|T2,Requires proof that aggregate is frozen strictly before created_at; prior_searches remains audit-only from prior evidence.,P1 temporal ontology
prior_inquiries,leads,Declared prior inquiries count,Assumed at leads.created_at; not separately timestamped,raw,audit_only,LOW,T0|T1|T2,Requires proof that aggregate is frozen strictly before created_at; prior_searches remains audit-only from prior evidence.,P1 temporal ontology
has_converted_before,leads,Declared prior conversion flag,Assumed at leads.created_at; not separately timestamped,raw,audit_only,LOW,T0|T1|T2,Requires proof that aggregate is frozen strictly before created_at; prior_searches remains audit-only from prior evidence.,P1 temporal ontology
lead_score_internal,leads,Internal pre-existing score,UNKNOWN,raw,forbidden,CRITICAL,T0|T1|T2,FORBIDDEN. Internal score generation time/inputs are unknown.,P1 temporal ontology
created_at,leads,Entity creation timestamp,leads.created_at,raw,policy_guardrail,LOW,T0|T1|T2,Canonical T0 score-time anchor.,P1 temporal ontology
inquiry_id,inquiries,Inquiry identifier,inquiries.inquiry_at,raw,identifier,LOW,T1|T2,Captured on current inquiry.,P1 temporal ontology
lead_id,inquiries,Lead identifier,inquiries.inquiry_at,raw,identifier,LOW,T1|T2,Captured on current inquiry.,P1 temporal ontology
spot_id,inquiries,Spot identifier,inquiries.inquiry_at,raw,identifier,LOW,T1|T2,Captured on current inquiry.,P1 temporal ontology
inquiry_at,inquiries,Inquiry event timestamp,inquiries.inquiry_at,raw,policy_guardrail,LOW,T1|T2,Canonical T1/T2 scoring event time.,P1 temporal ontology
