prediction_key,lead_id,stage,score_time,n_candidates,n_corridor,n_municipality,n_state,n_observed_override
L3615:T1:I16388,3615,T1,2025-05-03T19:20:42.000Z,10,9,0,0,1
L3615:T2:I16386,3615,T2,2025-05-09T19:33:04.000Z,11,10,0,0,1
L3615:T2:I16393,3615,T2,2025-05-13T08:20:06.000Z,11,10,0,0,1
L3615:T2:I16392,3615,T2,2025-07-23T07:41:00.000Z,15,14,0,0,1
L3615:T2:I16391,3615,T2,2025-08-31T07:29:00.000Z,16,15,0,0,1
L3615:T2:I16390,3615,T2,2026-05-11T11:17:00.000Z,36,35,0,0,1
L3615:T2:I16389,3615,T2,2026-05-30T09:39:00.000Z,36,35,0,0,1
L3615:T2:I16387,3615,T2,2026-06-24T10:38:00.000Z,38,37,0,0,1
L3616:T0,3616,T0,2025-01-21T00:00:00.000Z,7,7,0,0,0
L3616:T1:I16394,3616,T1,2025-10-02T16:29:00.000Z,17,16,0,0,1
L3616:T2:I16395,3616,T2,2025-10-09T13:52:00.000Z,17,16,0,0,1
L3616:T2:I16396,3616,T2,2025-12-09T16:10:00.000Z,18,17,0,0,1
L3617:T0,3617,T0,2025-08-11T00:00:00.000Z,37,22,0,15,0
L3617:T1:I16397,3617,T1,2025-08-20T08:34:44.000Z,38,23,0,15,0
L3618:T0,3618,T0,2026-03-23T00:00:00.000Z,65,35,0,30,0
L3618:T1:I16400,3618,T1,2026-03-23T15:02:06.000Z,66,35,0,30,1
L3618:T2:I16399,3618,T2,2026-03-23T17:14:44.000Z,66,35,0,30,1
L3618:T2:I16398,3618,T2,2026-03-24T08:35:28.000Z,65,35,0,30,0
L3618:T2:I16401,3618,T2,2026-03-31T15:59:12.000Z,66,35,0,31,0
L3619:T0,3619,T0,2025-08-21T00:00:00.000Z,17,17,0,0,0
L3619:T1:I16405,3619,T1,2025-08-26T20:06:13.000Z,17,17,0,0,0
L3619:T2:I16404,3619,T2,2025-08-27T10:23:56.000Z,18,17,0,0,1
L3619:T2:I16403,3619,T2,2025-09-01T12:38:30.000Z,18,17,0,0,1
L3619:T2:I16406,3619,T2,2025-10-08T18:24:00.000Z,18,17,0,0,1
