prediction_key,lead_id,stage,score_time,n_candidates,n_snapshot_found,n_availability_known,n_no_snapshot,n_stale_gt_90d,availability_known_rate,max_snapshot_age_days
L910:T2:I4089,910,T2,2026-06-08T13:00:00.000Z,56,56,53,0,3,0.9464285714285714,126.54166666666667
L911:T0,911,T0,2025-05-20T00:00:00.000Z,21,15,14,6,1,0.6666666666666666,106
L911:T1:I4098,911,T1,2025-05-21T15:07:46.000Z,22,16,15,6,1,0.6818181818181818,107.63039351851852
L911:T2:I4094,911,T2,2025-05-25T13:03:13.000Z,22,17,16,5,1,0.7272727272727273,111.54390046296297
L911:T2:I4097,911,T2,2025-05-29T12:07:33.000Z,22,18,16,4,2,0.7272727272727273,115.50524305555555
L911:T2:I4093,911,T2,2025-12-11T11:25:00.000Z,30,30,29,0,1,0.9666666666666667,263.47569444444446
L911:T2:I4095,911,T2,2026-01-27T14:17:00.000Z,32,32,31,0,1,0.96875,92.59513888888888
L911:T2:I4096,911,T2,2026-03-27T14:51:00.000Z,33,33,32,0,1,0.9696969696969697,113.61875
L911:T2:I4092,911,T2,2026-06-02T07:23:00.000Z,41,41,41,0,0,1,86.30763888888889
L912:T0,912,T0,2026-04-04T00:00:00.000Z,53,53,52,0,1,0.9811320754716981,134
L912:T1:I4100,912,T1,2026-04-05T11:28:44.000Z,54,54,53,0,1,0.9814814814814815,135.47828703703703
L912:T2:I4099,912,T2,2026-04-09T16:37:10.000Z,54,54,51,0,3,0.9444444444444444,139.69247685185186
L912:T2:I4103,912,T2,2026-04-16T08:39:32.000Z,54,54,51,0,3,0.9444444444444444,146.36078703703703
L912:T2:I4102,912,T2,2026-04-16T14:26:29.000Z,54,54,51,0,3,0.9444444444444444,146.60172453703703
L912:T2:I4101,912,T2,2026-04-17T17:13:16.000Z,54,54,50,0,4,0.9259259259259259,147.7175462962963
L913:T0,913,T0,2025-10-27T00:00:00.000Z,28,28,26,0,2,0.9285714285714286,142
L913:T1:I4104,913,T1,2025-11-10T14:58:00.000Z,29,29,28,0,1,0.9655172413793104,156.6236111111111
L914:T0,914,T0,2025-04-23T00:00:00.000Z,28,17,16,11,1,0.5714285714285714,93
L914:T1:I4107,914,T1,2025-05-06T19:40:45.000Z,31,22,19,9,3,0.6129032258064516,106.81996527777778
L914:T2:I4106,914,T2,2026-03-18T18:42:00.000Z,74,74,71,0,3,0.9594594594594594,100.77916666666667
L914:T2:I4105,914,T2,2026-04-21T12:42:00.000Z,80,80,78,0,2,0.975,121.52916666666667
L915:T0,915,T0,2026-06-20T00:00:00.000Z,18,18,18,0,0,1,67
L915:T1:I4111,915,T1,2026-06-21T16:08:39.000Z,19,19,19,0,0,1,68.67267361111111
L915:T2:I4108,915,T2,2026-06-23T14:33:14.000Z,18,18,18,0,0,1,70.60641203703703
L915:T2:I4109,915,T2,2026-06-24T07:05:29.000Z,20,20,20,0,0,1,71.29547453703704
L915:T2:I4114,915,T2,2026-07-01T08:13:44.000Z,19,19,19,0,0,1,78.34287037037036
L915:T2:I4110,915,T2,2026-07-02T07:48:08.000Z,20,20,20,0,0,1,79.3250925925926
L915:T2:I4113,915,T2,2026-07-03T08:25:10.000Z,20,20,20,0,0,1,80.35081018518518
L915:T2:I4112,915,T2,2026-07-03T10:52:21.000Z,20,20,20,0,0,1,80.45302083333333
L916:T0,916,T0,2025-06-24T00:00:00.000Z,19,16,14,3,2,0.7368421052631579,117
L916:T1:I4116,916,T1,2025-06-27T11:29:20.000Z,19,16,13,3,3,0.6842105263157895,120.4787037037037
