prediction_key,lead_id,stage,score_time,current_inquiry_id,current_spot_id,inquiry_number,stage_eligibility,target_status,target_value,current_spot_existed_at_score_time,user_type,company_size,industry,search_sector,search_modality,target_area_sqm,min_budget_mxn_rent_monthly,max_budget_mxn_rent_monthly,min_budget_mxn_sale_total,max_budget_mxn_sale_total,preferred_state,preferred_municipality,preferred_corridor,source,channel,message_length,requested_area_sqm,requested_budget_mxn_rent_monthly,requested_budget_mxn_sale_total,urgency_days,asked_visit,hist_prior_inquiry_count,hist_prior_unique_spots,hist_prior_asked_visit_count,hist_prior_asked_visit_rate,hist_prior_message_length_mean,hist_prior_urgency_known_count,hist_prior_urgency_days_mean,hist_max_inquiry_time,natural_light,luminaires,charging_ports,security_type,floor_level,elevators,vertical_height_m,parking_spaces,building_status,floor_material,amenities,prior_searches,prior_inquiries,has_converted_before
L1:T0,1,T0,2025-05-09T00:00:00.000Z,,,0,ELIGIBLE,POSITIVE,1,true,investor,small,financial,Office,sale,690.3,,,38085531.84,56159661.88,Jalisco,Zapopan,andares-puerta-hierro,event,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,7,5,false
L1:T1:I3,1,T1,2025-05-12T16:10:27.000Z,3,1274,1,ELIGIBLE,NEGATIVE,0,true,investor,small,financial,Office,sale,690.3,,,38085531.84,56159661.88,Jalisco,Zapopan,andares-puerta-hierro,event,whatsapp,109,342.5,,56159661.88,247,false,0,0,0,,,0,,,true,2,,basic,3,1,2.9,5,good,concrete,"[""conference_room"", ""loading_dock"", ""meeting_rooms""]",7,5,false
L1:T2:I1,1,T2,2025-05-16T20:03:15.000Z,1,1483,2,ELIGIBLE,NEGATIVE,0,true,investor,small,financial,Office,sale,690.3,,,38085531.84,56159661.88,Jalisco,Zapopan,andares-puerta-hierro,event,email,136,796.3,,56159661.88,134,false,1,1,0,0,109,1,247,2025-05-12T16:10:27.000Z,false,1,,none,30,11,3.3,21,needs_renovation,ceramic,"[""lounge"", ""parking"", ""conference_room"", ""storage""]",7,5,false
L1:T2:I2,1,T2,2025-05-21T18:34:55.000Z,2,2199,3,ELIGIBLE,POSITIVE,1,true,investor,small,financial,Office,sale,690.3,,,38085531.84,56159661.88,Jalisco,Zapopan,andares-puerta-hierro,event,whatsapp,105,709.2,,45923143.49,,false,2,2,0,0,122.5,2,190.5,2025-05-16T20:03:15.000Z,true,0,0,cctv,6,3,4.8,7,new,concrete,[],7,5,false
L1:T2:I4,1,T2,2025-05-22T12:04:52.000Z,4,1761,4,ELIGIBLE,NEGATIVE,0,true,investor,small,financial,Office,sale,690.3,,,38085531.84,56159661.88,Jalisco,Zapopan,andares-puerta-hierro,event,app,119,603.1,,45945811.0,310,false,3,3,0,0,116.66666666666667,2,190.5,2025-05-21T18:34:55.000Z,true,4,13,basic,0,0,2.9,19,fair,wood,"[""gym"", ""meeting_rooms""]",7,5,false
L2:T0,2,T0,2026-02-25T00:00:00.000Z,,,0,ELIGIBLE,NEGATIVE,0,true,tenant_direct,large,financial,Industrial,both,308.3,36459.82,43916.05,6562768.1,8412573.86,Nuevo León,Monterrey,macroplaza,event,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,3,0,false
L2:T1:I5,2,T1,2026-03-04T09:00:43.000Z,5,1855,1,ELIGIBLE,NEGATIVE,0,true,tenant_direct,large,financial,Industrial,both,308.3,36459.82,43916.05,6562768.1,8412573.86,Nuevo León,Monterrey,macroplaza,event,whatsapp,347,327.3,39529.47,8412573.86,,false,0,0,0,,,0,,,true,0,0,full,3,2,2.1,24,good,polished_concrete,"[""storage""]",3,0,false
L3:T0,3,T0,2026-02-18T00:00:00.000Z,,,0,ELIGIBLE,POSITIVE,1,true,investor,large,retail,Office,rent,293.6,90014.07,109010.12,,,Chihuahua,Chihuahua,centro-chihuahua,social,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,0,2,false
L3:T1:I6,3,T1,2026-02-18T14:30:33.000Z,6,2817,1,ELIGIBLE,NEGATIVE,0,true,investor,large,retail,Office,rent,293.6,90014.07,109010.12,,,Chihuahua,Chihuahua,centro-chihuahua,social,app,330,378.1,96582.66,,14,false,0,0,0,,,0,,,true,5,0,basic,1,3,3.4,64,needs_renovation,wood,[],0,2,false
L3:T2:I7,3,T2,2026-02-24T15:02:11.000Z,7,381,2,ELIGIBLE,NEGATIVE,0,true,investor,large,retail,Office,rent,293.6,90014.07,109010.12,,,Chihuahua,Chihuahua,centro-chihuahua,social,whatsapp,216,150.0,109010.12,,108,false,1,1,0,0,330,1,14,2026-02-18T14:30:33.000Z,true,0,0,cctv,1,0,4.3,2,good,polished_concrete,"[""parking""]",0,2,false
L3:T2:I8,3,T2,2026-03-01T12:02:08.000Z,8,1728,3,ELIGIBLE,POSITIVE,1,true,investor,large,retail,Office,rent,293.6,90014.07,109010.12,,,Chihuahua,Chihuahua,centro-chihuahua,social,web,255,316.0,109010.12,,66,false,2,2,0,0,273,2,61,2026-02-24T15:02:11.000Z,false,0,0,basic,3,2,3.0,7,new,,"[""cafeteria"", ""meeting_rooms"", ""gym""]",0,2,false
L4:T0,4,T0,2025-10-29T00:00:00.000Z,,,0,ELIGIBLE,NEGATIVE,0,true,tenant_direct,small,technology,Retail,rent,765.7,177466.89,213134.63,,,CDMX,Benito Juárez,del-valle-narvarte,referral,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,2,6,false
L4:T1:I10,4,T1,2025-10-29T12:13:42.000Z,10,9,1,ELIGIBLE,NEGATIVE,0,true,tenant_direct,small,technology,Retail,rent,765.7,177466.89,213134.63,,,CDMX,Benito Juárez,del-valle-narvarte,referral,email,253,2094.0,183531.85,,,true,0,0,0,,,0,,,true,3,,basic,1,15,0.0,3,fair,concrete,[],2,6,false
L4:T2:I11,4,T2,2025-11-10T11:09:23.000Z,11,2223,2,ELIGIBLE,NEGATIVE,0,true,tenant_direct,small,technology,Retail,rent,765.7,177466.89,213134.63,,,CDMX,Benito Juárez,del-valle-narvarte,referral,web,90,220.0,213134.63,,,false,1,1,1,1,253,0,,2025-10-29T12:13:42.000Z,true,0,,full,0,2,4.9,4,fair,concrete,"[""lounge"", ""rooftop"", ""loading_dock"", ""gym""]",2,6,false
L4:T2:I9,4,T2,2026-01-06T07:24:00.000Z,9,992,3,ELIGIBLE,POSITIVE,1,true,tenant_direct,small,technology,Retail,rent,765.7,177466.89,213134.63,,,CDMX,Benito Juárez,del-valle-narvarte,referral,whatsapp,71,305.0,175984.51,,84,false,2,2,1,0.5,171.5,0,,2025-11-10T11:09:23.000Z,true,40,0,cctv,0,2,4.2,2,good,concrete,[],2,6,false
L4:T2:I12,4,T2,2026-01-23T09:24:00.000Z,12,1845,4,INELIGIBLE_PRIOR_SCHEDULED_VISIT,INELIGIBLE,,true,tenant_direct,small,technology,Retail,rent,765.7,177466.89,213134.63,,,CDMX,Benito Juárez,del-valle-narvarte,referral,email,332,807.0,211665.71,,53,false,3,3,1,0.3333333333333333,138,1,84,2026-01-06T07:24:00.000Z,false,0,0,full,0,1,2.6,12,fair,wood,[],2,6,false
L4:T2:I13,4,T2,2026-06-24T08:15:00.000Z,13,2573,5,INELIGIBLE_PRIOR_SCHEDULED_VISIT,INELIGIBLE,,true,tenant_direct,small,technology,Retail,rent,765.7,177466.89,213134.63,,,CDMX,Benito Juárez,del-valle-narvarte,referral,phone,265,151.5,213134.63,,243,true,4,4,1,0.25,186.5,2,68.5,2026-01-23T09:24:00.000Z,false,0,4,basic,0,1,3.0,2,fair,concrete,"[""lounge"", ""meeting_rooms"", ""security_booth"", ""kitchen""]",2,6,false
L5:T0,5,T0,2025-10-21T00:00:00.000Z,,,0,ELIGIBLE,NEGATIVE,0,true,broker,small,retail,Office,sale,1002.0,,,51611012.33,65602705.67,CDMX,Benito Juárez,del-valle-narvarte,paid,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,0,2,false
L5:T1:I14,5,T1,2025-10-21T15:45:00.000Z,14,60,1,ELIGIBLE,NEGATIVE,0,true,broker,small,retail,Office,sale,1002.0,,,51611012.33,65602705.67,CDMX,Benito Juárez,del-valle-narvarte,paid,web,197,1008.0,,51596758.01,6,false,0,0,0,,,0,,,true,1,0,cctv,0,1,2.4,12,new,polished_concrete,"[""kitchen""]",0,2,false
L6:T0,6,T0,2025-04-21T00:00:00.000Z,,,0,ELIGIBLE,NEGATIVE,0,true,developer,medium,technology,Industrial,rent,487.5,61036.29,74327.44,,,Nuevo León,Monterrey,macroplaza,paid,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,0,12,true
L6:T1:I15,6,T1,2025-10-06T18:45:00.000Z,15,1640,1,ELIGIBLE,NEGATIVE,0,true,developer,medium,technology,Industrial,rent,487.5,61036.29,74327.44,,,Nuevo León,Monterrey,macroplaza,paid,whatsapp,85,978.8,60156.45,,59,false,0,0,0,,,0,,,true,15,2,basic,6,12,8.1,66,fair,concrete,"[""cafeteria"", ""gym"", ""meeting_rooms""]",0,12,true
L7:T0,7,T0,2025-05-24T00:00:00.000Z,,,0,ELIGIBLE,NEGATIVE,0,true,investor,large,retail,Office,sale,620.5,,,27753533.16,32845564.83,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,organic,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,12,0,false
L7:T1:I17,7,T1,2025-06-21T07:49:00.000Z,17,1763,1,ELIGIBLE,NEGATIVE,0,true,investor,large,retail,Office,sale,620.5,,,27753533.16,32845564.83,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,organic,whatsapp,282,599.4,,25900566.21,3,true,0,0,0,,,0,,,true,4,2,full,9,7,2.7,27,fair,ceramic,[],12,0,false
