prediction_key,lead_id,stage,score_time,current_inquiry_id,current_spot_id,inquiry_number,stage_eligibility,target_status,target_value,current_spot_existed_at_score_time,user_type,company_size,industry,search_sector,search_modality,target_area_sqm,min_budget_mxn_rent_monthly,max_budget_mxn_rent_monthly,min_budget_mxn_sale_total,max_budget_mxn_sale_total,preferred_state,preferred_municipality,preferred_corridor,source,channel,message_length,requested_area_sqm,requested_budget_mxn_rent_monthly,requested_budget_mxn_sale_total,urgency_days,asked_visit,hist_prior_inquiry_count,hist_prior_unique_spots,hist_prior_asked_visit_count,hist_prior_asked_visit_rate,hist_prior_message_length_mean,hist_prior_urgency_known_count,hist_prior_urgency_days_mean,hist_max_inquiry_time,natural_light,luminaires,charging_ports,security_type,floor_level,elevators,vertical_height_m,parking_spaces,building_status,floor_material,amenities
L4138:T2:I18778,4138,T2,2026-05-22T17:25:42.000Z,18778,1615,2,ELIGIBLE,NEGATIVE,0,true,investor,large,other,Retail,sale,9222.8,,,16317612.94,19746883.77,CDMX,Benito Juárez,del-valle-narvarte,email,whatsapp,172,153.0,,17607541.29,85,false,1,1,0,0,60,1,68,2026-05-16T19:45:34.000Z,true,11,4,cctv,4,1,2.9,3,fair,polished_concrete,[]
L4138:T2:I18777,4138,T2,2026-05-27T11:12:39.000Z,18777,2719,3,ELIGIBLE,NEGATIVE,0,true,investor,large,other,Retail,sale,9222.8,,,16317612.94,19746883.77,CDMX,Benito Juárez,del-valle-narvarte,email,web,257,593.0,,16313688.21,51,false,2,2,0,0,116,2,76.5,2026-05-22T17:25:42.000Z,true,0,0,cctv,19,6,3.9,3,fair,wood,"[""kitchen""]"
L4139:T1:I18782,4139,T1,2026-06-14T14:33:22.000Z,18782,2976,1,ELIGIBLE,NEGATIVE,0,true,tenant_direct,medium,retail,Industrial,rent,288.3,35019.37,52129.76,,,Querétaro,Querétaro,centro-queretaro,referral,app,125,250.5,44995.22,,23,false,0,0,0,,,0,,,false,0,0,cctv,3,2,,4,good,wood,[]
L4139:T2:I18781,4139,T2,2026-06-15T07:30:50.000Z,18781,1989,2,ELIGIBLE,NEGATIVE,0,true,tenant_direct,medium,retail,Industrial,rent,288.3,35019.37,52129.76,,,Querétaro,Querétaro,centro-queretaro,referral,web,567,960.0,38769.21,,195,false,1,1,0,0,125,1,23,2026-06-14T14:33:22.000Z,false,3,,basic,0,7,6.5,64,needs_renovation,concrete,"[""cafeteria"", ""loading_dock"", ""kitchen"", ""conference_room""]"
L4139:T2:I18783,4139,T2,2026-06-15T20:16:40.000Z,18783,2062,3,ELIGIBLE,NEGATIVE,0,true,tenant_direct,medium,retail,Industrial,rent,288.3,35019.37,52129.76,,,Querétaro,Querétaro,centro-queretaro,referral,app,242,702.4,44540.32,,,false,2,2,0,0,346,2,109,2026-06-15T07:30:50.000Z,false,0,0,basic,0,4,8.6,47,good,concrete,[]
L4139:T2:I18780,4139,T2,2026-06-23T17:22:18.000Z,18780,2021,4,ELIGIBLE,NEGATIVE,0,true,tenant_direct,medium,retail,Industrial,rent,288.3,35019.37,52129.76,,,Querétaro,Querétaro,centro-queretaro,referral,phone,270,293.1,52129.76,,336,false,3,3,0,0,311.3333333333333,2,109,2026-06-15T20:16:40.000Z,true,0,11,basic,1,3,6.1,12,good,ceramic,"[""security_booth"", ""rooftop"", ""storage"", ""kitchen""]"
L4140:T0,4140,T0,2025-12-28T00:00:00.000Z,,,0,ELIGIBLE,POSITIVE,1,true,investor,small,financial,Retail,both,349.7,90936.16,131868.96,16368508.79,95078914.23,CDMX,Miguel Hidalgo,polanco,referral,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,
L4140:T1:I18790,4140,T1,2025-12-30T16:58:00.000Z,18790,641,1,ELIGIBLE,POSITIVE,1,true,investor,small,financial,Retail,both,349.7,90936.16,131868.96,16368508.79,95078914.23,CDMX,Miguel Hidalgo,polanco,referral,whatsapp,185,383.2,121799.67,86993097.15,,false,0,0,0,,,0,,,true,0,0,none,7,3,,5,needs_renovation,concrete,"[""loading_dock"", ""rooftop""]"
L4141:T0,4141,T0,2025-04-02T00:00:00.000Z,,,0,ELIGIBLE,POSITIVE,1,true,tenant_direct,medium,manufacturing,Retail,sale,708.6,,,,44696018.44,Estado de México,Toluca,metepec-toluca,event,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,
L4141:T1:I18793,4141,T1,2025-04-02T19:06:32.000Z,18793,2372,1,ELIGIBLE,NEGATIVE,0,true,tenant_direct,medium,manufacturing,Retail,sale,708.6,,,,44696018.44,Estado de México,Toluca,metepec-toluca,event,email,352,586.8,,44696018.44,312,false,0,0,0,,,0,,,true,8,,basic,3,2,4.6,11,new,concrete,[]
L4141:T2:I18799,4141,T2,2025-04-03T08:17:55.000Z,18799,1842,2,ELIGIBLE,POSITIVE,1,true,tenant_direct,medium,manufacturing,Retail,sale,708.6,,,,44696018.44,Estado de México,Toluca,metepec-toluca,event,web,165,433.0,,33486558.31,,false,1,1,0,0,352,1,312,2025-04-02T19:06:32.000Z,false,9,8,full,7,3,3.6,5,good,polished_concrete,"[""kitchen"", ""rooftop"", ""conference_room""]"
L4142:T0,4142,T0,2025-08-20T00:00:00.000Z,,,0,ELIGIBLE,NEGATIVE,0,true,tenant_direct,enterprise,technology,Land,both,173.3,6692.18,7835.31,1204592.74,1631278.6,Estado de México,Toluca,metepec-toluca,email,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,
L4142:T1:I18805,4142,T1,2025-08-24T17:34:37.000Z,18805,1141,1,ELIGIBLE,NEGATIVE,0,true,tenant_direct,enterprise,technology,Land,both,173.3,6692.18,7835.31,1204592.74,1631278.6,Estado de México,Toluca,metepec-toluca,email,email,224,178.5,7835.31,1571039.86,41,false,0,0,0,,,0,,,true,14,0,basic,10,5,8.4,11,good,carpet,[]
L4142:T2:I18803,4142,T2,2025-08-25T10:21:16.000Z,18803,2065,2,ELIGIBLE,NEGATIVE,0,true,tenant_direct,enterprise,technology,Land,both,173.3,6692.18,7835.31,1204592.74,1631278.6,Estado de México,Toluca,metepec-toluca,email,web,51,276.6,7084.87,1206468.61,,false,1,1,0,0,224,1,41,2025-08-24T17:34:37.000Z,false,0,,basic,5,4,0.0,1,new,polished_concrete,[]
L4142:T2:I18800,4142,T2,2025-08-31T10:05:08.000Z,18800,2464,3,ELIGIBLE,NEGATIVE,0,true,tenant_direct,enterprise,technology,Land,both,173.3,6692.18,7835.31,1204592.74,1631278.6,Estado de México,Toluca,metepec-toluca,email,phone,168,1620.5,7835.31,1631278.6,341,false,2,2,0,0,137.5,1,41,2025-08-25T10:21:16.000Z,false,13,0,basic,0,11,6.8,111,needs_renovation,concrete,"[""gym"", ""parking"", ""kitchen""]"
L4142:T2:I18806,4142,T2,2025-11-17T20:01:00.000Z,18806,2446,4,ELIGIBLE,NEGATIVE,0,true,tenant_direct,enterprise,technology,Land,both,173.3,6692.18,7835.31,1204592.74,1631278.6,Estado de México,Toluca,metepec-toluca,email,whatsapp,405,173.4,5685.81,1415783.96,17,false,3,3,0,0,147.66666666666666,2,191,2025-08-31T10:05:08.000Z,true,28,0,cctv,6,3,2.1,17,good,wood,"[""loading_dock""]"
L4142:T2:I18802,4142,T2,2026-02-02T11:12:00.000Z,18802,808,5,ELIGIBLE,NEGATIVE,0,true,tenant_direct,enterprise,technology,Land,both,173.3,6692.18,7835.31,1204592.74,1631278.6,Estado de México,Toluca,metepec-toluca,email,web,205,666.6,6743.93,1246241.51,271,true,4,4,0,0,212,3,133,2025-11-17T20:01:00.000Z,true,13,2,full,0,4,0.0,2,new,ceramic,"[""security_booth"", ""reception""]"
