metric,count,rate,n,source
rule_direct_conflict_flag,322,0.10733333333333334,3000,ASSESSMENTSOL1_RAW_REPRODUCTION
rule_land_building_copy_flag,230,0.07666666666666666,3000,ASSESSMENTSOL1_RAW_REPRODUCTION
rule_security_ambiguity_flag,327,0.109,3000,ASSESSMENTSOL1_RAW_REPRODUCTION
rule_retail_adaptive_use_flag,109,0.036333333333333336,3000,ASSESSMENTSOL1_RAW_REPRODUCTION
rule_semantic_ambiguity_flag,429,0.143,3000,ASSESSMENTSOL1_RAW_REPRODUCTION
at_least_one_semantic_signal,890,0.2966666666666667,3000,ASSESSMENTSOL1_RAW_REPRODUCTION
two_simultaneous_semantic_signals,91,0.030333333333333334,3000,ASSESSMENTSOL1_RAW_REPRODUCTION
review_tier_none,2110,0.7033333333333334,3000,ASSESSMENTSOL1_RAW_REPRODUCTION
review_tier_ambiguity,386,0.12866666666666668,3000,ASSESSMENTSOL1_RAW_REPRODUCTION
review_tier_direct_conflict,322,0.10733333333333334,3000,ASSESSMENTSOL1_RAW_REPRODUCTION
review_tier_cross_field,182,0.06066666666666667,3000,ASSESSMENTSOL1_RAW_REPRODUCTION
