model_variant,fold,window_start,window_end,n,n_leads,positive_rate,roc_auc,average_precision,pr_auc,log_loss,brier,calibration_intercept,calibration_slope,lift_at_5pct,lift_at_10pct,lift_at_20pct,precision_at_10pct,recall_at_10pct,recall_at_20pct
BASE_RATE,F1,2025-09-01 08:32:31+00:00,2025-10-31 20:25:02+00:00,607,607,0.210873,0.5,0.210873,,0.51561,0.166567,0.07803734779655036,,,,,,,
BASE_RATE,F2,2025-11-01 07:20:27+00:00,2025-12-31 17:16:12+00:00,602,602,0.196013,0.5,0.196013,,0.494909,0.157619,-0.03234542251273287,,,,,,,
BASE_RATE,F3,2026-01-01 07:12:40+00:00,2026-02-28 20:11:00+00:00,578,578,0.205882,0.5,0.205882,,0.50855,0.163527,0.035189245350780496,,,,,,,
BASE_RATE,F4,2026-03-01 10:00:19+00:00,2026-04-30 20:23:09+00:00,603,603,0.220564,0.5,0.220564,,0.528777,0.172296,0.1172847526237153,,,,,,,
BUSINESS_RULE,F1,2025-09-01 08:32:31+00:00,2025-10-31 20:25:02+00:00,607,607,0.210873,0.491274,0.206017,0.209992,0.532999,0.173939,-1.493829,-0.1623,0.917843,0.777408,0.894019,0.163934,0.078125,0.179688
BUSINESS_RULE,F2,2025-11-01 07:20:27+00:00,2025-12-31 17:16:12+00:00,602,602,0.196013,0.472948,0.187702,0.184483,0.519062,0.16745,-1.725409,-0.291281,0.987425,0.919978,0.969744,0.180328,0.09322,0.194915
BUSINESS_RULE,F3,2026-01-01 07:12:40+00:00,2026-02-28 20:11:00+00:00,578,578,0.205882,0.52575,0.224306,0.247364,0.518872,0.167821,-0.971554,0.35557,1.339901,1.08867,1.256158,0.224138,0.109244,0.252101
BUSINESS_RULE,F4,2026-03-01 10:00:19+00:00,2026-04-30 20:23:09+00:00,603,603,0.220564,0.510366,0.222995,0.2097,0.539634,0.177143,-1.216959,0.042749,0.877516,0.966227,0.861803,0.213115,0.097744,0.172932
LOGISTIC_A,F1,2025-09-01 08:32:31+00:00,2025-10-31 20:25:02+00:00,607,607,0.210873,0.505921,0.219331,0.214007,0.53607,0.17296,-1.25141,0.046313,0.917843,0.932889,0.932889,0.196721,0.09375,0.1875
LOGISTIC_A,F2,2025-11-01 07:20:27+00:00,2025-12-31 17:16:12+00:00,602,602,0.196013,0.555785,0.223543,0.220555,0.495267,0.158188,-0.749415,0.471156,0.987425,0.919978,1.307046,0.180328,0.09322,0.262712
LOGISTIC_A,F3,2026-01-01 07:12:40+00:00,2026-02-28 20:11:00+00:00,578,578,0.205882,0.462441,0.204523,0.201197,0.530219,0.169632,-1.900092,-0.378565,1.004926,1.004926,0.921182,0.206897,0.10084,0.184874
LOGISTIC_A,F4,2026-03-01 10:00:19+00:00,2026-04-30 20:23:09+00:00,603,603,0.220564,0.491521,0.221428,0.217481,0.5414,0.176129,-1.48403,-0.156155,1.023769,1.114877,1.011682,0.245902,0.112782,0.203008
LOGISTIC_B,F1,2025-09-01 08:32:31+00:00,2025-10-31 20:25:02+00:00,607,607,0.210873,0.508873,0.213514,0.209366,0.541193,0.174407,-1.298655,0.013698,0.917843,0.777408,0.932889,0.163934,0.078125,0.1875
LOGISTIC_B,F2,2025-11-01 07:20:27+00:00,2025-12-31 17:16:12+00:00,602,602,0.196013,0.538713,0.211,0.20766,0.500359,0.159873,-0.985597,0.299566,0.987425,1.170881,1.054069,0.229508,0.118644,0.211864
LOGISTIC_B,F3,2026-01-01 07:12:40+00:00,2026-02-28 20:11:00+00:00,578,578,0.205882,0.47068,0.205831,0.20019,0.529491,0.169562,-1.723057,-0.257597,0.837438,0.921182,0.963054,0.189655,0.092437,0.193277
LOGISTIC_B,F4,2026-03-01 10:00:19+00:00,2026-04-30 20:23:09+00:00,603,603,0.220564,0.481827,0.218063,0.214575,0.545162,0.177196,-1.59112,-0.229398,0.585011,1.040552,0.974212,0.229508,0.105263,0.195489
LOGISTIC_C,F1,2025-09-01 08:32:31+00:00,2025-10-31 20:25:02+00:00,607,607,0.210873,0.515641,0.216653,0.211877,0.539778,0.174487,-1.193535,0.084039,0.611895,1.01063,1.049501,0.213115,0.101562,0.210938
LOGISTIC_C,F2,2025-11-01 07:20:27+00:00,2025-12-31 17:16:12+00:00,602,602,0.196013,0.538643,0.212309,0.208738,0.501153,0.160135,-0.984244,0.301145,0.822854,1.003612,1.011906,0.196721,0.101695,0.20339
