candidate,fold,n,positive_rate,roc_auc,average_precision,brier,lift_5,lift_10,lift_20,gate_lift10,gate_lift20
R3_MATCH_STATIC_NO_AVAIL,F1,607,0.210873,0.498883,0.206417,0.167980,0.764869,0.932889,0.932889,FAIL,FAIL
R3_MATCH_STATIC_NO_AVAIL,F2,602,0.196013,0.533583,0.212572,0.157713,0.658283,0.919978,1.222720,FAIL,PASS
R3_MATCH_STATIC_NO_AVAIL,F3,578,0.205882,0.502389,0.210646,0.163807,0.837438,1.172414,1.004926,PASS,PASS
R3_MATCH_STATIC_NO_AVAIL,F4,603,0.220564,0.503487,0.225629,0.172498,0.877516,1.040552,0.936743,PASS,FAIL
R4_MATCH_CORE,F1,607,0.210873,0.495678,0.214474,0.166895,1.070817,0.932889,1.010630,FAIL,PASS
R4_MATCH_CORE,F2,602,0.196013,0.540482,0.223210,0.157305,0.658283,1.003612,1.264883,PASS,PASS
R4_MATCH_CORE,F3,578,0.205882,0.510417,0.211714,0.163452,0.837438,1.172414,1.046798,PASS,PASS
R4_MATCH_CORE,F4,603,0.220564,0.504007,0.232134,0.172305,1.023769,1.040552,1.011682,PASS,PASS
R4_MATCH_INTERACTION,F1,607,0.210873,0.511605,0.215198,0.166746,0.917843,0.855149,1.049501,FAIL,PASS
R4_MATCH_INTERACTION,F2,602,0.196013,0.541970,0.223153,0.157225,0.658283,1.087246,1.222720,PASS,PASS
R4_MATCH_INTERACTION,F3,578,0.205882,0.498755,0.211141,0.163631,0.837438,1.172414,1.088670,PASS,PASS
R4_MATCH_INTERACTION,F4,603,0.220564,0.515302,0.237596,0.171945,1.170022,1.040552,1.049152,PASS,PASS
R4_DROP_SECTOR_FINAL,F1,607,0.210873,0.495229,0.210956,0.166917,0.917843,1.010630,0.971760,PASS,FAIL
R4_DROP_SECTOR_FINAL,F2,602,0.196013,0.544597,0.226226,0.157276,0.658283,1.087246,1.307046,PASS,PASS
R4_DROP_SECTOR_FINAL,F3,578,0.205882,0.509996,0.210293,0.163460,0.837438,1.088670,1.130542,PASS,PASS
R4_DROP_SECTOR_FINAL,F4,603,0.220564,0.503663,0.226950,0.172279,1.023769,1.114877,1.049152,PASS,PASS
