population,bin_left,bin_right,count,share
DEVELOPMENT,0,1,6,0.0013736263736263737
DEVELOPMENT,4,5,4,0.0009157509157509158
DEVELOPMENT,5,6,13,0.002976190476190476
DEVELOPMENT,6,7,18,0.004120879120879121
DEVELOPMENT,7,8,45,0.010302197802197802
DEVELOPMENT,8,9,235,0.053800366300366304
DEVELOPMENT,9,10,258,0.059065934065934064
DEVELOPMENT,10,11,48,0.01098901098901099
DEVELOPMENT,11,12,97,0.022206959706959708
DEVELOPMENT,12,13,99,0.022664835164835164
DEVELOPMENT,13,14,198,0.04532967032967033
DEVELOPMENT,14,15,126,0.028846153846153848
DEVELOPMENT,15,16,221,0.050595238095238096
DEVELOPMENT,16,17,376,0.08608058608058608
DEVELOPMENT,17,18,514,0.11767399267399267
DEVELOPMENT,18,19,654,0.14972527472527472
DEVELOPMENT,19,20,941,0.21543040293040294
DEVELOPMENT,20,21,515,0.1179029304029304
CALIBRATION,8,9,6,0.019230769230769232
CALIBRATION,9,10,7,0.022435897435897436
CALIBRATION,12,13,3,0.009615384615384616
CALIBRATION,13,14,8,0.02564102564102564
CALIBRATION,14,15,5,0.016025641025641024
CALIBRATION,15,16,13,0.041666666666666664
CALIBRATION,16,17,22,0.07051282051282051
CALIBRATION,17,18,28,0.08974358974358974
CALIBRATION,18,19,51,0.16346153846153846
CALIBRATION,19,20,91,0.2916666666666667
CALIBRATION,20,21,78,0.25
PROCEDURAL_HOLDOUT_DIAGNOSTIC,8,9,6,0.020689655172413793
PROCEDURAL_HOLDOUT_DIAGNOSTIC,9,10,11,0.03793103448275862
PROCEDURAL_HOLDOUT_DIAGNOSTIC,11,12,3,0.010344827586206896
PROCEDURAL_HOLDOUT_DIAGNOSTIC,12,13,1,0.0034482758620689655
PROCEDURAL_HOLDOUT_DIAGNOSTIC,13,14,2,0.006896551724137931
PROCEDURAL_HOLDOUT_DIAGNOSTIC,14,15,2,0.006896551724137931
PROCEDURAL_HOLDOUT_DIAGNOSTIC,15,16,6,0.020689655172413793
PROCEDURAL_HOLDOUT_DIAGNOSTIC,16,17,27,0.09310344827586207
PROCEDURAL_HOLDOUT_DIAGNOSTIC,17,18,30,0.10344827586206896
PROCEDURAL_HOLDOUT_DIAGNOSTIC,18,19,58,0.2
PROCEDURAL_HOLDOUT_DIAGNOSTIC,19,20,83,0.28620689655172415
PROCEDURAL_HOLDOUT_DIAGNOSTIC,20,21,61,0.2103448275862069
POST_HOLDOUT_AUDIT,8,9,1,0.03333333333333333
POST_HOLDOUT_AUDIT,9,10,1,0.03333333333333333
POST_HOLDOUT_AUDIT,12,13,1,0.03333333333333333
POST_HOLDOUT_AUDIT,13,14,2,0.06666666666666667
POST_HOLDOUT_AUDIT,14,15,1,0.03333333333333333
POST_HOLDOUT_AUDIT,17,18,3,0.1
POST_HOLDOUT_AUDIT,18,19,4,0.13333333333333333
POST_HOLDOUT_AUDIT,19,20,8,0.26666666666666666
POST_HOLDOUT_AUDIT,20,21,9,0.3
