highlight_type,state,municipality,corridor,sector,months,mean_occupancy,mean_absorption_days,mean_similar_available,mean_recent_inquiries,mean_price_sqm_mxn
FAST_ABSORPTION,Chihuahua,Chihuahua,centro-chihuahua,Retail,5,0.7652,74.12,18.8,337.4,314.3
FAST_ABSORPTION,CDMX,Benito Juárez,del-valle-narvarte,Retail,5,0.819,81.06,13.2,303.4,286.096
FAST_ABSORPTION,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Retail,6,0.7495,81.9333,16.5,266.1667,233.33
FAST_ABSORPTION,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Office,4,0.86325,82.775,14.75,312.5,364.0175
FAST_ABSORPTION,Puebla,Puebla,angelopolis-lomas,Retail,10,0.7617,84.46,13.1,308.7,314.565
FAST_ABSORPTION,Nuevo León,San Pedro Garza García,vasconcelos-calzada,Retail,5,0.7874,85.52,19,201.2,287.06
FAST_ABSORPTION,Querétaro,Querétaro,juriquilla-juncos,Retail,7,0.76343,86.3143,14,297.7143,335.67
FAST_ABSORPTION,Sonora,Hermosillo,centenario-colosio,Office,5,0.8446,86.72,18.8,287,361.392
HIGH_OCCUPANCY,Querétaro,Querétaro,juriquilla-juncos,Industrial,4,0.90325,169.025,14.75,309,155.4375
HIGH_OCCUPANCY,Puebla,Puebla,angelopolis-lomas,Industrial,6,0.8995,185.45,11,185.1667,134.0367
HIGH_OCCUPANCY,Nuevo León,Monterrey,macroplaza,Industrial,7,0.89629,152.5,17.7143,387,143.3729
HIGH_OCCUPANCY,Sonora,Hermosillo,centenario-colosio,Industrial,11,0.892,153.0364,17,288.0909,133.8391
HIGH_OCCUPANCY,Estado de México,Toluca,metepec-toluca,Industrial,4,0.88775,176.525,13,188.25,155.15
HIGH_OCCUPANCY,Jalisco,Zapopan,andares-puerta-hierro,Industrial,11,0.881,178.5364,17.1818,189.0909,141.4509
HIGH_OCCUPANCY,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Industrial,6,0.87833,185.05,19.5,299.1667,179.2417
HIGH_OCCUPANCY,CDMX,Cuauhtémoc,roma-condesa,Industrial,6,0.87783,155.6333,16.1667,274.6667,150.6283
