month,n,target_prevalence,asked_visit_rate,mean_inquiries_per_lead_exposure,median_candidate_count,mean_availability_coverage,median_snapshot_age_days,no_serviceable_rate
2025-01,166,0.1927710843373494,0.3192771084337349,5.403614457831325,16,0.07722045589510716,6.5,0.5903614457831325
2025-02,202,0.16336633663366337,0.19801980198019803,5.321782178217822,17,0.23000427079903676,13,0.16336633663366337
2025-03,223,0.19282511210762332,0.242152466367713,4.9192825112107625,18,0.43210099319926804,20.5,0.026905829596412557
2025-04,220,0.20454545454545456,0.2772727272727273,4.868181818181818,22,0.6004016678125784,28,0
2025-05,299,0.21739130434782608,0.26421404682274247,4.852842809364549,22,0.7418470146519699,29,0
2025-06,309,0.21035598705501618,0.23300970873786409,4.73462783171521,23,0.8322244592574981,25,0
2025-07,278,0.2014388489208633,0.28776978417266186,4.66546762589928,28,0.9220569068929665,27.5,0
2025-08,281,0.18861209964412812,0.2491103202846975,4.594306049822064,31,0.9486194214380167,29,0
2025-09,282,0.23404255319148937,0.2624113475177305,4.471631205673759,34,0.9758643515104335,28.5,0
2025-10,325,0.19076923076923077,0.27076923076923076,4.344615384615385,34,0.9872664851641898,25.5,0
2025-11,282,0.19858156028368795,0.23049645390070922,4.358156028368795,36,0.9937341109612945,23,0
2025-12,320,0.19375,0.21875,4.46875,41,0.9982433848178103,23,0
2026-01,304,0.19736842105263158,0.23026315789473684,4.4375,39,0.9995918662640116,20,0
2026-02,274,0.21532846715328466,0.21897810218978103,4.481751824817518,45.5,0.9998118311629387,19.5,0
2026-03,316,0.23734177215189872,0.22151898734177214,4.19620253164557,44,1,17,0
2026-04,287,0.20209059233449478,0.21951219512195122,3.9198606271777003,49,1,17,0
