lead_id,lead_created_at,score_inquiry_id,score_time,first_broker_response,first_broker_response_hours,inquiry_count,last_inquiry_at,a_eventual_first_scheduled_visit,a_mature_7,a_mature_14,a_mature_30,primary_t1_eligible,primary_t1_label,b30_status,b30_label,b30_positive_inquiry_id,b30_positive_response_event_at,b30_ambiguous_untimed_scheduled_count,b30_timed_scheduled_count,c30_status_maturity14,c30_label_maturity14,c30_positive_inquiry_id,c30_positive_inquiry_at,c30_mature_7,c30_mature_14,c30_mature_30
1,2025-05-09T00:00:00.000000,3,2025-05-12T16:10:27.000000,accepted,50.5,4,2025-05-22T12:04:52.000000,0,true,true,true,true,0,LABELED,1,2,2025-05-22T13:46:55.000Z,0,1,LABELED,1,2,2025-05-21T18:34:55.000000,true,true,true
2,2026-02-25T00:00:00.000000,5,2026-03-04T09:00:43.000000,accepted,3.1,1,2026-03-04T09:00:43.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
3,2026-02-18T00:00:00.000000,6,2026-02-18T14:30:33.000000,accepted,53.8,3,2026-03-01T12:02:08.000000,0,true,true,true,true,0,LABELED,1,8,2026-03-01T20:26:08.000Z,0,1,LABELED,1,8,2026-03-01T12:02:08.000000,true,true,true
4,2025-10-29T00:00:00.000000,10,2025-10-29T12:13:42.000000,accepted,,5,2026-06-24T08:15:00.000000,0,true,true,true,true,0,LABELED,0,,,0,1,LABELED,0,,,true,true,true
5,2025-10-21T00:00:00.000000,14,2025-10-21T15:45:00.000000,accepted,2,1,2025-10-21T15:45:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
6,2025-04-21T00:00:00.000000,15,2025-10-06T18:45:00.000000,accepted,27.3,1,2025-10-06T18:45:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
7,2025-05-24T00:00:00.000000,17,2025-06-21T07:49:00.000000,rejected,1.7,6,2026-05-14T11:06:00.000000,0,true,true,true,true,0,LABELED,0,,,0,2,LABELED,0,,,true,true,true
8,2025-05-05T00:00:00.000000,27,2025-05-07T07:10:37.000000,scheduled_visit,11.4,8,2026-02-04T11:22:00.000000,1,true,true,true,true,1,LABELED,1,27,2025-05-07T18:34:37.000Z,0,3,LABELED,1,27,2025-05-07T07:10:37.000000,true,true,true
9,2026-02-03T00:00:00.000000,30,2026-02-03T07:57:46.000000,accepted,12.1,4,2026-02-09T14:23:54.000000,0,true,true,true,true,0,LABELED,1,32,2026-02-08T09:57:57.000Z,0,1,LABELED,1,32,2026-02-06T10:21:57.000000,true,true,true
10,2026-03-20T00:00:00.000000,35,2026-03-22T08:24:43.000000,rejected,1.1,2,2026-04-28T13:24:00.000000,0,true,true,true,true,0,LABELED,0,,,0,1,LABELED,0,,,true,true,true
11,2026-06-28T00:00:00.000000,39,2026-06-28T16:19:29.000000,accepted,22.3,8,2026-07-08T15:37:25.000000,0,true,true,false,true,0,CENSORED,,,,0,0,CENSORED,,,,false,false,false
12,2025-08-17T00:00:00.000000,46,2025-08-19T20:35:53.000000,accepted,,4,2025-08-29T07:08:33.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
13,2025-07-17T00:00:00.000000,48,2025-07-19T13:48:56.000000,scheduled_visit,2,4,2025-10-26T20:08:00.000000,1,true,true,true,true,1,LABELED,1,48,2025-07-19T15:48:56.000Z,0,1,LABELED,1,48,2025-07-19T13:48:56.000000,true,true,true
14,2025-02-18T00:00:00.000000,57,2025-03-02T19:56:40.000000,accepted,13.1,6,2026-04-25T18:01:00.000000,0,true,true,true,true,0,LABELED,0,,,0,1,LABELED,0,,,true,true,true
15,2025-07-28T00:00:00.000000,59,2025-07-29T11:12:20.000000,rejected,0.7,8,2025-08-09T12:41:32.000000,0,true,true,true,true,0,LABELED,1,58,2025-08-04T14:48:18.000Z,1,1,LABELED,1,61,2025-07-31T11:18:07.000000,true,true,true
16,2025-10-15T00:00:00.000000,69,2025-10-17T09:37:11.000000,accepted,0.9,8,2026-06-29T15:01:00.000000,0,true,true,true,true,0,AMBIGUOUS,,,,1,0,LABELED,1,72,2025-10-28T12:43:22.000000,true,true,true
17,2026-04-10T00:00:00.000000,74,2026-04-14T15:06:47.000000,no_response,7.7,1,2026-04-14T15:06:47.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
18,2025-02-11T00:00:00.000000,79,2025-02-12T08:44:20.000000,no_response,1.7,6,2025-05-10T10:25:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
19,2025-07-30T00:00:00.000000,83,2025-08-29T10:18:00.000000,scheduled_visit,4.9,3,2026-02-25T11:34:00.000000,1,true,true,true,true,1,LABELED,1,83,2025-08-29T15:12:00.000Z,0,1,LABELED,1,83,2025-08-29T10:18:00.000000,true,true,true
20,2026-02-25T00:00:00.000000,89,2026-02-27T13:22:53.000000,accepted,29.4,8,2026-06-07T15:06:00.000000,0,true,true,true,true,0,LABELED,1,90,2026-03-07T09:04:29.000Z,0,3,LABELED,1,90,2026-03-07T07:22:29.000000,true,true,true
21,2026-04-27T00:00:00.000000,94,2026-04-29T19:08:22.000000,no_response,9.6,3,2026-05-08T17:02:00.000000,0,true,true,true,true,0,LABELED,1,92,2026-05-05T15:54:48.000Z,0,2,LABELED,1,92,2026-05-05T15:06:48.000000,true,true,true
22,2025-12-30T00:00:00.000000,96,2026-01-01T19:33:17.000000,no_response,6.2,3,2026-01-29T13:01:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
23,2025-04-03T00:00:00.000000,104,2025-04-04T07:42:07.000000,accepted,21.9,7,2026-01-29T08:21:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
24,2025-11-04T00:00:00.000000,106,2025-11-05T13:18:06.000000,accepted,3.3,3,2025-11-12T09:25:25.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
25,2026-05-14T00:00:00.000000,108,2026-05-14T20:48:46.000000,accepted,7,5,2026-05-26T12:25:47.000000,0,true,true,true,true,0,LABELED,1,109,2026-05-25T08:02:24.000Z,1,2,LABELED,1,110,2026-05-18T09:32:24.000000,true,true,false
26,2026-02-12T00:00:00.000000,114,2026-02-13T17:17:05.000000,scheduled_visit,5.8,3,2026-02-19T16:01:43.000000,1,true,true,true,true,1,LABELED,1,114,2026-02-13T23:05:05.000Z,0,1,LABELED,1,114,2026-02-13T17:17:05.000000,true,true,true
27,2025-03-16T00:00:00.000000,117,2025-08-21T14:05:00.000000,rejected,14.7,2,2026-06-16T10:21:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
28,2025-06-27T00:00:00.000000,123,2025-07-02T14:16:48.000000,accepted,0.5,6,2025-11-22T18:16:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
29,2026-02-06T00:00:00.000000,124,2026-02-06T08:59:16.000000,rejected,3.2,1,2026-02-06T08:59:16.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
30,2026-01-29T00:00:00.000000,125,2026-01-30T18:11:33.000000,scheduled_visit,5.3,8,2026-02-11T15:31:34.000000,1,true,true,true,true,1,LABELED,1,125,2026-01-30T23:29:33.000Z,0,4,LABELED,1,125,2026-01-30T18:11:33.000000,true,true,true
31,2025-06-23T00:00:00.000000,134,2025-06-28T09:54:26.000000,no_response,8,6,2025-08-04T07:14:00.000000,0,true,true,true,true,0,LABELED,1,133,2025-07-05T23:04:34.000Z,0,2,LABELED,1,133,2025-07-05T20:10:34.000000,true,true,true
32,2026-05-19T00:00:00.000000,144,2026-05-19T18:39:43.000000,accepted,22.3,7,2026-06-01T19:12:23.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,false
33,2026-03-19T00:00:00.000000,146,2026-03-20T14:22:36.000000,accepted,,8,2026-03-31T20:15:47.000000,0,true,true,true,true,0,LABELED,1,151,2026-03-24T05:57:23.000Z,0,1,LABELED,1,151,2026-03-23T12:15:23.000000,true,true,true
34,2025-07-28T00:00:00.000000,154,2026-02-27T07:43:00.000000,no_response,30.1,1,2026-02-27T07:43:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
35,2025-04-03T00:00:00.000000,155,2025-04-04T10:30:43.000000,accepted,3.7,8,2026-01-24T19:18:00.000000,0,true,true,true,true,0,LABELED,1,158,2025-04-05T10:26:48.000Z,0,1,LABELED,1,158,2025-04-05T08:44:48.000000,true,true,true
36,2025-11-13T00:00:00.000000,165,2025-11-15T17:40:22.000000,accepted,,5,2026-06-04T15:06:00.000000,0,true,true,true,true,0,LABELED,0,,,0,1,LABELED,0,,,true,true,true
37,2025-12-12T00:00:00.000000,168,2025-12-24T17:40:04.000000,accepted,,1,2025-12-24T17:40:04.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
