spot_id,broker_id,sector_name,type_name,state,municipality,settlement,corridor,region,lat,lon,title,description,area_sqm,price_sqm_mxn_rent,price_sqm_mxn_sale,price_total_mxn_rent,price_total_mxn_sale,maintenance_cost_mxn,modality,days_on_market,total_inquiries,total_views,is_active,created_at,natural_light,luminaires,charging_ports,security_type,floor_level,elevators,vertical_height_m,parking_spaces,building_status,floor_material,amenities,human_actionable_issue,human_issue_type,human_notes
8,19,Land,Single,Jalisco,Zapopan,Puerta de Hierro,andares-puerta-hierro,occidente,20.697419,-103.424627,Single de 3228 m² en andares-puerta-hierro,Amplio espacio con buena iluminación natural. Seguridad 24/7 y control de acceso. Zona de alta plusvalía y demanda comercial.,3228.5,,15518.29,,50100799.27,,sale,130,4,99,True,2025-08-19 00:00:00+00:00,True,6,,full,10,10,0.0,0,good,concrete,"[""gym"", ""meeting_rooms""]",,,
9,54,Land,Subspace,CDMX,Benito Juárez,Del Valle,del-valle-narvarte,centro,19.392227,-99.171545,"Land compartido en del-valle-narvarte, Benito Juárez",Zona de alta plusvalía y demanda comercial. Fácil acceso a transporte público y avenidas principales.,6979.9,81.57,,569350.44,,35497.5,rent,18,4,119,True,2025-08-21 00:00:00+00:00,True,3,,basic,1,15,0.0,3,fair,concrete,[],,,
26,287,Land,Single,Estado de México,Toluca,Metepec,metepec-toluca,centro,19.246916,-99.61443,"Single Land en metepec-toluca, Toluca",Espacio versátil adaptable a diferentes giros. Zona de alta plusvalía y demanda comercial. Ideal para oficinas corporativas o centro de distribución.,48859.6,56.33,,2752261.27,,138693.7,rent,1,1,15,True,2025-03-27 00:00:00+00:00,True,0,,none,2,101,0.0,0,new,concrete,"[""security_booth"", ""lounge"", ""conference_room"", ""storage""]",,,
27,232,Land,Single,Puebla,Puebla,Angelópolis,angelopolis-lomas,centro-oriente,19.029424,-98.229171,"Land Single - angelopolis-lomas, Puebla",Recién remodelado con acabados modernos. Amplio espacio con buena iluminación natural.,7897.7,17.11,3085.95,135129.65,24371907.31,14950.21,both,255,10,294,True,2024-09-29 00:00:00+00:00,True,14,0.0,cctv,2,18,0.0,2,good,carpet,"[""meeting_rooms""]",,,
38,208,Land,Single,CDMX,Benito Juárez,Del Valle,del-valle-narvarte,centro,19.381679,-99.1614,"Land Single - del-valle-narvarte, Benito Juárez",Ideal para oficinas corporativas o centro de distribución. Espacio versátil adaptable a diferentes giros.,1443.7,,2969.2,,4286634.04,,sale,370,11,265,True,2026-01-27 00:00:00+00:00,False,0,0.0,none,2,3,0.0,1,good,ceramic,[],,,
48,172,Land,Single,Sonora,Hermosillo,Centenario,centenario-colosio,noroeste,29.065439,-110.963264,"Single Land en centenario-colosio, Hermosillo",Ideal para oficinas corporativas o centro de distribución. Espacio listo para ocupar con acabados de primera.,2624.7,19.39,,50892.93,,3329.17,rent,59,1,26,True,2026-01-28 00:00:00+00:00,True,5,0.0,cctv,0,7,0.0,1,fair,,[],,,
195,285,Land,Subspace,Nuevo León,Monterrey,Centro,macroplaza,noreste,25.676727,-100.306824,"Land compartido en macroplaza, Monterrey",Ubicación estratégica cerca de centros comerciales. Zona de alta plusvalía y demanda comercial.,2837.6,,9332.37,,26481533.11,,sale,4,3,51,True,2026-03-27 00:00:00+00:00,True,10,,basic,0,6,0.0,0,good,polished_concrete,"[""conference_room"", ""gym"", ""lounge""]",,,
199,182,Land,Single,Nuevo León,San Pedro Garza García,Del Valle,vasconcelos-calzada,noreste,25.651493,-100.371249,Single de 1485 m² en vasconcelos-calzada,Amplio espacio con buena iluminación natural. Zona de alta plusvalía y demanda comercial. Perfecto para negocio en crecimiento.,1485.0,,5420.68,,8049709.8,,sale,41,1,11,True,2025-04-11 00:00:00+00:00,True,0,1.0,basic,0,2,0.0,1,new,concrete,[],,,
211,209,Land,Subspace,Guanajuato,León,Zona Centro,centro-leon,bajío,21.143215,-101.683957,"Subspace en Land - centro-leon, León",Seguridad 24/7 y control de acceso.,2195.4,28.84,,63315.34,,6328.16,rent,258,6,76,True,2026-03-01 00:00:00+00:00,False,31,0.0,cctv,0,6,0.0,3,good,carpet,"[""loading_dock"", ""kitchen""]",,,
219,190,Land,Single,Guanajuato,León,Zona Centro,centro-leon,bajío,21.129424,-101.678744,"Single Land en centro-leon, León",Zona de alta plusvalía y demanda comercial. Ideal para oficinas corporativas o centro de distribución.,5809.9,,5787.62,,33625493.44,,sale,719,23,671,True,2025-05-23 00:00:00+00:00,True,5,0.0,basic,18,17,0.0,1,good,concrete,[],,,
