interaction,n,positives,visit_rate,smoothed_rate,lift_vs_global,wilson_low,wilson_high,p_value_one_sided,physical_profile,location_profile,broker_service_profile,fdr_reject_10pct
physical_profile x broker_service_profile,66,16,0.24242424242424243,0.23135004530353367,1.187596899224806,0.15509054458269061,0.35809357491056265,0.16433616343764418,PH3,,BSV2,False
physical_profile x broker_service_profile,68,16,0.23529411764705882,0.22609208972845335,1.1606060606060604,0.1503436437092872,0.34855393095497417,0.1996075152402716,PH3,,BSV3,False
physical_profile x broker_service_profile,92,21,0.22826086956521738,0.22228664192949907,1.1410714285714285,0.1544207850299761,0.32388508632442525,0.20890151283811312,PH1,,BSV3,False
physical_profile x broker_service_profile,59,13,0.22033898305084745,0.21387473286207462,1.0978902953586496,0.13354072524323757,0.3413294244665089,0.31022550234675206,PH2,,BSV3,False
location_profile x broker_service_profile,127,27,0.2125984251968504,0.2101775775245163,1.0789115646258503,0.15042374107946094,0.2916497279089954,0.3063238554535396,,LOC2,BSV3,False
physical_profile x broker_service_profile,90,18,0.2,0.19905548996458086,1.0218181818181817,0.130422969625965,0.29413927142704344,0.4504857467082206,PH1,,BSV2,False
physical_profile x broker_service_profile,152,30,0.19736842105263158,0.19707037148897613,1.011627906976744,0.14189466065483164,0.2677623243863897,0.46820144324481267,PH4,,BSV2,False
physical_profile x location_profile x broker_service_profile,56,11,0.19642857142857142,0.19600136705399862,1.006140350877193,0.11338480016444108,0.3184485732747718,0.4877649845924973,PH4,LOC2,BSV2,False
location_profile x broker_service_profile,67,13,0.19402985074626866,0.19420809075981488,0.9969348659003829,0.11705063857457097,0.3041933762415822,0.5063925273593756,,LOC3,BSV3,False
physical_profile x broker_service_profile,117,22,0.18803418803418803,0.18902265617594083,0.9703163017031629,0.12758105898852096,0.26832233851697385,0.5733560360166227,PH4,,BSV3,False
location_profile x broker_service_profile,81,15,0.18518518518518517,0.18709013758518708,0.9603960396039604,0.11556188621286034,0.28331790860477624,0.5865225281436306,,LOC3,BSV2,False
physical_profile x location_profile,82,15,0.18292682926829268,0.1852559205500382,0.9509803921568627,0.1141092170763672,0.2801238820270978,0.607031135978543,PH1,LOC2,,False
physical_profile x location_profile x broker_service_profile,50,8,0.16,0.16994434137291278,0.8723809523809523,0.08337321362087696,0.2851448096176598,0.7328350925137306,PH4,LOC2,BSV3,False
location_profile x broker_service_profile,142,23,0.1619718309859155,0.16602533269199934,0.8522633744855966,0.11042155900083113,0.231330039994243,0.8383968568391884,,LOC2,BSV2,False
physical_profile x location_profile,130,21,0.16153846153846155,0.16597402597402597,0.852,0.1081503880023098,0.23435597773151284,0.8308938590343746,PH4,LOC2,,False
physical_profile x location_profile,58,9,0.15517241379310345,0.16533466533466532,0.8487179487179486,0.08384397416750201,0.26934223058787304,0.7770028932303097,PH3,LOC2,,False
physical_profile x broker_service_profile,57,8,0.14035087719298245,0.15449485579355707,0.7930735930735929,0.07287189227128285,0.25324707895892806,0.8503770151143875,PH4,,BSV1,False
physical_profile x broker_service_profile,78,11,0.14102564102564102,0.15200106016432546,0.7802721088435374,0.08060961324830107,0.23514178946132336,0.8847867820055442,PH2,,BSV2,False
physical_profile x location_profile,70,9,0.12857142857142856,0.14329004329004327,0.7355555555555554,0.06914021991242263,0.22664968713184502,0.9191224897963524,PH4,LOC3,,False
