interaction,n,positives,visit_rate,smoothed_rate,lift_vs_global,wilson_low,wilson_high,p_value_one_sided,dynamic_need_profile,location_profile,physical_profile,broker_service_profile,fdr_reject_10pct
dynamic_need_profile x location_profile,72,18,0.25,0.23800112930547712,1.2217391304347824,0.16438921125325756,0.36093725865244064,0.11849690496895961,DN2,LOC4,,,False
physical_profile x broker_service_profile,66,16,0.24242424242424243,0.23135004530353367,1.187596899224806,0.15509054458269061,0.35809357491056265,0.16433616343764418,,,PH3,BSV2,False
dynamic_need_profile x physical_profile,50,12,0.24,0.22708719851576994,1.1657142857142857,0.14297252401872207,0.3741294937519236,0.20986041346293158,DN1,,PH4,,False
physical_profile x broker_service_profile,68,16,0.23529411764705882,0.22609208972845335,1.1606060606060604,0.1503436437092872,0.34855393095497417,0.1996075152402716,,,PH3,BSV3,False
dynamic_need_profile x location_profile x broker_service_profile,104,24,0.23076923076923078,0.2249685798072895,1.1548387096774193,0.16026297487857527,0.3204568957464896,0.17721004936662335,DN2,LOC2,,BSV3,False
dynamic_need_profile x physical_profile x broker_service_profile,82,19,0.23170731707317074,0.224471606824548,1.1522875816993463,0.15365345107261638,0.33377455586108484,0.19940796211708467,DN2,,PH1,BSV3,False
physical_profile x broker_service_profile,92,21,0.22826086956521738,0.22228664192949907,1.1410714285714285,0.1544207850299761,0.32388508632442525,0.20890151283811312,,,PH1,BSV3,False
dynamic_need_profile x physical_profile x broker_service_profile,57,13,0.22807017543859648,0.21942992072862202,1.1264069264069263,0.13841760968495653,0.3520625880744711,0.26300006338093973,DN2,,PH2,BSV3,False
dynamic_need_profile x physical_profile,129,28,0.21705426356589147,0.21406781138324762,1.0988814317673377,0.154657377030721,0.2958159686682167,0.26171997766290694,DN2,,PH3,,False
physical_profile x broker_service_profile,59,13,0.22033898305084745,0.21387473286207462,1.0978902953586496,0.13354072524323757,0.3413294244665089,0.31022550234675206,,,PH2,BSV3,False
dynamic_need_profile x physical_profile x broker_service_profile,59,13,0.22033898305084745,0.21387473286207462,1.0978902953586496,0.13354072524323757,0.3413294244665089,0.31022550234675206,DN2,,PH3,BSV3,False
dynamic_need_profile x broker_service_profile,290,62,0.21379310344827587,0.2125680770842061,1.0911827956989246,0.1705082631301162,0.2645615159617483,0.20712366725123033,DN2,,,BSV3,False
location_profile x broker_service_profile,127,27,0.2125984251968504,0.2101775775245163,1.0789115646258503,0.15042374107946094,0.2916497279089954,0.3063238554535396,,LOC2,,BSV3,False
dynamic_need_profile x physical_profile,196,41,0.20918367346938777,0.20785233285233284,1.0669753086419753,0.158106019634118,0.2714421825420055,0.30563374799764187,DN2,,PH1,,False
dynamic_need_profile x physical_profile x broker_service_profile,57,12,0.21052631578947367,0.20644290774160903,1.0597402597402596,0.12474426566891902,0.33286368678466527,0.38220735654973403,DN2,,PH3,BSV2,False
physical_profile x broker_service_profile,90,18,0.2,0.19905548996458086,1.0218181818181817,0.130422969625965,0.29413927142704344,0.4504857467082206,,,PH1,BSV2,False
dynamic_need_profile x location_profile x broker_service_profile,60,12,0.2,0.19870129870129868,1.0199999999999998,0.11828389736858964,0.3178204609181701,0.4595370494012426,DN2,LOC3,,BSV3,False
dynamic_need_profile x physical_profile x broker_service_profile,116,23,0.19827586206896552,0.19776546982429336,1.0151960784313725,0.13591176378176467,0.27998388514148065,0.4624026800939872,DN2,,PH4,BSV2,False
physical_profile x broker_service_profile,152,30,0.19736842105263158,0.19707037148897613,1.011627906976744,0.14189466065483164,0.2677623243863897,0.46820144324481267,,,PH4,BSV2,False
dynamic_need_profile x location_profile,71,14,0.19718309859154928,0.19666048237476808,1.0095238095238095,0.12125422432474278,0.3041989995507489,0.47982574330413663,DN2,LOC1,,,False
location_profile x physical_profile x broker_service_profile,56,11,0.19642857142857142,0.19600136705399862,1.006140350877193,0.11338480016444108,0.3184485732747718,0.4877649845924973,,LOC2,PH4,BSV2,False
location_profile x broker_service_profile,67,13,0.19402985074626866,0.19420809075981488,0.9969348659003829,0.11705063857457097,0.3041933762415822,0.5063925273593756,,LOC3,,BSV3,False
dynamic_need_profile x location_profile x broker_service_profile,67,13,0.19402985074626866,0.19420809075981488,0.9969348659003829,0.11705063857457097,0.3041933762415822,0.5063925273593756,DN2,LOC3,,BSV2,False
dynamic_need_profile x physical_profile x broker_service_profile,85,16,0.18823529411764706,0.18948670377241805,0.9726984126984126,0.11932042110303412,0.2841122050540815,0.5607767088840401,DN2,,PH1,BSV2,False
physical_profile x broker_service_profile,117,22,0.18803418803418803,0.18902265617594083,0.9703163017031629,0.12758105898852096,0.26832233851697385,0.5733560360166227,,,PH4,BSV3,False
dynamic_need_profile x location_profile x physical_profile,102,19,0.18627450980392157,0.18767298275494995,0.9633879781420763,0.12261984082072329,0.27270298120766634,0.5861050832540204,DN2,LOC2,PH4,,False
location_profile x broker_service_profile,81,15,0.18518518518518517,0.18709013758518708,0.9603960396039604,0.11556188621286034,0.28331790860477624,0.5865225281436306,,LOC3,,BSV2,False
dynamic_need_profile x physical_profile x broker_service_profile,92,17,0.18478260869565216,0.18657235621521334,0.957738095238095,0.11869236960805385,0.27614244116305176,0.5958926099614337,DN2,,PH4,BSV3,False
dynamic_need_profile x location_profile,146,27,0.18493150684931506,0.1861211078078548,0.9554216867469879,0.1303220534783932,0.2556962485151787,0.6183822552165771,DN2,LOC3,,,False
location_profile x physical_profile,82,15,0.18292682926829268,0.1852559205500382,0.9509803921568627,0.1141092170763672,0.2801238820270978,0.607031135978543,,LOC2,PH1,,False
dynamic_need_profile x broker_service_profile,331,61,0.18429003021148035,0.18488918488918488,0.9490978157644823,0.14622512440304575,0.22959914593851277,0.6854648427992287,DN2,,,BSV2,False
dynamic_need_profile x physical_profile,251,46,0.18326693227091634,0.18411846456126899,0.9451414514145141,0.14030112583225265,0.2357818998590003,0.6778009337395803,DN2,,PH4,,False
dynamic_need_profile x location_profile x physical_profile,73,13,0.1780821917808219,0.1816785365172462,0.9326164874551971,0.10713272068797698,0.2812194219014537,0.6408626067912315,DN2,LOC2,PH1,,False
dynamic_need_profile x location_profile,271,48,0.17712177121771217,0.17833712679073505,0.9154639175257732,0.13627420383491498,0.22699540309504032,0.7688369048305645,DN2,LOC2,,,False
location_profile x physical_profile x broker_service_profile,50,8,0.16,0.16994434137291278,0.8723809523809523,0.08337321362087696,0.2851448096176598,0.7328350925137306,,LOC2,PH4,BSV3,False
location_profile x broker_service_profile,142,23,0.1619718309859155,0.16602533269199934,0.8522633744855966,0.11042155900083113,0.231330039994243,0.8383968568391884,,LOC2,,BSV2,False
location_profile x physical_profile,130,21,0.16153846153846155,0.16597402597402597,0.852,0.1081503880023098,0.23435597773151284,0.8308938590343746,,LOC2,PH4,,False
location_profile x physical_profile,58,9,0.15517241379310345,0.16533466533466532,0.8487179487179486,0.08384397416750201,0.26934223058787304,0.7770028932303097,,LOC2,PH3,,False
dynamic_need_profile x location_profile x physical_profile,53,8,0.1509433962264151,0.162960327343889,0.8365296803652967,0.07852324257781651,0.2705450454365954,0.7899527268338881,DN2,LOC3,PH4,,False
dynamic_need_profile x physical_profile,146,23,0.15753424657534246,0.16202472226568612,0.831726907630522,0.107325664098381,0.2253029250250667,0.8722503688066339,DN2,,PH2,,False
dynamic_need_profile x location_profile x broker_service_profile,122,19,0.1557377049180328,0.1612401682824218,0.8276995305164319,0.10202654859821357,0.23046763456538255,0.8620429140438185,DN2,LOC2,,BSV2,False
dynamic_need_profile x broker_service_profile,101,15,0.1485148514851485,0.1561661479016851,0.8016528925619835,0.092115201386504,0.23067269959936418,0.8799282068148796,DN2,,,BSV1,False
physical_profile x broker_service_profile,57,8,0.14035087719298245,0.15449485579355707,0.7930735930735929,0.07287189227128285,0.25324707895892806,0.8503770151143875,,,PH4,BSV1,False
physical_profile x broker_service_profile,78,11,0.14102564102564102,0.15200106016432546,0.7802721088435374,0.08060961324830107,0.23514178946132336,0.8847867820055442,,,PH2,BSV2,False
dynamic_need_profile x physical_profile x broker_service_profile,73,10,0.136986301369863,0.14942047200111716,0.7670250896057347,0.07614307799620813,0.23412635939187332,0.8938612595450905,DN2,,PH2,BSV2,False
location_profile x physical_profile,70,9,0.12857142857142856,0.14329004329004327,0.7355555555555554,0.06914021991242263,0.22664968713184502,0.9191224897963524,,LOC3,PH4,,False
dynamic_need_profile x location_profile,86,9,0.10465116279069768,0.12166135751041411,0.6245283018867924,0.05604026272483177,0.18707205940656396,0.9826128826823883,DN2,LOC5,,,False
