segment,value,n,positive_rate,roc_auc,average_precision,brier,log_loss,precision_top_5pct,recall_top_5pct,lift_top_5pct,precision_top_10pct,recall_top_10pct,lift_top_10pct,precision_top_20pct,recall_top_20pct,lift_top_20pct
search_sector,Industrial,434,0.2557603686635945,0.6160432878699132,0.31764688121424367,0.1872103747416847,0.5596475736955001,0.3582887700534759,0.07101218865924748,1.4008768126415185,0.3582887700534759,0.14202437731849496,1.4008768126415185,0.3582887700534759,0.28082092787975144,1.4008768126415185
search_sector,Land,281,0.19217081850533807,0.5,0.19217081850533807,0.15525944139612904,0.4894148514520001,0.1921708185053381,0.05338078291814947,1.0000000000000002,0.1921708185053381,0.10320284697508898,1.0000000000000002,0.19217081850533807,0.20284697508896798,1.0
search_sector,Office,478,0.20502092050209206,0.5,0.20502092050209206,0.1632804945732248,0.508223784164945,0.20502092050209206,0.0502092050209205,1.0,0.20502092050209206,0.100418410041841,1.0,0.20502092050209206,0.200836820083682,1.0
search_sector,Retail,518,0.19305019305019305,0.5,0.19305019305019305,0.15580834832221008,0.4907020082891857,0.19305019305019305,0.05019305019305019,1.0,0.19305019305019305,0.10038610038610038,1.0,0.19305019305019305,0.20077220077220076,1.0
search_modality,both,349,0.22063037249283668,0.548629679144385,0.2493118281083897,0.1708413467990014,0.524638063380235,0.3783783783783784,0.08845208845208846,1.714987714987715,0.3783783783783784,0.171990171990172,1.714987714987715,0.2951923076923077,0.2683566433566434,1.3379495504495504
search_modality,rent,855,0.21169590643274855,0.5297432660622653,0.2267258669410458,0.1662572697561855,0.514472235382625,0.32051282051282054,0.07614392973508996,1.5140246493837655,0.30937415821136754,0.14699545638772157,1.4614083164128135,0.2553907290749396,0.24128074404317498,1.2064037202158748
search_modality,sale,507,0.20710059171597633,0.5786069651741294,0.2555774709620864,0.16146037639589678,0.5020804418040523,0.3888888888888889,0.0962962962962963,1.8777777777777778,0.38888888888888895,0.1888888888888889,1.877777777777778,0.3265720081135903,0.3172413793103448,1.5768762677484787
user_type,broker,616,0.18993506493506493,0.5318328965623554,0.20467032967032966,0.1529941568861708,0.4835520657722076,0.2857142857142857,0.0757020757020757,1.5042735042735043,0.2857142857142857,0.1514041514041514,1.5042735042735043,0.23322930642244646,0.24718319655028514,1.2279423312498037
user_type,investor,346,0.19653179190751446,0.535759627592044,0.2150683879742462,0.1567889409629806,0.4922685785936252,0.3225806451612903,0.08538899430740038,1.6413662239089182,0.3067573696145125,0.15788982259570497,1.5608536748032547,0.2454421768707483,0.2526610644257703,1.2488675470188073
user_type,tenant_direct,661,0.23903177004538578,0.5545461408762615,0.2726584072289513,0.18163375406585294,0.5495364697627689,0.4050632911392405,0.08716551834641885,1.6946002243230252,0.4050632911392405,0.17176734497676655,1.6946002243230252,0.3285016665374777,0.27652355474357304,1.3743012758308402
source,email,166,0.23493975903614459,0.5187764990914596,0.24571362372567196,0.1809849578875336,0.5491541282999177,0.35864978902953587,0.0827653359298929,1.5265606404846912,0.29709605361131797,0.12950340798442064,1.2645626897302251,0.2624720774385704,0.2288218111002921,1.117188842430838
source,organic,521,0.22456813819577734,0.5576817297114327,0.26929638925800153,0.17282362464429674,0.5290245989057379,0.5,0.11538461538461539,2.2264957264957266,0.41591468416735033,0.18840579710144928,1.8520645337708508,0.3104209799861974,0.2785829307568438,1.382301970707768
source,paid,408,0.22303921568627452,0.5732485180434708,0.25954830408215535,0.17113108470436203,0.5245438160505059,0.3207547169811321,0.07402031930333818,1.4381090607505702,0.3207547169811321,0.14451586149699358,1.4381090607505702,0.3207547169811321,0.28903172299398716,1.4381090607505702
source,referral,348,0.1839080459770115,0.531800176056338,0.20207435344827585,0.14913130785138898,0.47445518675959925,0.35,0.0984375,1.903125,0.2744773519163763,0.15010480182926828,1.4924706010452962,0.2241289198606272,0.24514100609756098,1.2187010017421605
source,social,176,0.2159090909090909,0.5141113653699466,0.22254784688995213,0.16948788496549982,0.5224122522042542,0.30000000000000004,0.07105263157894737,1.3894736842105264,0.26037483266398925,0.12333544705136334,1.2059465933911082,0.23560910307898256,0.22320862396956243,1.0912421616289718
channel,app,432,0.22685185185185186,0.5391054625442993,0.2495275888133031,0.175041967906162,0.534678576208595,0.375,0.08418367346938775,1.6530612244897958,0.3601576994434137,0.16170345689296126,1.5876339404036195,0.28679920243959656,0.25460745522698874,1.2642577087133235
channel,email,267,0.19850187265917604,0.5359284076882385,0.21495704493372506,0.1580965429894273,0.4953617009120513,0.2857142857142857,0.07547169811320754,1.439353099730458,0.2857142857142857,0.14555256064690028,1.439353099730458,0.2503991060025543,0.25512361743656475,1.2614445528807923
channel,web,503,0.21868787276341947,0.5289266712930835,0.2326592511049406,0.17054826146136412,0.5244836840239357,0.30909090909090914,0.07305785123966943,1.4133884297520665,0.3090909090909091,0.14330578512396694,1.4133884297520662,0.2628624469589816,0.24135551948051948,1.2019982801851614
channel,whatsapp,430,0.2116279069767442,0.5850756912703815,0.2721235900442467,0.16384000835092555,0.507411524481407,0.45098039215686275,0.1090282266752855,2.1310062486533075,0.4509803921568627,0.21310062486533074,2.131006248653307,0.34046143461986866,0.32175476238800776,1.6087738119400388
