lead_id,user_type,company_size,industry,search_sector,search_modality,target_area_sqm,min_budget_mxn_rent_monthly,max_budget_mxn_rent_monthly,min_budget_mxn_sale_total,max_budget_mxn_sale_total,preferred_state,preferred_municipality,preferred_corridor,source,prior_searches,prior_inquiries,has_converted_before,lead_score_internal,created_at
1,investor,small,financial,Office,sale,690.3,,,38085531.84,56159661.88,Jalisco,Zapopan,andares-puerta-hierro,event,7,5,false,0.6562,2025-05-09T00:00:00.000000
2,tenant_direct,large,financial,Industrial,both,308.3,36459.82,43916.05,6562768.1,8412573.86,Nuevo León,Monterrey,macroplaza,event,3,0,false,0.6643,2026-02-25T00:00:00.000000
3,investor,large,retail,Office,rent,293.6,90014.07,109010.12,,,Chihuahua,Chihuahua,centro-chihuahua,social,0,2,false,1.0,2026-02-18T00:00:00.000000
4,tenant_direct,small,technology,Retail,rent,765.7,177466.89,213134.63,,,CDMX,Benito Juárez,del-valle-narvarte,referral,2,6,false,0.4631,2025-10-29T00:00:00.000000
5,broker,small,retail,Office,sale,1002.0,,,51611012.33,65602705.67,CDMX,Benito Juárez,del-valle-narvarte,paid,0,2,false,0.6639,2025-10-21T00:00:00.000000
6,developer,medium,technology,Industrial,rent,487.5,61036.29,74327.44,,,Nuevo León,Monterrey,macroplaza,paid,0,12,true,0.8075,2025-04-21T00:00:00.000000
7,investor,large,retail,Office,sale,620.5,,,27753533.16,32845564.83,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,organic,12,0,false,0.4045,2025-05-24T00:00:00.000000
8,investor,large,other,Land,sale,976.3,,,,9376746.76,Puebla,Puebla,,email,0,82,true,0.3672,2025-05-05T00:00:00.000000
9,broker,large,technology,Office,sale,345.3,,,18705461.64,25706225.9,Jalisco,Zapopan,andares-puerta-hierro,paid,1,0,false,0.3313,2026-02-03T00:00:00.000000
10,tenant_direct,medium,retail,Office,rent,414.0,102080.36,143828.99,,,Baja California,Tijuana,zona-rio-aguacaliente,paid,10,0,false,0.991,2026-03-20T00:00:00.000000
11,tenant_direct,small,financial,Industrial,rent,549.8,58701.79,74837.02,,,Yucatán,Mérida,paseo-montejo,organic,0,19,false,0.1982,2026-06-28T00:00:00.000000
12,investor,medium,manufacturing,Office,both,288.7,81293.56,99806.53,14632840.3,20148422.95,Nuevo León,San Pedro Garza García,vasconcelos-calzada,organic,3,3,false,0.3336,2025-08-17T00:00:00.000000
13,tenant_direct,small,technology,Retail,rent,8590.1,346043.42,422600.37,,,Baja California,Tijuana,zona-rio-aguacaliente,email,3,0,false,0.7477,2025-07-17T00:00:00.000000
14,investor,large,technology,Retail,sale,9414.4,,,13861251.73,19687878.77,CDMX,Miguel Hidalgo,polanco,organic,0,39,false,0.2153,2025-02-18T00:00:00.000000
15,tenant_direct,small,other,Office,rent,407.6,102996.65,118131.52,,,Guanajuato,León,centro-leon,organic,1,0,true,0.776,2025-07-28T00:00:00.000000
16,broker,medium,technology,Land,rent,1502.9,64035.78,85323.21,,,Guanajuato,León,centro-leon,paid,2,0,false,0.7494,2025-10-15T00:00:00.000000
17,tenant_direct,medium,logistics,Office,rent,105.4,31676.87,42744.45,,,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,paid,0,0,false,0.6913,2026-04-10T00:00:00.000000
18,broker,medium,financial,Land,rent,454.5,19892.38,24982.3,,,CDMX,Cuauhtémoc,roma-condesa,organic,56,0,false,0.3962,2025-02-11T00:00:00.000000
19,investor,large,retail,Industrial,sale,245.3,,,4694618.85,5601302.22,Querétaro,Querétaro,centro-queretaro,organic,0,6,false,0.6875,2025-07-30T00:00:00.000000
20,tenant_direct,medium,financial,Office,sale,390.5,,,22004638.73,26733888.83,Querétaro,Querétaro,centro-queretaro,social,0,0,false,0.0613,2026-02-25T00:00:00.000000
21,investor,enterprise,technology,Land,both,167.2,7225.3,8808.72,1300554.59,1517887.23,Puebla,Puebla,angelopolis-lomas,email,0,88,false,0.6971,2026-04-27T00:00:00.000000
22,tenant_direct,large,retail,Land,both,300.8,12355.4,17210.34,2223972.88,3319603.21,Estado de México,Toluca,metepec-toluca,referral,3,10,false,0.6864,2025-12-30T00:00:00.000000
23,developer,enterprise,retail,Retail,rent,6047.9,85025.65,97484.15,,,Estado de México,Toluca,metepec-toluca,social,0,0,false,0.8204,2025-04-03T00:00:00.000000
24,investor,large,other,Retail,rent,461.7,103606.36,145372.73,,,Chihuahua,Chihuahua,centro-chihuahua,referral,2,0,false,0.7216,2025-11-04T00:00:00.000000
25,investor,large,retail,Retail,both,733.0,169185.46,235894.54,30453383.69,34617798.99,CDMX,Benito Juárez,del-valle-narvarte,paid,0,15,false,0.6468,2026-05-14T00:00:00.000000
26,broker,large,technology,Retail,rent,76.2,,88709.59,,,Chihuahua,Chihuahua,centro-chihuahua,paid,0,0,false,0.8112,2026-02-12T00:00:00.000000
27,tenant_direct,medium,other,Office,rent,357.4,106591.34,133748.71,,,Puebla,Puebla,angelopolis-lomas,social,0,0,false,0.2807,2025-03-16T00:00:00.000000
28,broker,medium,technology,Office,rent,345.3,107334.23,143229.44,,,Guanajuato,León,centro-leon,social,0,62,true,0.5138,2025-06-27T00:00:00.000000
29,broker,medium,healthcare,Retail,sale,373.2,,,15809004.14,20534821.24,Jalisco,Guadalajara,americana-chapultepec,organic,58,1,false,0.5209,2026-02-06T00:00:00.000000
30,tenant_direct,small,logistics,Retail,rent,399.4,105843.88,140676.51,,,Sonora,Hermosillo,centenario-colosio,organic,0,68,true,0.8067,2026-01-29T00:00:00.000000
31,tenant_direct,small,,Land,rent,217.8,9572.15,46563.49,,,San Luis Potosí,San Luis Potosí,lomas-carranza,social,2,12,false,0.1891,2025-06-23T00:00:00.000000
32,developer,enterprise,financial,Office,sale,131.5,,,5830821.08,7265939.24,Yucatán,Mérida,paseo-montejo,organic,0,15,true,0.7809,2026-05-19T00:00:00.000000
33,broker,small,financial,Industrial,sale,454.8,,,9184255.18,12436136.73,Puebla,Puebla,angelopolis-lomas,paid,0,5,false,0.2242,2026-03-19T00:00:00.000000
34,tenant_direct,medium,technology,Industrial,rent,194.0,,33117.2,,,Querétaro,Querétaro,centro-queretaro,referral,6,0,false,0.2996,2025-07-28T00:00:00.000000
35,tenant_direct,large,other,Retail,sale,518.3,,,23314042.44,29462153.41,CDMX,Benito Juárez,del-valle-narvarte,organic,9,0,false,0.4705,2025-04-03T00:00:00.000000
36,broker,small,other,Industrial,rent,202.0,22556.53,29557.94,,,Chihuahua,Chihuahua,centro-chihuahua,paid,1,9,false,0.1306,2025-11-13T00:00:00.000000
37,broker,enterprise,healthcare,Land,rent,635.5,27210.68,30188.93,,,CDMX,Benito Juárez,del-valle-narvarte,referral,3,0,false,0.5434,2025-12-12T00:00:00.000000
38,tenant_direct,small,logistics,Industrial,rent,375.8,43023.62,58843.94,,,Querétaro,Querétaro,juriquilla-juncos,email,0,2,false,0.4951,2025-01-12T00:00:00.000000
39,broker,enterprise,manufacturing,Office,rent,394.6,113299.03,126300.97,,,Jalisco,Guadalajara,americana-chapultepec,organic,0,0,false,0.3376,2025-10-04T00:00:00.000000
40,tenant_direct,large,manufacturing,Retail,rent,328.3,87359.69,110682.06,,,Yucatán,Mérida,paseo-montejo,organic,4,6,false,0.9844,2026-06-10T00:00:00.000000
41,tenant_direct,,technology,Office,both,293.3,76779.7,97184.6,13820345.96,15406285.18,Yucatán,Mérida,paseo-montejo,organic,2,0,false,0.7684,2025-06-06T00:00:00.000000
42,investor,small,manufacturing,Retail,rent,331.4,70699.58,101705.76,,,Guanajuato,León,centro-leon,organic,50,0,false,0.3353,2026-06-01T00:00:00.000000
43,tenant_direct,medium,logistics,Industrial,both,896.4,111872.53,161663.52,20137055.21,25475829.62,CDMX,Cuauhtémoc,roma-condesa,paid,2,15,false,1.0,2025-09-23T00:00:00.000000
44,broker,medium,logistics,Office,rent,132.7,39276.76,55380.89,,,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,referral,38,0,false,0.4564,2026-03-25T00:00:00.000000
45,investor,small,retail,Retail,rent,247.5,56615.95,80841.44,,,CDMX,Miguel Hidalgo,polanco,organic,0,0,false,0.6391,2026-06-09T00:00:00.000000
46,investor,enterprise,manufacturing,Land,sale,820.9,,,5864138.32,7494054.47,Chihuahua,Chihuahua,centro-chihuahua,event,0,0,false,0.4768,2026-04-06T00:00:00.000000
47,tenant_direct,small,logistics,Industrial,both,695.0,83417.12,115658.97,15015082.09,17236215.1,CDMX,Benito Juárez,del-valle-narvarte,organic,1,0,false,0.9767,2026-02-18T00:00:00.000000
48,broker,large,retail,Office,rent,1004.5,303470.4,1762745.15,,,Chihuahua,Chihuahua,,referral,35,1,false,0.6127,2026-05-16T00:00:00.000000
49,tenant_direct,small,other,Retail,rent,374.5,94218.52,132963.96,,,CDMX,Cuauhtémoc,roma-condesa,email,1,2,false,0.0855,2025-02-01T00:00:00.000000
50,broker,enterprise,financial,Land,sale,154.5,,,1049109.95,1195346.63,Sonora,Hermosillo,centenario-colosio,paid,2,4,false,0.2923,2025-06-06T00:00:00.000000
