state,municipality,corridor,sector,month,similar_available_spots,avg_price_sqm_mxn,recent_occupancy_rate,absorption_velocity_days,recent_inquiry_volume
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Land,2026-02-01,9,48.46,0.669,323.3,419
Querétaro,Querétaro,centro-queretaro,Industrial,2025-12-01,18,182.75,0.817,143.5,355
Jalisco,Zapopan,andares-puerta-hierro,Industrial,2024-03-01,16,134.08,0.925,216.7,65
Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Office,2024-07-01,13,364.46,0.872,86.0,500
Estado de México,Toluca,metepec-toluca,Retail,2025-06-01,10,226.81,0.772,110.9,135
Baja California,Tijuana,zona-rio-aguacaliente,Land,2026-06-01,12,51.03,0.622,123.1,299
Estado de México,Toluca,metepec-toluca,Office,2026-06-01,13,341.0,0.818,75.1,351
Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Industrial,2025-10-01,24,180.67,0.943,169.5,153
Nuevo León,Monterrey,macroplaza,Land,2025-08-01,16,34.99,0.503,289.9,206
Yucatán,Mérida,paseo-montejo,Retail,2025-03-01,19,274.91,0.74,76.6,487
Jalisco,Zapopan,andares-puerta-hierro,Land,2026-01-01,25,35.81,0.676,141.8,166
Baja California,Tijuana,zona-rio-aguacaliente,Industrial,2024-03-01,21,152.42,0.828,235.2,173
Yucatán,Mérida,paseo-montejo,Retail,2026-02-01,16,298.04,0.735,65.9,74
Sonora,Hermosillo,centenario-colosio,Retail,2025-06-01,17,280.37,0.843,60.1,396
Guanajuato,León,centro-leon,Land,2026-02-01,20,44.09,0.517,307.3,398
CDMX,Miguel Hidalgo,polanco,Office,2024-01-01,26,355.85,0.798,149.5,284
Puebla,Puebla,angelopolis-lomas,Office,2025-10-01,7,368.46,0.869,130.8,174
Nuevo León,Monterrey,macroplaza,Industrial,2025-01-01,25,141.95,0.912,135.4,410
Jalisco,Guadalajara,americana-chapultepec,Retail,2024-03-01,16,237.4,0.844,107.2,160
Jalisco,Zapopan,andares-puerta-hierro,Office,2024-05-01,8,328.95,0.803,165.7,467
CDMX,Cuauhtémoc,roma-condesa,Industrial,2025-04-01,20,158.76,0.895,160.6,129
Guanajuato,León,centro-leon,Industrial,2026-03-01,11,135.21,0.83,93.8,452
Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Industrial,2026-02-01,14,186.88,0.847,149.0,170
Querétaro,Querétaro,juriquilla-juncos,Office,2025-08-01,8,398.63,0.796,167.5,161
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Office,2025-12-01,9,427.31,0.836,160.0,123
Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Retail,2024-10-01,9,232.34,0.707,62.0,85
Puebla,Puebla,angelopolis-lomas,Office,2024-05-01,10,360.12,0.766,174.1,409
Sonora,Hermosillo,centenario-colosio,Industrial,2024-04-01,9,122.73,0.905,204.8,438
CDMX,Cuauhtémoc,roma-condesa,Retail,2026-02-01,13,300.85,0.773,58.9,421
Baja California,Tijuana,zona-rio-aguacaliente,Retail,2024-03-01,11,269.53,0.754,104.7,277
CDMX,Miguel Hidalgo,polanco,Industrial,2025-12-01,22,137.18,0.936,226.9,142
Querétaro,Querétaro,juriquilla-juncos,Retail,2024-06-01,10,361.77,0.835,131.6,126
Jalisco,Guadalajara,americana-chapultepec,Industrial,2025-01-01,14,132.51,0.911,150.2,450
Chihuahua,Chihuahua,centro-chihuahua,Office,2026-03-01,22,384.88,0.792,65.8,212
Nuevo León,Monterrey,macroplaza,Retail,2024-04-01,11,264.39,0.718,98.9,319
CDMX,Benito Juárez,del-valle-narvarte,Land,2024-07-01,24,58.81,0.596,148.9,182
Jalisco,Zapopan,andares-puerta-hierro,Office,2026-03-01,20,335.59,0.795,148.0,77
Baja California,Tijuana,zona-rio-aguacaliente,Retail,2025-12-01,18,259.53,0.77,64.7,434
Querétaro,Querétaro,centro-queretaro,Retail,2024-09-01,7,330.12,0.765,74.3,375
Yucatán,Mérida,paseo-montejo,Industrial,2024-11-01,9,135.01,0.803,236.8,155
Nuevo León,Monterrey,macroplaza,Land,2024-08-01,17,38.83,0.656,147.6,337
CDMX,Miguel Hidalgo,polanco,Retail,2026-03-01,25,276.56,0.843,143.2,135
Puebla,Puebla,angelopolis-lomas,Land,2026-06-01,9,62.84,0.637,187.8,266
CDMX,Cuauhtémoc,roma-condesa,Retail,2025-12-01,26,295.38,0.82,103.6,289
Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Industrial,2025-02-01,18,192.99,0.886,230.6,464
Jalisco,Guadalajara,americana-chapultepec,Retail,2026-03-01,24,257.94,0.758,67.3,245
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Office,2024-06-01,23,396.73,0.782,131.0,52
Baja California,Tijuana,zona-rio-aguacaliente,Land,2026-03-01,17,48.59,0.561,248.5,167
Querétaro,Querétaro,juriquilla-juncos,Retail,2026-03-01,15,336.73,0.704,92.5,361
CDMX,Benito Juárez,del-valle-narvarte,Industrial,2024-03-01,25,117.99,0.809,93.9,133
Jalisco,Zapopan,andares-puerta-hierro,Land,2025-07-01,13,37.54,0.603,187.6,165
Yucatán,Mérida,paseo-montejo,Land,2026-01-01,9,44.17,0.611,362.5,240
CDMX,Benito Juárez,del-valle-narvarte,Office,2024-09-01,9,362.93,0.818,148.0,307
Yucatán,Mérida,paseo-montejo,Industrial,2024-05-01,12,127.52,0.875,226.9,199
CDMX,Miguel Hidalgo,polanco,Retail,2025-07-01,26,249.85,0.722,90.4,475
CDMX,Benito Juárez,del-valle-narvarte,Office,2025-11-01,14,355.66,0.774,85.0,363
CDMX,Cuauhtémoc,roma-condesa,Industrial,2024-02-01,12,148.91,0.859,206.2,344
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Industrial,2024-05-01,16,142.67,0.899,182.6,341
Jalisco,Zapopan,andares-puerta-hierro,Industrial,2025-04-01,10,157.77,0.805,149.8,409
Sonora,Hermosillo,centenario-colosio,Office,2025-08-01,16,358.5,0.752,63.0,283
CDMX,Cuauhtémoc,roma-condesa,Retail,2025-09-01,27,277.01,0.745,70.5,373
Querétaro,Querétaro,centro-queretaro,Office,2025-09-01,22,405.41,0.772,82.1,176
CDMX,Cuauhtémoc,roma-condesa,Retail,2026-04-01,24,331.97,0.728,58.2,385
Baja California,Tijuana,zona-rio-aguacaliente,Office,2025-10-01,19,356.24,0.791,81.8,432
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Office,2024-05-01,19,403.72,0.766,63.1,91
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Office,2024-02-01,26,402.68,0.884,77.0,54
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Retail,2025-01-01,26,275.55,0.732,55.8,173
Guanajuato,León,centro-leon,Land,2024-07-01,22,42.71,0.699,233.9,76
Baja California,Tijuana,zona-rio-aguacaliente,Retail,2024-12-01,10,262.59,0.731,45.1,376
Baja California,Tijuana,zona-rio-aguacaliente,Land,2025-11-01,11,50.89,0.655,199.2,311
Guanajuato,León,centro-leon,Industrial,2025-12-01,8,124.0,0.878,144.1,340
Estado de México,Toluca,metepec-toluca,Office,2025-01-01,13,302.43,0.798,79.8,123
Guanajuato,León,centro-leon,Retail,2025-12-01,10,280.77,0.726,81.8,271
Chihuahua,Chihuahua,centro-chihuahua,Office,2026-05-01,14,357.61,0.835,101.2,317
Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Retail,2024-04-01,24,252.51,0.784,79.2,372
Guanajuato,León,centro-leon,Industrial,2024-04-01,15,130.09,0.897,127.5,93
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Industrial,2025-10-01,25,143.58,0.818,147.5,79
Puebla,Puebla,angelopolis-lomas,Retail,2024-01-01,13,294.33,0.82,103.3,320
Estado de México,Toluca,metepec-toluca,Land,2024-06-01,15,44.39,0.52,142.1,330
Guanajuato,León,centro-leon,Office,2024-08-01,9,338.66,0.858,118.7,203
Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Land,2024-10-01,25,39.96,0.503,137.2,256
Guanajuato,León,centro-leon,Land,2025-04-01,17,43.83,0.618,275.0,326
Jalisco,Guadalajara,americana-chapultepec,Industrial,2024-03-01,20,128.66,0.888,145.3,68
San Luis Potosí,San Luis Potosí,lomas-carranza,Industrial,2025-02-01,9,130.02,0.922,145.2,482
Querétaro,Querétaro,juriquilla-juncos,Office,2026-06-01,8,408.14,0.841,117.8,430
Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Land,2025-01-01,8,41.95,0.688,277.6,309
Estado de México,Toluca,metepec-toluca,Industrial,2025-08-01,9,154.68,0.801,230.4,271
Puebla,Puebla,angelopolis-lomas,Office,2024-08-01,8,354.92,0.856,138.7,352
Chihuahua,Chihuahua,centro-chihuahua,Industrial,2024-12-01,8,139.08,0.848,137.6,78
Querétaro,Querétaro,centro-queretaro,Land,2024-01-01,23,52.2,0.602,152.5,135
Yucatán,Mérida,paseo-montejo,Land,2025-01-01,18,45.0,0.618,233.2,73
Jalisco,Zapopan,andares-puerta-hierro,Industrial,2024-05-01,24,153.76,0.848,195.6,83
Guanajuato,León,centro-leon,Retail,2025-09-01,20,271.93,0.804,131.3,52
Chihuahua,Chihuahua,centro-chihuahua,Land,2024-05-01,25,38.39,0.636,320.6,82
Yucatán,Mérida,paseo-montejo,Office,2024-03-01,20,351.11,0.845,164.0,267
Yucatán,Mérida,paseo-montejo,Industrial,2025-05-01,23,138.35,0.877,105.8,480
San Luis Potosí,San Luis Potosí,lomas-carranza,Retail,2025-09-01,19,283.55,0.801,145.3,104
Querétaro,Querétaro,juriquilla-juncos,Land,2024-08-01,9,47.14,0.572,236.9,131
Chihuahua,Chihuahua,centro-chihuahua,Land,2025-10-01,15,36.93,0.578,349.0,93
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Industrial,2025-05-01,9,155.89,0.825,232.2,192
Nuevo León,Monterrey,macroplaza,Retail,2024-12-01,11,286.86,0.814,130.1,244
Nuevo León,Monterrey,macroplaza,Industrial,2025-11-01,11,144.81,0.805,98.2,482
CDMX,Cuauhtémoc,roma-condesa,Retail,2025-04-01,16,311.58,0.813,107.8,445
Querétaro,Querétaro,juriquilla-juncos,Retail,2025-06-01,13,315.19,0.712,78.2,454
Yucatán,Mérida,paseo-montejo,Office,2024-06-01,17,387.17,0.821,158.2,129
Querétaro,Querétaro,juriquilla-juncos,Land,2025-08-01,23,45.23,0.542,173.5,408
CDMX,Benito Juárez,del-valle-narvarte,Industrial,2024-12-01,14,123.17,0.938,198.8,227
Nuevo León,Monterrey,macroplaza,Retail,2024-05-01,16,264.49,0.755,87.6,445
San Luis Potosí,San Luis Potosí,lomas-carranza,Retail,2025-02-01,10,311.9,0.756,133.3,386
CDMX,Benito Juárez,del-valle-narvarte,Office,2025-04-01,15,339.71,0.848,117.0,428
Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Office,2025-04-01,25,391.32,0.876,84.0,342
San Luis Potosí,San Luis Potosí,lomas-carranza,Retail,2025-07-01,9,325.22,0.735,148.5,207
Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Office,2025-09-01,10,335.79,0.829,77.1,246
Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Land,2026-02-01,12,42.35,0.608,151.2,77
Querétaro,Querétaro,centro-queretaro,Office,2024-01-01,15,394.03,0.868,119.7,64
Chihuahua,Chihuahua,centro-chihuahua,Office,2025-06-01,22,388.61,0.88,94.7,233
Estado de México,Toluca,metepec-toluca,Land,2025-01-01,8,38.92,0.661,311.8,118
Jalisco,Zapopan,andares-puerta-hierro,Retail,2025-02-01,24,321.71,0.816,96.2,131
Guanajuato,León,centro-leon,Land,2024-03-01,24,40.63,0.541,270.1,314
Guanajuato,León,centro-leon,Industrial,2026-04-01,19,140.52,0.908,144.4,252
Querétaro,Querétaro,juriquilla-juncos,Office,2024-02-01,24,375.49,0.869,107.6,194
CDMX,Benito Juárez,del-valle-narvarte,Land,2024-11-01,24,51.76,0.546,212.0,268
Sonora,Hermosillo,centenario-colosio,Industrial,2025-07-01,21,129.44,0.844,118.3,156
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Industrial,2025-06-01,24,161.85,0.865,125.9,240
Querétaro,Querétaro,centro-queretaro,Retail,2026-02-01,10,315.49,0.748,85.4,208
CDMX,Benito Juárez,del-valle-narvarte,Land,2025-05-01,23,52.8,0.624,286.0,106
Puebla,Puebla,angelopolis-lomas,Industrial,2025-04-01,16,131.33,0.948,142.6,139
Chihuahua,Chihuahua,centro-chihuahua,Retail,2024-03-01,15,288.49,0.813,82.9,383
Sonora,Hermosillo,centenario-colosio,Industrial,2026-03-01,20,131.98,0.925,143.1,436
Estado de México,Toluca,metepec-toluca,Office,2024-07-01,10,310.31,0.773,165.7,169
Sonora,Hermosillo,centenario-colosio,Industrial,2024-02-01,22,128.25,0.909,132.2,432
Querétaro,Querétaro,centro-queretaro,Office,2024-07-01,15,363.27,0.847,123.1,229
