spot_id,natural_light,luminaires,charging_ports,security_type,floor_level,elevators,vertical_height_m,parking_spaces,building_status,floor_material,amenities
1,false,0,0,full,0,7,2.3,35,new,ceramic,"[""rooftop"", ""cafeteria"", ""gym"", ""meeting_rooms""]"
2,true,0,0,basic,0,1,2.6,26,new,wood,[]
3,true,0,0,cctv,13,8,7.8,47,good,ceramic,"[""rooftop"", ""meeting_rooms"", ""kitchen"", ""loading_dock""]"
4,true,0,0,basic,0,1,7.7,17,good,ceramic,"[""conference_room"", ""parking"", ""lounge"", ""kitchen""]"
5,true,2,13,cctv,2,7,5.6,56,good,concrete,"[""meeting_rooms""]"
6,true,28,,full,0,1,2.5,13,good,wood,[]
7,true,0,0,none,2,1,,3,good,ceramic,[]
8,true,6,,full,10,10,0.0,0,good,concrete,"[""gym"", ""meeting_rooms""]"
9,true,3,,basic,1,15,0.0,3,fair,concrete,[]
10,true,1,,basic,3,1,,11,new,concrete,[]
11,false,1,,none,3,7,3.3,85,fair,concrete,"[""cafeteria"", ""reception"", ""security_booth""]"
12,true,0,0,basic,1,1,4.1,2,good,polished_concrete,"[""lounge"", ""storage""]"
13,true,14,3,none,0,1,,7,fair,concrete,"[""gym""]"
14,true,0,4,cctv,0,0,3.6,10,good,concrete,[]
15,true,0,2,cctv,0,1,4.5,4,new,ceramic,[]
16,true,24,0,none,3,1,5.5,3,needs_renovation,concrete,"[""rooftop"", ""reception"", ""parking""]"
17,false,37,4,cctv,1,3,2.8,61,good,concrete,[]
18,false,0,0,none,0,0,3.7,12,good,polished_concrete,"[""loading_dock""]"
19,false,2,0,full,0,4,6.8,14,needs_renovation,ceramic,"[""reception"", ""gym"", ""parking""]"
20,true,0,0,none,27,10,4.7,6,new,ceramic,"[""rooftop"", ""kitchen""]"
21,true,19,0,none,0,2,0.0,3,good,wood,"[""parking"", ""loading_dock"", ""kitchen""]"
22,true,39,0,basic,0,0,3.2,2,good,polished_concrete,"[""parking"", ""conference_room""]"
23,true,0,,full,0,0,4.1,15,fair,concrete,[]
24,false,0,,none,2,0,3.6,9,good,concrete,[]
25,false,9,0,full,0,3,8.9,31,fair,concrete,"[""conference_room""]"
26,true,0,,none,2,101,0.0,0,new,concrete,"[""security_booth"", ""lounge"", ""conference_room"", ""storage""]"
27,true,14,0,cctv,2,18,0.0,2,good,carpet,"[""meeting_rooms""]"
28,true,10,0,full,11,8,3.2,44,good,concrete,[]
29,false,40,0,basic,0,22,7.6,217,needs_renovation,concrete,"[""reception"", ""cafeteria"", ""lounge""]"
30,true,0,0,none,24,15,7.6,51,good,concrete,"[""kitchen""]"
31,false,3,0,basic,11,20,7.5,160,good,polished_concrete,"[""rooftop"", ""lounge""]"
32,false,7,0,cctv,0,6,8.1,54,fair,ceramic,"[""loading_dock"", ""parking"", ""lounge""]"
33,false,3,,full,0,5,,48,good,ceramic,[]
34,true,38,0,basic,0,0,2.5,20,fair,wood,"[""cafeteria"", ""lounge"", ""reception""]"
35,false,22,,basic,3,17,7.2,158,good,carpet,[]
36,true,5,0,basic,6,3,2.9,12,good,polished_concrete,[]
37,true,31,0,cctv,0,1,3.2,24,needs_renovation,wood,[]
38,false,0,0,none,2,3,0.0,1,good,ceramic,[]
39,true,1,,none,0,9,6.0,84,good,ceramic,"[""conference_room""]"
40,true,12,0,none,15,5,0.0,1,needs_renovation,wood,"[""cafeteria"", ""lounge""]"
41,true,6,,basic,6,10,10.0,68,fair,polished_concrete,[]
42,false,0,0,cctv,0,0,4.4,0,good,,[]
43,true,0,,cctv,3,20,8.9,170,new,carpet,[]
44,true,5,0,basic,0,1,3.5,4,new,carpet,[]
45,true,0,0,basic,0,2,2.8,9,new,carpet,"[""loading_dock"", ""conference_room""]"
