spot_id,broker_id,sector_name,type_name,state,municipality,settlement,corridor,region,lat,lon,title,description,area_sqm,price_sqm_mxn_rent,price_sqm_mxn_sale,price_total_mxn_rent,price_total_mxn_sale,maintenance_cost_mxn,modality,days_on_market,total_inquiries,total_views,is_active,created_at
1,238,Retail,Subspace,CDMX,Cuauhtémoc,Roma Norte,roma-condesa,centro,19.425615,-99.169211,"Subspace en Retail - roma-condesa, Cuauhtémoc",Amplio espacio con buena iluminación natural. Recién remodelado con acabados modernos. Fácil acceso a transporte público y avenidas principales.,1015.9,285.9,,290445.81,,39681.59,rent,118,4,47,false,2026-05-30T00:00:00.000000
2,23,Office,Single,Yucatán,Mérida,Centro,paseo-montejo,sureste,20.988599,-89.607344,Single de 466 m² en paseo-montejo,Excelente ubicación con acceso a vías principales. Seguridad 24/7 y control de acceso. Perfecto para negocio en crecimiento.,466.0,331.45,,154455.7,,13739.19,rent,3,2,24,true,2025-05-25T00:00:00.000000
3,20,Industrial,Single,Guanajuato,León,Zona Centro,centro-leon,bajío,21.12554,-101.701156,"Industrial Single - centro-leon, León",Excelente ubicación con acceso a vías principales. Zona de alta plusvalía y demanda comercial.,2260.8,94.0,,212515.2,,15099.07,rent,199,7,171,true,2026-02-21T00:00:00.000000
4,119,Industrial,Single,Chihuahua,Chihuahua,Centro,centro-chihuahua,norte,28.632562,-106.087895,Single de 752 m² en centro-chihuahua,Recién remodelado con acabados modernos.,752.1,187.74,31411.35,141199.25,23624476.34,10006.1,both,6,1,19,true,2026-06-28T00:00:00.000000
5,160,Industrial,Subspace,Guanajuato,León,Zona Centro,centro-leon,bajío,21.108827,-101.700832,"Subspace 2726 m², centro-leon",Zona de alta plusvalía y demanda comercial. Fácil acceso a transporte público y avenidas principales. Amplio espacio con buena iluminación natural.,2726.1,,21498.81,,58607905.94,,sale,126,6,93,true,2024-08-26T00:00:00.000000
6,205,Office,Single,Nuevo León,San Pedro Garza García,Del Valle,vasconcelos-calzada,noreste,25.640978,-100.356464,"Office Single - vasconcelos-calzada, San Pedro Garza García",Excelente ubicación con acceso a vías principales. Amplio espacio con buena iluminación natural. Ideal para oficinas corporativas o centro de distribución.,245.5,,65435.55,,16064427.53,,sale,6,1,10,true,2026-06-02T00:00:00.000000
7,48,Retail,Single,Querétaro,Querétaro,Centro Histórico,centro-queretaro,bajío,20.600267,-100.384707,"Single Retail en centro-queretaro, Querétaro",Perfecto para negocio en crecimiento.,78.9,158.66,32951.77,12518.27,2599894.65,1389.53,both,5,2,33,true,2024-08-10T00:00:00.000000
8,19,Land,Single,Jalisco,Zapopan,Puerta de Hierro,andares-puerta-hierro,occidente,20.697419,-103.424627,Single de 3228 m² en andares-puerta-hierro,Amplio espacio con buena iluminación natural. Seguridad 24/7 y control de acceso. Zona de alta plusvalía y demanda comercial.,3228.5,,15518.29,,50100799.27,,sale,130,4,99,true,2025-08-19T00:00:00.000000
9,54,Land,Subspace,CDMX,Benito Juárez,Del Valle,del-valle-narvarte,centro,19.392227,-99.171545,"Land compartido en del-valle-narvarte, Benito Juárez",Zona de alta plusvalía y demanda comercial. Fácil acceso a transporte público y avenidas principales.,6979.9,81.57,,569350.44,,35497.5,rent,18,4,119,true,2025-08-21T00:00:00.000000
10,27,Office,Single,Yucatán,Mérida,Centro,paseo-montejo,sureste,20.979158,-89.63784,"Office Single - paseo-montejo, Mérida",Perfecto para negocio en crecimiento. Seguridad 24/7 y control de acceso.,238.8,240.4,,57407.52,,4545.43,rent,171,11,283,true,2024-05-04T00:00:00.000000
11,49,Office,Single,Yucatán,Mérida,Centro,paseo-montejo,sureste,20.985687,-89.613649,Single de 1631 m² en paseo-montejo,Excelente ubicación con acceso a vías principales. Ideal para oficinas corporativas o centro de distribución. Espacio versátil adaptable a diferentes giros.,1631.1,347.39,55767.74,566627.83,90962760.71,59924.77,both,47,6,176,true,2026-04-23T00:00:00.000000
12,92,Retail,Single,Jalisco,Guadalajara,Colonia Americana,americana-chapultepec,occidente,20.672185,-103.378381,"Single Retail en americana-chapultepec, Guadalajara",Fácil acceso a transporte público y avenidas principales. Zona de alta plusvalía y demanda comercial. Recién remodelado con acabados modernos.,46.1,346.86,52904.02,15990.25,2438875.32,1958.67,both,10,3,87,true,2024-01-17T00:00:00.000000
13,53,Retail,Subspace,San Luis Potosí,San Luis Potosí,Lomas,lomas-carranza,centro-norte,22.139835,-100.958053,"Subspace 172 m², lomas-carranza",Cuenta con todos los servicios y estacionamiento.,172.8,483.55,,83557.44,,7812.17,rent,47,3,74,true,2025-02-19T00:00:00.000000
14,148,Office,Subspace,Yucatán,Mérida,Centro,paseo-montejo,sureste,20.967432,-89.615006,"Subspace 120 m², paseo-montejo",Recién remodelado con acabados modernos.,120.9,468.4,,56629.56,,4455.83,rent,158,9,157,true,2024-03-01T00:00:00.000000
15,2,Retail,Single,Baja California,Tijuana,Zona Río,zona-rio-aguacaliente,noroeste,32.512016,-117.037674,"Single Retail en zona-rio-aguacaliente, Tijuana",Cuenta con todos los servicios y estacionamiento. Recién remodelado con acabados modernos. Fácil acceso a transporte público y avenidas principales.,59.7,,27804.27,,1659914.92,,sale,102,5,116,true,2024-08-03T00:00:00.000000
16,249,Retail,Single,Jalisco,Guadalajara,Colonia Americana,americana-chapultepec,occidente,20.67114,-103.37977,Single de 104 m² en americana-chapultepec,Recién remodelado con acabados modernos. Fácil acceso a transporte público y avenidas principales. Espacio listo para ocupar con acabados de primera.,104.4,,40274.78,,4204687.03,,sale,2,3,39,true,2024-02-07T00:00:00.000000
17,98,Office,Single,San Luis Potosí,San Luis Potosí,Lomas,lomas-carranza,centro-norte,22.144051,-100.998112,"Office Single - lomas-carranza, San Luis Potosí",Cuenta con todos los servicios y estacionamiento.,1216.8,286.4,,348491.52,,33795.45,rent,61,3,61,true,2026-02-09T00:00:00.000000
18,224,Retail,Single,Querétaro,Querétaro,Juriquilla,juriquilla-juncos,bajío,20.715666,-100.45792,"Single Retail en juriquilla-juncos, Querétaro",Ubicación estratégica cerca de centros comerciales. Excelente ubicación con acceso a vías principales. Amplio espacio con buena iluminación natural.,329.0,213.66,31405.22,70294.14,10332317.38,6257.23,both,84,1,26,true,2025-10-09T00:00:00.000000
