table,column,missing_count,missing_rate,interpretation
leads,min_budget_mxn_sale_total,2593,0.5186,structural_by_search_modality
leads,max_budget_mxn_sale_total,2503,0.5006,structural_by_search_modality
inquiries,requested_budget_mxn_sale_total,11265,0.4989812189936215,partly_structural_by_modality
spots,price_sqm_mxn_sale,1192,0.3973333333333333,structural_by_modality
spots,price_total_mxn_sale,1192,0.3973333333333333,structural_by_modality
leads,min_budget_mxn_rent_monthly,1608,0.3216,structural_by_search_modality
inquiries,urgency_days,6918,0.30643160878809356,ordinary_or_domain_specific
leads,max_budget_mxn_rent_monthly,1490,0.298,structural_by_search_modality
inquiries,requested_budget_mxn_rent_monthly,6671,0.2954907866761162,partly_structural_by_modality
spots,maintenance_cost_mxn,761,0.25366666666666665,structural_by_modality
spots,price_sqm_mxn_rent,761,0.25366666666666665,structural_by_modality
spots,price_total_mxn_rent,761,0.25366666666666665,structural_by_modality
spot_attributes,charging_ports,606,0.202,ordinary_or_domain_specific
spot_attributes,vertical_height_m,457,0.15233333333333332,ordinary_or_domain_specific
inquiries,broker_response_hours,3398,0.15051381998582566,ordinary_or_domain_specific
spot_attributes,floor_material,236,0.07866666666666666,ordinary_or_domain_specific
leads,preferred_corridor,380,0.076,ordinary_or_domain_specific
leads,company_size,257,0.0514,ordinary_or_domain_specific
leads,industry,151,0.0302,ordinary_or_domain_specific
availability_snapshot,competing_inquiries_30d,0,0,ordinary_or_domain_specific
availability_snapshot,days_until_available,0,0,ordinary_or_domain_specific
availability_snapshot,is_available,0,0,ordinary_or_domain_specific
availability_snapshot,snapshot_date,0,0,ordinary_or_domain_specific
availability_snapshot,snapshot_id,0,0,ordinary_or_domain_specific
availability_snapshot,spot_id,0,0,ordinary_or_domain_specific
inquiries,asked_visit,0,0,ordinary_or_domain_specific
inquiries,broker_response,0,0,ordinary_or_domain_specific
inquiries,channel,0,0,ordinary_or_domain_specific
inquiries,inquiry_at,0,0,ordinary_or_domain_specific
inquiries,inquiry_id,0,0,ordinary_or_domain_specific
inquiries,lead_id,0,0,ordinary_or_domain_specific
inquiries,message_length,0,0,ordinary_or_domain_specific
inquiries,requested_area_sqm,0,0,ordinary_or_domain_specific
inquiries,spot_id,0,0,ordinary_or_domain_specific
leads,created_at,0,0,ordinary_or_domain_specific
leads,has_converted_before,0,0,ordinary_or_domain_specific
leads,lead_id,0,0,ordinary_or_domain_specific
leads,lead_score_internal,0,0,ordinary_or_domain_specific
leads,preferred_municipality,0,0,ordinary_or_domain_specific
leads,preferred_state,0,0,ordinary_or_domain_specific
leads,prior_inquiries,0,0,ordinary_or_domain_specific
leads,prior_searches,0,0,ordinary_or_domain_specific
leads,search_modality,0,0,ordinary_or_domain_specific
leads,search_sector,0,0,ordinary_or_domain_specific
leads,source,0,0,ordinary_or_domain_specific
leads,target_area_sqm,0,0,ordinary_or_domain_specific
leads,user_type,0,0,ordinary_or_domain_specific
market_context,absorption_velocity_days,0,0,ordinary_or_domain_specific
market_context,avg_price_sqm_mxn,0,0,ordinary_or_domain_specific
market_context,corridor,0,0,ordinary_or_domain_specific
market_context,month,0,0,ordinary_or_domain_specific
market_context,municipality,0,0,ordinary_or_domain_specific
market_context,recent_inquiry_volume,0,0,ordinary_or_domain_specific
market_context,recent_occupancy_rate,0,0,ordinary_or_domain_specific
market_context,sector,0,0,ordinary_or_domain_specific
market_context,similar_available_spots,0,0,ordinary_or_domain_specific
market_context,state,0,0,ordinary_or_domain_specific
spot_attributes,amenities,0,0,ordinary_or_domain_specific
spot_attributes,building_status,0,0,ordinary_or_domain_specific
spot_attributes,elevators,0,0,ordinary_or_domain_specific
spot_attributes,floor_level,0,0,ordinary_or_domain_specific
spot_attributes,luminaires,0,0,ordinary_or_domain_specific
spot_attributes,natural_light,0,0,ordinary_or_domain_specific
spot_attributes,parking_spaces,0,0,ordinary_or_domain_specific
spot_attributes,security_type,0,0,ordinary_or_domain_specific
spot_attributes,spot_id,0,0,ordinary_or_domain_specific
spots,area_sqm,0,0,ordinary_or_domain_specific
spots,broker_id,0,0,ordinary_or_domain_specific
spots,corridor,0,0,ordinary_or_domain_specific
spots,created_at,0,0,ordinary_or_domain_specific
spots,days_on_market,0,0,ordinary_or_domain_specific
spots,description,0,0,ordinary_or_domain_specific
spots,is_active,0,0,ordinary_or_domain_specific
spots,lat,0,0,ordinary_or_domain_specific
spots,lon,0,0,ordinary_or_domain_specific
spots,modality,0,0,ordinary_or_domain_specific
spots,municipality,0,0,ordinary_or_domain_specific
spots,region,0,0,ordinary_or_domain_specific
spots,sector_name,0,0,ordinary_or_domain_specific
spots,settlement,0,0,ordinary_or_domain_specific
spots,spot_id,0,0,ordinary_or_domain_specific
spots,state,0,0,ordinary_or_domain_specific
spots,title,0,0,ordinary_or_domain_specific
spots,total_inquiries,0,0,ordinary_or_domain_specific
spots,total_views,0,0,ordinary_or_domain_specific
spots,type_name,0,0,ordinary_or_domain_specific
