stage,dimension,segment,n,proxy_positive_rate
T0,search_sector,Industrial,1206,0.417910447761194
T0,search_sector,Land,750,0.44266666666666665
T0,search_sector,Office,1408,0.40198863636363635
T0,search_sector,Retail,1472,0.4232336956521739
T0,search_modality,both,975,0.4358974358974359
T0,search_modality,rent,2411,0.4122770634591456
T0,search_modality,sale,1450,0.41793103448275865
T0,user_type,broker,1747,0.4253005151688609
T0,user_type,developer,238,0.3907563025210084
T0,user_type,investor,969,0.4231166150670795
T0,user_type,tenant_direct,1882,0.41392136025504783
T0,source,email,468,0.43162393162393164
T0,source,event,251,0.4063745019920319
T0,source,organic,1418,0.42736248236953456
T0,source,paid,1202,0.4176372712146423
T0,source,referral,984,0.40447154471544716
T0,source,social,513,0.4191033138401559
T0,company_size,<MISSING>,246,0.4268292682926829
T0,company_size,enterprise,670,0.42686567164179107
T0,company_size,large,1182,0.4179357021996616
T0,company_size,medium,1600,0.413125
T0,company_size,small,1138,0.4209138840070299
T1,search_sector,Industrial,1195,0.45271966527196655
T1,search_sector,Land,746,0.4571045576407507
T1,search_sector,Office,1394,0.42754662840746055
T1,search_sector,Retail,1459,0.45030843043180263
T1,search_modality,both,970,0.4608247422680412
T1,search_modality,rent,2388,0.440536013400335
T1,search_modality,sale,1436,0.4428969359331476
T1,user_type,broker,1736,0.4475806451612903
T1,user_type,developer,234,0.4188034188034188
T1,user_type,investor,961,0.4464099895941727
T1,user_type,tenant_direct,1863,0.44605475040257647
T1,source,email,467,0.45610278372591007
T1,source,event,249,0.44176706827309237
T1,source,organic,1407,0.4520255863539446
T1,source,paid,1193,0.44006705783738476
T1,source,referral,969,0.43343653250773995
T1,source,social,509,0.4538310412573674
T1,company_size,<MISSING>,243,0.45267489711934156
T1,company_size,enterprise,663,0.46003016591251883
T1,company_size,large,1171,0.444064901793339
T1,company_size,medium,1590,0.43522012578616354
T1,company_size,small,1127,0.45075421472937
T2,search_sector,Industrial,784,0.35586734693877553
T2,search_sector,Land,496,0.4032258064516129
T2,search_sector,Office,999,0.3863863863863864
T2,search_sector,Retail,1035,0.4067632850241546
T2,search_modality,both,668,0.38772455089820357
T2,search_modality,rent,1674,0.3870967741935484
T2,search_modality,sale,972,0.389917695473251
T2,user_type,broker,1219,0.3888433141919606
T2,user_type,developer,155,0.36129032258064514
T2,user_type,investor,676,0.386094674556213
T2,user_type,tenant_direct,1264,0.3916139240506329
T2,source,email,328,0.40853658536585363
T2,source,event,175,0.37714285714285717
T2,source,organic,972,0.3991769547325103
T2,source,paid,818,0.37286063569682154
T2,source,referral,678,0.38495575221238937
T2,source,social,343,0.3848396501457726
T2,company_size,<MISSING>,173,0.43352601156069365
T2,company_size,enterprise,472,0.3983050847457627
T2,company_size,large,815,0.3987730061349693
T2,company_size,medium,1103,0.3825929283771532
T2,company_size,small,751,0.36750998668442075
T3,search_sector,Industrial,541,0.3234750462107209
T3,search_sector,Land,332,0.34036144578313254
T3,search_sector,Office,680,0.32941176470588235
T3,search_sector,Retail,698,0.335243553008596
T3,search_modality,both,447,0.3131991051454139
T3,search_modality,rent,1150,0.3382608695652174
T3,search_modality,sale,654,0.3318042813455658
T3,user_type,broker,820,0.3231707317073171
T3,user_type,developer,108,0.37962962962962965
T3,user_type,investor,468,0.3034188034188034
T3,user_type,tenant_direct,855,0.3485380116959064
T3,source,email,221,0.3574660633484163
T3,source,event,119,0.2773109243697479
T3,source,organic,671,0.33681073025335323
T3,source,paid,573,0.3089005235602094
T3,source,referral,444,0.34684684684684686
T3,source,social,223,0.3452914798206278
T3,company_size,<MISSING>,113,0.37168141592920356
T3,company_size,enterprise,317,0.3470031545741325
T3,company_size,large,529,0.32514177693761814
T3,company_size,medium,764,0.337696335078534
T3,company_size,small,528,0.3106060606060606
