lead_id,user_type,company_size,industry,search_sector,search_modality,target_area_sqm,min_budget_mxn_rent_monthly,max_budget_mxn_rent_monthly,min_budget_mxn_sale_total,max_budget_mxn_sale_total,preferred_state,preferred_municipality,preferred_corridor,source,prior_searches,prior_inquiries,has_converted_before,lead_score_internal,created_at,entity,anomaly_group,anomaly_score,isolation_forest_flag,anomaly_percentile_within_group,robust_deviation_explanation
2569,tenant_direct,enterprise,other,Industrial,both,38.4,4051.69,5226.67,729303.73,1030151.28,Estado de México,Toluca,,referral,3,0,False,0.1852,2026-01-16,lead,search_sector=Industrial | search_modality=both,0.11106456151516131,True,1.0,min_budget_mxn_rent_monthly=3.4 MAD; min_budget_mxn_sale_total=3.3 MAD; max_budget_mxn_rent_monthly=3.2 MAD
632,investor,small,retail,Office,sale,3689.1,,,,248432788.34,Chihuahua,Chihuahua,centro-chihuahua,email,3,5,True,0.3456,2025-08-29,lead,search_sector=Office | search_modality=sale,0.10668612121143073,True,1.0,target_area_sqm=3.1 MAD; max_budget_mxn_sale_total=3.1 MAD; prior_inquiries=0.4 MAD
3425,broker,medium,manufacturing,Retail,both,57.6,,15133.67,2253460.57,2531006.08,Jalisco,Guadalajara,americana-chapultepec,referral,0,6,False,0.769,2026-01-28,lead,search_sector=Retail | search_modality=both,0.10184166992499799,True,1.0,max_budget_mxn_sale_total=2.9 MAD; min_budget_mxn_sale_total=2.8 MAD; target_area_sqm=2.8 MAD
2007,tenant_direct,large,retail,Retail,sale,55.8,,,2390334.31,3303319.62,Chihuahua,Chihuahua,centro-chihuahua,organic,35,67,True,0.013,2026-02-06,lead,search_sector=Retail | search_modality=sale,0.09806794318472456,True,1.0,prior_inquiries=3.4 MAD; min_budget_mxn_sale_total=3.2 MAD; target_area_sqm=2.9 MAD
4459,broker,medium,manufacturing,Retail,both,73.3,,21133.45,,3854594.91,Estado de México,Toluca,metepec-toluca,referral,2,0,False,0.7217,2025-02-01,lead,search_sector=Retail | search_modality=both,0.09502390780098391,True,0.9966777408637874,target_area_sqm=2.4 MAD; max_budget_mxn_sale_total=2.3 MAD; max_budget_mxn_rent_monthly=2.2 MAD
125,broker,medium,technology,Office,sale,63.3,,,3071167.53,4048454.43,San Luis Potosí,San Luis Potosí,lomas-carranza,social,41,82,True,1.0,2025-05-25,lead,search_sector=Office | search_modality=sale,0.09117457457261013,True,0.9976744186046511,min_budget_mxn_sale_total=2.5 MAD; max_budget_mxn_sale_total=2.4 MAD; target_area_sqm=2.4 MAD
2664,broker,enterprise,financial,Retail,rent,44.4,10601.84,11697.84,,,Nuevo León,Monterrey,macroplaza,referral,0,75,True,0.2001,2025-07-28,lead,search_sector=Retail | search_modality=rent,0.08221362748521421,True,1.0,max_budget_mxn_rent_monthly=3.3 MAD; min_budget_mxn_rent_monthly=3.3 MAD; target_area_sqm=3.0 MAD
842,investor,,logistics,Retail,rent,1440.7,,469936.78,,,CDMX,Cuauhtémoc,roma-condesa,paid,2,37,True,0.5604,2025-07-17,lead,search_sector=Retail | search_modality=rent,0.0819229864316543,True,0.9986807387862797,prior_inquiries=2.1 MAD; max_budget_mxn_rent_monthly=1.9 MAD; target_area_sqm=1.8 MAD
1313,tenant_direct,enterprise,manufacturing,Land,both,2439.9,92890.07,108048.19,,21541662.13,Jalisco,Zapopan,andares-puerta-hierro,referral,0,2,False,0.2926,2025-05-18,lead,search_sector=Land | search_modality=both,0.07718393258536205,True,1.0,target_area_sqm=2.7 MAD; max_budget_mxn_rent_monthly=2.6 MAD; min_budget_mxn_rent_monthly=2.6 MAD
2963,broker,large,financial,Office,rent,8189.3,2206712.28,3141759.69,,,Nuevo León,Monterrey,macroplaza,referral,9,0,False,0.8874,2025-06-08,lead,search_sector=Office | search_modality=rent,0.07714787784729993,True,1.0,min_budget_mxn_rent_monthly=4.5 MAD; target_area_sqm=4.3 MAD; max_budget_mxn_rent_monthly=4.1 MAD
