diagnostic,group,n,rate
urgency_missing_by_channel,app,5724,0.3027603074772886
urgency_missing_by_channel,email,3357,0.3053321417932678
urgency_missing_by_channel,phone,1175,0.3046808510638298
urgency_missing_by_channel,web,6793,0.3051670837626969
urgency_missing_by_channel,whatsapp,5527,0.3128279355889271
urgency_missing_by_broker_response,accepted,10202,0.3022936679082533
urgency_missing_by_broker_response,no_response,4483,0.3055989292884229
urgency_missing_by_broker_response,rejected,3395,0.32312223858615613
urgency_missing_by_broker_response,scheduled_visit,4496,0.3040480427046263
response_hours_missing_by_broker_response,accepted,10202,0.14918643403254264
response_hours_missing_by_broker_response,no_response,4483,0.15547624358688378
response_hours_missing_by_broker_response,rejected,3395,0.14904270986745213
response_hours_missing_by_broker_response,scheduled_visit,4496,0.14968861209964412
scheduled_visit_by_urgency_missing,False,15658,0.19983395069612978
scheduled_visit_by_urgency_missing,True,6918,0.19760046256143393
scheduled_visit_by_response_hours_missing,False,19178,0.19934299718427365
scheduled_visit_by_response_hours_missing,True,3398,0.19805768098881696
