table,column,n,missing_rate,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,raw_tukey_outlier_rate,log_tukey_outlier_rate
leads,lead_id,5000,0.0,2500.5,1443.5200033252052,1.0,50.99,250.95000000000002,1250.75,2500.5,3750.25,4750.05,4950.01,5000.0,0.0,0.048
leads,target_area_sqm,5000,0.0,637.953,1082.291510971949,31.1,74.393,118.69000000000001,244.275,393.4,643.75,1479.4600000000005,7664.551000000025,9961.5,0.0692,0.024
leads,min_budget_mxn_rent_monthly,3392,0.3216,93519.74058372641,96927.62866270608,2476.59,5691.664500000001,10273.2535,32831.8425,67461.455,119904.5,273207.04449999996,435401.6649000007,2206712.28,0.05955188679245283,0.006191037735849057
leads,max_budget_mxn_rent_monthly,3510,0.298,134228.0313219373,167591.53552317581,2777.45,7055.6912,13604.697,42858.195,88575.73499999999,164342.95500000002,411910.1564999995,738119.0027999997,3141759.69,0.0698005698005698,0.009116809116809116
leads,min_budget_mxn_sale_total,2407,0.5186,17035750.93746157,16442653.720833438,449617.17,871792.412,1869287.9660000002,6031749.074999999,12108680.42,22394743.33,50208551.18599998,81715560.28300002,124540633.25,0.05899459908599917,0.009140008309098464
leads,max_budget_mxn_sale_total,2497,0.5006,24282927.79865839,28455528.65494575,512810.67,1169932.1636,2435538.3680000002,7997741.88,16166057.03,30337950.81,74329534.23599999,129545983.36159995,385519956.28,0.06607929515418502,0.010812975570684821
leads,prior_searches,5000,0.0,7.4322,13.496586039697052,0.0,0.0,0.0,0.0,2.0,7.0,44.0,57.0,60.0,0.1306,0.0
leads,prior_inquiries,5000,0.0,11.84,27.889509944654648,0.0,0.0,0.0,0.0,1.0,7.0,78.0,145.01000000000022,199.0,0.129,0.022653721682847898
leads,has_converted_before,5000,0.0,0.1312,0.33765272377455285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.1312,0.0
leads,lead_score_internal,5000,0.0,0.54621368,0.2894549777110111,0.0,0.004899,0.08179499999999999,0.30565000000000003,0.556,0.7944249999999999,1.0,1.0,1.0,0.0,0.0
inquiries,inquiry_id,22576,0.0,11288.5,6517.2741745814765,1.0,226.75,1129.75,5644.75,11288.5,16932.25,21447.25,22350.25,22576.0,0.0,0.04805988660524451
inquiries,lead_id,22576,0.0,2490.0471296952514,1436.6276830191634,1.0,50.75,264.0,1242.75,2482.0,3733.0,4744.0,4948.0,5000.0,0.0,0.045756555634301914
inquiries,spot_id,22576,0.0,1503.6306254429483,864.9850725137195,1.0,27.0,155.0,753.75,1503.0,2251.0,2855.0,2972.0,3000.0,0.0,0.047085400425230337
inquiries,message_length,22576,0.0,225.2656360737066,118.55570558106228,24.0,61.0,87.0,143.0,200.0,280.0,450.0,623.0,1450.0,0.03618887313961729,0.0063784549964564135
inquiries,requested_area_sqm,22576,0.0,1219.4747253720766,2459.500323620557,35.5,89.35000000000001,100.7,246.0,484.3,1075.6999999999998,4898.3,12773.8,40920.9,0.11565379163713678,0.019489723600283487
inquiries,requested_budget_mxn_rent_monthly,15905,0.2954907866761162,121496.36666142722,156592.4648996019,2241.95,5979.018,11728.178,37877.53,79418.29,147231.3,371536.34,708649.6755999933,3141759.69,0.07129833385727759,0.008739390128890285
inquiries,requested_budget_mxn_sale_total,11311,0.4989812189936215,21500322.70234374,25607490.08546518,373190.77,1031434.2520000001,2183807.55,7164314.045,14454449.31,26509969.335,63853905.74,120797996.4,385519956.28,0.06639554416055167,0.012907788878083281
inquiries,urgency_days,15658,0.30643160878809356,117.37188657555244,104.33807806529575,1.0,2.0,7.0,36.0,75.0,189.0,330.0,357.0,364.0,0.0,0.014816707114574019
inquiries,asked_visit,22576,0.0,0.2513731396172927,0.4338121947034151,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
inquiries,broker_response_hours,19178,0.15051381998582566,12.089628741266035,12.092921566054452,0.5,0.5,0.6,3.5,8.4,16.6,36.6,56.4,108.9,0.05104807592032537,0.0
