broker_id,n_spots,median_area,median_rent,median_sale,share_industrial,share_office,share_retail,share_land,share_rent,share_sale,share_both,top_sector,top_region,top_modality,n_inquiries,visit_n,positive_n,responded_n,median_response_hours,fast_rate,visit_rate,positive_rate,response_rate,log_spots,log_inquiries,broker_profile
1,4,709.55,131.07999999999998,36306.19,0.25,0.25,0.25,0.25,0.25,0.5,0.25,Land,centro,sale,26,4,20,23,11.15,0.375,0.17261302903365594,0.7175598247387933,0.8487168375944919,1.6094379124341003,3.295836866004329,B2
2,10,1576.65,201.285,27804.27,0.2,0.3,0.2,0.3,0.1,0.6,0.3,Office,centro,sale,58,12,37,47,7.5,0.4489795918367347,0.20436152994292528,0.641125024845955,0.8082176221711106,2.3978952727983707,4.07753744390572,B2
3,10,619.9,271.28,34207.03,0.3,0.4,0.1,0.2,0.1,0.5,0.4,Office,centro,sale,68,12,41,56,9.95,0.39655172413793105,0.1811386288130474,0.6137244538407329,0.8186474378334844,2.3978952727983707,4.23410650459726,B1
4,7,473.8,193.23,37321.130000000005,0.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.2857142857142857,Office,centro,sale,40,7,23,30,9.35,0.38235294117647056,0.18233665559246953,0.6001291989664083,0.7673495754891104,2.0794415416798357,3.713572066704308,B1
5,1,661.9,94.51,20190.72,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Industrial,noreste,both,14,2,9,13,5.6,0.5384615384615384,0.17471174516318155,0.6472868217054263,0.8541463096866654,0.6931471805599453,2.70805020110221,B2
6,10,526.25,245.895,59921.8,0.3,0.7,0.0,0.0,0.5,0.2,0.3,Office,centro,rent,64,16,39,49,5.9,0.5272727272727272,0.23738332542319251,0.619139904023625,0.774297315825555,2.3978952727983707,4.174387269895637,B1
7,10,105.45,348.485,48417.68,0.2,0.5,0.3,0.0,0.7,0.2,0.1,Office,bajío,rent,61,18,41,47,9.8,0.3,0.2708666584635577,0.6667623696047469,0.7782836361647731,2.3978952727983707,4.127134385045092,B1
8,3,2903.1,235.08999999999997,34374.87,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,Land,centro,sale,20,4,13,15,8.2,0.47368421052631576,0.19850498338870431,0.6501937984496123,0.7760243632336656,1.3862943611198906,3.044522437723423,B2
9,10,234.05,281.18,35036.59,0.1,0.4,0.2,0.3,0.4,0.4,0.2,Office,bajío,sale,76,18,47,60,9.6,0.296875,0.2285437430786268,0.6250807493540051,0.7920934846806941,2.3978952727983707,4.343805421853684,B1
10,13,703.0,221.3,35816.075,0.46153846153846156,0.15384615384615385,0.3076923076923077,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.5384615384615384,Industrial,bajío,both,92,11,54,73,8.1,0.40963855421686746,0.13339463692453726,0.5982834994462901,0.7950087011548806,2.639057329615259,4.532599493153256,B2
