lead_id,lead_profile
1,L2
2,L1
3,L1
4,L1
5,L2
6,L1
7,L2
8,L1
9,L1
10,L1
11,L1
12,L1
13,L1
14,L1
15,L1
16,L1
17,L1
18,L1
19,L1
20,L1
21,L1
22,L1
23,L1
24,L1
25,L2
26,L1
27,L1
28,L1
29,L1
30,L1
31,L1
32,L1
33,L1
34,L1
35,L1
36,L1
37,L1
38,L1
39,L1
40,L1
41,L1
42,L1
43,L1
44,L1
45,L1
46,L1
47,L1
48,L1
49,L1
50,L1
51,L1
52,L1
53,L2
54,L1
55,L1
56,L1
57,L1
58,L1
59,L1
60,L1
61,L2
62,L1
63,L1
64,L1
65,L1
66,L1
67,L1
68,L1
69,L1
70,L1
71,L1
72,L1
73,L1
74,L1
75,L1
76,L1
77,L1
78,L1
79,L1
80,L1
81,L1
82,L2
83,L1
84,L1
85,L1
86,L1
87,L1
88,L1
89,L1
90,L1
91,L2
92,L1
93,L1
94,L1
95,L1
96,L1
97,L1
98,L1
99,L1
100,L1
101,L1
102,L1
103,L1
104,L1
105,L1
106,L1
107,L1
108,L1
109,L1
110,L1
111,L1
112,L1
113,L1
114,L1
115,L1
116,L1
117,L1
118,L1
119,L1
120,L1
121,L1
122,L1
123,L1
124,L1
125,L1
126,L1
127,L1
128,L1
129,L1
130,L1
131,L1
132,L1
133,L1
134,L1
135,L1
136,L1
137,L1
138,L1
139,L1
140,L1
141,L1
142,L1
143,L1
144,L2
145,L1
146,L1
147,L1
148,L1
149,L1
150,L1
151,L1
152,L1
153,L1
154,L1
155,L2
156,L2
157,L1
158,L1
159,L1
160,L1
161,L1
162,L1
163,L1
164,L1
165,L3
166,L1
167,L1
168,L1
169,L1
170,L1
171,L3
172,L1
173,L2
174,L1
175,L1
176,L1
177,L3
178,L1
179,L1
180,L1
181,L1
182,L1
183,L1
184,L2
185,L1
186,L2
187,L1
188,L1
189,L1
190,L1
191,L1
192,L1
193,L1
194,L1
195,L1
196,L1
197,L1
198,L1
199,L2
200,L2
201,L1
202,L1
203,L1
204,L2
205,L1
206,L2
207,L1
208,L1
209,L1
210,L1
211,L2
212,L1
213,L1
214,L1
215,L1
216,L1
217,L1
218,L2
219,L1
220,L1
221,L1
222,L1
223,L1
224,L1
225,L1
226,L1
227,L1
228,L3
229,L1
230,L1
231,L1
232,L1
233,L2
234,L1
235,L1
236,L1
237,L1
238,L1
239,L2
240,L1
241,L1
242,L1
243,L1
244,L1
245,L1
246,L1
247,L1
248,L1
249,L1
250,L1
251,L1
252,L1
253,L1
254,L1
255,L1
256,L1
257,L2
258,L1
259,L1
260,L1
261,L1
262,L1
263,L1
264,L1
265,L2
266,L1
267,L1
268,L1
269,L1
270,L1
271,L2
272,L1
273,L1
274,L1
275,L1
276,L1
277,L1
278,L1
279,L1
280,L1
281,L1
282,L1
