spot_id,broker_id,spot_profile
1,238,S1
2,23,S1
3,20,S1
4,119,S1
5,160,S1
6,205,S1
7,48,S1
8,19,S1
9,54,S1
10,27,S1
11,49,S1
12,92,S1
13,53,S1
14,148,S1
15,2,S1
16,249,S1
17,98,S1
18,224,S1
19,208,S1
20,148,S1
21,120,S1
22,298,S1
23,128,S1
24,25,S1
25,104,S1
26,287,S3
27,232,S1
28,34,S1
29,128,S1
30,162,S1
31,27,S2
32,236,S1
33,155,S1
34,178,S1
35,64,S1
36,190,S1
37,55,S1
38,208,S1
39,134,S1
40,194,S1
41,131,S1
42,146,S1
43,294,S1
44,96,S1
45,230,S1
46,249,S1
47,89,S1
48,172,S1
49,294,S1
50,259,S1
51,115,S1
52,209,S1
53,142,S1
54,251,S1
55,246,S1
56,219,S1
57,73,S1
58,200,S1
59,192,S1
60,13,S1
61,54,S1
62,259,S1
63,295,S1
64,184,S1
65,263,S1
66,269,S1
67,40,S1
68,272,S1
69,210,S1
70,148,S1
71,193,S1
72,14,S1
73,242,S1
74,40,S1
75,164,S1
76,52,S1
77,140,S1
78,9,S1
79,166,S1
80,73,S1
81,176,S1
82,102,S1
83,129,S1
84,253,S1
85,278,S1
86,295,S1
87,14,S1
88,234,S1
89,19,S1
90,4,S1
91,259,S1
92,45,S1
93,256,S1
94,156,S1
95,300,S1
96,264,S1
97,204,S1
98,25,S1
99,184,S1
100,2,S1
101,91,S1
102,154,S1
103,211,S1
104,169,S1
105,212,S1
106,106,S1
107,23,S1
108,295,S1
109,169,S1
110,6,S3
111,147,S1
112,106,S1
113,186,S1
114,88,S1
115,40,S3
116,122,S1
117,33,S1
118,95,S1
119,74,S2
120,278,S1
121,6,S1
122,46,S1
123,205,S1
124,166,S1
125,151,S1
126,234,S1
127,103,S1
128,287,S1
129,244,S1
130,49,S1
131,60,S1
132,137,S1
133,271,S1
134,272,S1
135,186,S1
136,173,S1
137,22,S1
138,95,S1
139,251,S1
140,177,S1
141,185,S1
142,169,S1
143,32,S1
144,89,S1
145,294,S1
146,80,S1
147,179,S1
148,126,S1
149,219,S1
150,251,S1
151,28,S1
152,41,S2
153,260,S1
154,82,S1
155,240,S1
156,41,S1
157,149,S1
158,82,S1
159,82,S1
160,90,S1
161,268,S1
162,161,S1
163,96,S1
164,97,S1
165,113,S1
166,151,S1
167,64,S1
168,126,S1
169,196,S1
170,252,S1
171,90,S1
172,167,S1
173,74,S1
174,241,S1
175,241,S1
176,38,S1
177,41,S2
178,171,S1
179,243,S1
180,82,S1
181,46,S1
182,216,S1
183,223,S1
184,242,S1
185,268,S1
186,296,S1
187,144,S1
188,266,S1
189,237,S1
190,145,S2
191,213,S2
192,32,S1
193,174,S1
194,151,S1
195,285,S1
196,225,S3
197,122,S1
198,256,S1
199,182,S1
200,148,S1
201,93,S1
202,2,S1
203,22,S1
204,94,S1
205,11,S1
206,215,S1
207,126,S1
208,95,S1
209,203,S1
210,177,S2
211,209,S1
212,23,S1
213,185,S1
214,88,S1
215,78,S1
216,274,S1
217,66,S1
218,48,S1
219,190,S1
220,46,S1
221,111,S1
222,227,S1
223,282,S1
224,295,S1
225,56,S1
226,115,S1
227,9,S2
228,69,S1
229,170,S1
230,200,S1
231,222,S1
232,297,S1
233,206,S1
234,85,S1
235,297,S1
236,35,S1
237,42,S1
238,285,S1
239,125,S1
240,4,S1
241,127,S1
242,195,S1
243,114,S1
244,202,S1
245,100,S1
246,132,S1
247,279,S1
248,217,S1
249,154,S1
250,227,S1
251,78,S1
252,67,S1
253,162,S1
254,210,S2
255,162,S1
256,71,S1
257,262,S1
258,224,S1
259,34,S1
260,73,S1
261,120,S1
262,150,S1
263,172,S1
264,211,S1
265,266,S1
266,177,S1
267,10,S1
268,160,S1
269,179,S2
270,48,S1
271,160,S1
272,129,S1
273,15,S1
274,138,S1
275,37,S1
276,158,S1
277,28,S1
278,10,S3
279,59,S1
280,216,S1
281,171,S1
282,180,S1
283,13,S1
284,255,S1
285,124,S1
286,67,S1
287,295,S1
288,137,S1
289,226,S2
290,158,S1
291,227,S1
292,108,S1
293,64,S1
294,298,S2
295,258,S1
296,119,S1
297,146,S1
298,65,S1
299,17,S1
300,271,S1
301,77,S1
302,83,S1
303,210,S1
304,163,S1
305,135,S1
306,37,S1
307,163,S1
308,283,S4
309,67,S1
310,181,S1
311,265,S1
312,3,S1
313,6,S1
314,176,S2
315,139,S1
316,50,S1
317,38,S1
318,73,S1
319,204,S1
320,28,S1
321,147,S1
322,224,S1
323,171,S1
324,75,S1
325,225,S3
326,175,S1
327,119,S1
328,14,S1
329,176,S1
330,194,S1
331,229,S1
332,139,S1
333,228,S1
334,134,S1
335,168,S1
336,194,S1
337,244,S1
338,81,S1
339,297,S1
340,76,S1
341,298,S1
342,273,S1
343,278,S1
344,274,S1
345,25,S1
346,81,S1
347,154,S1
348,277,S1
349,79,S1
350,62,S2
351,162,S1
352,64,S1
353,159,S1
354,279,S1
355,129,S1
356,272,S1
357,158,S1
358,120,S1
359,45,S1
360,70,S1
361,6,S1
362,158,S1
363,37,S1
364,181,S1
365,164,S1
366,241,S1
367,111,S1
368,147,S1
369,243,S2
370,183,S1
371,55,S1
372,203,S1
373,209,S1
374,286,S1
375,190,S1
376,159,S1
377,266,S2
378,58,S1
379,157,S1
380,145,S1
381,57,S1
382,15,S1
383,240,S1
384,134,S1
385,94,S2
386,297,S1
387,171,S3
388,58,S1
389,259,S1
390,52,S1
391,202,S1
392,172,S1
393,24,S1
394,31,S1
395,98,S1
396,248,S2
397,147,S1
398,165,S1
399,203,S1
400,282,S1
401,151,S1
402,190,S1
403,236,S1
404,133,S1
405,116,S1
406,160,S1
407,70,S1
408,293,S1
409,232,S1
410,179,S1
411,64,S1
412,145,S1
413,186,S1
414,52,S1
415,71,S1
416,62,S1
417,119,S2
418,242,S1
419,202,S1
420,81,S1
421,265,S1
422,79,S1
423,46,S1
424,67,S1
425,145,S2
426,134,S1
427,45,S1
428,96,S1
429,36,S1
430,122,S1
431,209,S1
432,199,S2
433,239,S4
434,109,S3
435,148,S1
436,103,S1
437,291,S1
438,49,S1
439,120,S1
440,88,S1
441,148,S1
442,294,S1
443,42,S1
444,81,S1
445,156,S1
446,49,S1
447,173,S1
448,73,S1
449,53,S1
450,163,S1
451,106,S2
452,194,S1
453,280,S1
454,9,S1
455,113,S1
456,254,S1
457,291,S1
458,117,S1
459,270,S1
460,17,S1
461,206,S1
462,64,S1
463,288,S1
464,263,S1
465,150,S1
466,219,S1
467,225,S1
468,110,S1
469,287,S1
470,243,S3
471,111,S1
472,267,S2
473,51,S1
474,8,S1
475,196,S1
476,36,S1
477,180,S1
478,287,S1
479,83,S1
480,198,S1
481,82,S1
482,132,S1
483,165,S1
484,220,S1
485,8,S1
486,120,S1
487,85,S1
488,32,S1
489,233,S1
490,109,S1
491,150,S1
492,174,S1
493,293,S1
494,15,S2
495,221,S1
496,116,S1
497,77,S2
498,138,S1
499,28,S1
500,98,S2
501,255,S1
502,291,S1
503,201,S1
504,17,S1
505,43,S1
506,177,S1
507,75,S1
508,173,S1
509,79,S1
510,235,S1
511,44,S1
512,177,S1
513,231,S1
514,91,S1
515,124,S1
516,70,S1
517,273,S1
518,107,S1
519,225,S1
520,115,S1
521,53,S1
522,18,S1
523,253,S1
524,172,S1
525,186,S1
526,168,S1
527,276,S1
528,254,S1
529,18,S1
530,200,S1
531,197,S1
532,218,S1
533,176,S1
534,44,S1
535,97,S1
536,182,S1
537,187,S1
538,2,S1
539,212,S1
540,196,S1
541,281,S1
542,279,S1
543,31,S1
544,70,S1
545,297,S1
546,233,S1
547,98,S3
548,52,S1
549,186,S1
550,205,S1
551,173,S2
552,28,S1
553,204,S1
554,247,S1
555,194,S1
556,300,S1
557,240,S1
558,9,S2
559,181,S1
560,10,S1
561,179,S1
562,120,S1
563,138,S1
564,28,S1
565,197,S3
566,165,S1
567,297,S1
568,213,S1
569,205,S1
570,281,S1
571,184,S1
572,69,S1
573,162,S2
574,251,S1
575,106,S1
576,196,S2
577,194,S1
578,205,S1
579,39,S1
580,88,S1
581,98,S1
582,282,S1
583,122,S1
584,265,S1
585,77,S1
586,101,S1
587,87,S1
588,225,S1
589,290,S1
590,269,S1
591,88,S1
592,10,S1
593,298,S1
594,107,S1
595,93,S1
596,274,S1
597,97,S1
598,275,S1
599,45,S1
600,79,S1
601,190,S1
602,76,S1
603,230,S2
604,200,S1
605,192,S1
606,44,S1
607,117,S1
608,110,S1
609,136,S1
610,281,S1
611,33,S1
612,210,S1
613,122,S1
614,186,S1
615,150,S1
616,56,S1
617,154,S1
618,197,S1
619,20,S1
620,212,S1
621,257,S1
622,245,S1
623,108,S1
624,245,S1
625,157,S2
626,289,S1
627,179,S1
628,288,S1
629,156,S1
630,180,S2
631,90,S1
632,290,S1
633,248,S1
634,175,S1
635,240,S1
636,264,S1
637,174,S1
638,207,S1
639,47,S1
640,261,S1
641,42,S1
642,39,S1
643,81,S1
644,288,S2
645,48,S1
646,182,S1
647,11,S1
648,190,S1
649,75,S2
650,115,S1
651,124,S2
652,109,S1
653,215,S1
654,120,S3
655,269,S1
656,285,S1
657,246,S1
658,293,S1
659,109,S1
660,142,S1
661,161,S1
662,169,S1
663,216,S1
664,49,S1
665,59,S1
666,243,S1
667,79,S1
668,282,S1
669,198,S1
670,174,S3
671,210,S1
672,231,S1
673,73,S1
674,71,S1
675,212,S1
676,139,S1
677,218,S1
678,40,S1
679,156,S1
680,233,S1
681,75,S1
682,14,S1
683,250,S1
684,12,S1
685,146,S1
686,48,S1
687,266,S1
688,179,S1
689,219,S1
690,144,S1
691,158,S1
692,200,S1
693,233,S1
694,114,S1
695,248,S1
696,75,S1
697,87,S1
698,70,S1
699,67,S1
700,189,S1
701,299,S4
702,181,S1
703,251,S1
704,237,S1
705,11,S1
706,114,S1
707,274,S1
708,248,S1
709,243,S1
710,283,S1
711,197,S1
712,263,S1
713,2,S1
714,205,S1
715,37,S1
716,227,S1
717,28,S1
718,92,S1
719,135,S1
720,245,S1
721,181,S1
722,130,S1
723,51,S1
724,219,S1
725,173,S1
726,267,S1
727,124,S1
728,211,S1
729,105,S1
730,115,S1
731,201,S1
732,230,S1
733,279,S1
734,177,S2
735,98,S1
736,230,S1
737,218,S1
738,90,S1
739,189,S1
740,274,S1
741,182,S1
742,90,S1
743,109,S1
744,14,S2
745,4,S1
746,162,S1
747,124,S1
748,6,S1
749,284,S1
750,9,S1
751,210,S1
752,155,S1
753,24,S1
754,299,S3
755,244,S1
756,105,S1
757,275,S1
758,160,S1
759,4,S1
760,1,S1
761,116,S2
762,170,S1
763,194,S1
764,213,S1
765,126,S1
766,266,S1
767,61,S1
768,141,S1
769,274,S1
770,79,S1
771,143,S1
772,284,S1
773,22,S1
774,149,S1
775,262,S1
776,26,S1
777,39,S1
778,163,S1
779,48,S1
780,73,S1
781,167,S2
782,51,S1
783,297,S1
784,58,S1
785,142,S1
786,228,S1
787,208,S1
788,64,S1
789,25,S1
790,288,S1
791,300,S1
792,181,S1
793,223,S1
794,118,S1
795,68,S1
796,190,S1
797,189,S1
798,242,S1
799,99,S1
800,150,S1
801,241,S1
802,226,S1
803,139,S1
804,281,S1
805,56,S1
806,51,S2
807,13,S1
808,148,S1
809,184,S1
810,269,S1
811,115,S1
812,90,S1
813,285,S1
814,263,S1
815,235,S1
816,200,S1
817,38,S1
818,121,S1
819,123,S1
820,64,S1
821,8,S1
822,33,S1
823,156,S1
824,270,S1
825,179,S1
826,16,S1
827,281,S2
828,90,S1
829,133,S1
830,72,S1
831,102,S1
832,176,S1
833,227,S1
834,34,S1
835,194,S1
836,90,S1
837,83,S1
838,204,S1
839,159,S1
840,294,S1
841,225,S1
842,94,S1
843,62,S1
844,22,S1
845,129,S1
846,170,S1
847,27,S1
848,173,S1
849,135,S1
850,259,S1
851,112,S1
852,287,S1
853,58,S1
854,153,S1
855,80,S1
856,43,S1
857,121,S1
858,82,S1
859,226,S1
860,151,S1
861,294,S1
862,239,S1
863,52,S1
864,231,S2
865,236,S3
866,47,S1
867,239,S1
868,153,S1
869,120,S2
870,77,S1
871,151,S1
872,33,S1
873,286,S1
874,218,S1
875,106,S1
876,259,S1
877,52,S2
878,95,S1
879,124,S2
880,71,S1
881,157,S1
882,148,S1
883,63,S1
884,61,S3
885,153,S1
886,269,S1
887,234,S1
888,142,S1
889,91,S1
890,62,S1
891,3,S1
892,299,S1
893,174,S1
894,256,S1
895,33,S1
896,64,S1
897,128,S1
898,183,S1
899,298,S1
900,275,S1
901,218,S1
902,85,S1
903,238,S1
904,19,S4
905,67,S1
906,212,S1
907,265,S1
908,99,S1
909,278,S1
910,75,S1
911,28,S1
912,219,S1
913,25,S1
914,38,S2
915,21,S1
916,293,S1
917,251,S1
918,56,S1
919,128,S1
920,245,S1
921,3,S1
922,283,S1
923,20,S1
924,96,S1
925,244,S1
926,19,S1
927,173,S1
928,163,S1
929,101,S1
930,38,S1
931,228,S1
932,119,S1
933,234,S1
934,175,S1
935,252,S1
936,234,S3
937,261,S1
938,64,S1
939,255,S1
940,131,S1
941,250,S1
942,54,S1
943,67,S3
944,122,S1
945,123,S1
946,113,S1
947,65,S1
948,276,S1
949,123,S1
950,253,S1
951,146,S1
952,176,S1
953,275,S1
954,151,S1
955,117,S2
956,35,S1
957,133,S1
958,23,S1
959,229,S1
960,296,S1
961,33,S1
962,43,S1
963,250,S1
964,144,S1
965,277,S1
966,136,S1
967,237,S1
968,181,S1
969,133,S1
970,297,S1
971,251,S1
972,8,S1
973,83,S1
974,277,S1
975,293,S1
976,74,S1
977,72,S1
978,249,S1
979,171,S1
980,265,S1
981,50,S1
982,265,S1
983,73,S3
984,241,S1
985,150,S1
986,142,S1
987,111,S1
988,57,S1
989,295,S1
990,42,S1
991,85,S1
992,292,S1
993,67,S1
994,242,S1
995,68,S1
996,180,S1
997,254,S1
998,72,S2
999,91,S1
1000,69,S1
1001,140,S1
1002,169,S1
1003,224,S1
1004,27,S1
1005,112,S1
1006,268,S3
1007,227,S1
1008,266,S1
1009,70,S1
1010,23,S1
1011,109,S1
1012,177,S1
1013,258,S1
1014,278,S1
1015,69,S1
1016,174,S1
1017,79,S1
1018,64,S1
1019,46,S1
1020,282,S1
1021,52,S2
1022,227,S1
1023,20,S1
1024,187,S1
1025,258,S1
1026,14,S1
1027,16,S1
1028,81,S2
1029,296,S1
1030,126,S1
1031,45,S1
1032,233,S1
1033,51,S1
1034,146,S1
1035,294,S1
1036,174,S1
1037,267,S1
1038,45,S1
1039,226,S1
1040,60,S1
1041,177,S1
1042,137,S1
1043,130,S1
1044,28,S1
1045,239,S1
1046,108,S1
1047,10,S1
1048,39,S1
1049,229,S1
1050,23,S1
1051,212,S1
1052,171,S1
1053,239,S1
1054,147,S1
1055,158,S1
1056,61,S1
1057,24,S1
1058,258,S1
1059,171,S1
1060,11,S1
1061,161,S1
1062,51,S1
1063,41,S1
1064,3,S1
1065,294,S3
1066,13,S1
1067,137,S1
1068,146,S1
1069,257,S1
1070,262,S1
1071,136,S1
1072,203,S2
1073,260,S1
1074,17,S1
1075,294,S1
1076,197,S1
1077,250,S1
1078,154,S2
1079,197,S1
1080,156,S1
1081,218,S1
1082,123,S2
1083,132,S1
1084,19,S1
1085,107,S1
1086,62,S1
1087,65,S1
1088,130,S1
1089,203,S1
1090,145,S1
1091,160,S1
1092,263,S1
1093,209,S1
1094,219,S1
1095,234,S1
1096,160,S1
1097,7,S1
1098,13,S1
1099,85,S1
1100,108,S1
1101,37,S3
1102,149,S4
1103,71,S1
1104,87,S1
1105,97,S1
1106,225,S1
1107,60,S1
1108,279,S1
1109,144,S1
1110,102,S1
1111,230,S3
1112,107,S1
1113,73,S1
1114,140,S1
1115,161,S3
1116,34,S1
1117,203,S1
1118,176,S1
1119,234,S1
1120,142,S1
1121,120,S3
1122,142,S1
1123,91,S1
1124,196,S1
1125,3,S1
1126,232,S1
1127,133,S1
1128,206,S4
1129,259,S1
1130,181,S1
1131,193,S1
1132,79,S1
1133,142,S1
1134,104,S1
1135,10,S1
1136,289,S1
1137,168,S1
1138,187,S1
1139,226,S1
1140,190,S1
1141,118,S1
1142,101,S1
1143,72,S1
1144,66,S1
1145,233,S4
1146,151,S1
1147,137,S1
1148,180,S1
1149,189,S1
1150,43,S1
1151,53,S1
1152,150,S2
1153,33,S1
1154,154,S1
1155,220,S1
1156,30,S1
1157,43,S1
1158,18,S1
1159,190,S1
1160,159,S1
1161,71,S1
1162,269,S1
1163,186,S1
1164,65,S1
1165,244,S1
1166,87,S1
1167,118,S1
1168,223,S1
1169,227,S1
1170,86,S1
1171,168,S1
1172,290,S1
1173,65,S1
1174,251,S1
1175,132,S1
1176,187,S1
1177,86,S1
1178,106,S1
1179,258,S1
1180,209,S1
1181,51,S1
1182,59,S1
1183,104,S1
1184,213,S2
1185,4,S1
1186,43,S1
1187,254,S1
1188,52,S1
1189,23,S1
1190,21,S1
1191,198,S1
1192,106,S1
1193,192,S1
1194,290,S1
1195,178,S1
1196,295,S1
1197,212,S1
1198,291,S1
1199,181,S1
1200,89,S1
1201,286,S1
1202,211,S1
1203,63,S1
1204,197,S1
1205,269,S1
1206,133,S1
1207,29,S1
1208,102,S1
1209,75,S3
1210,200,S1
1211,72,S1
1212,78,S1
1213,78,S1
1214,74,S1
1215,86,S1
1216,117,S1
1217,75,S1
1218,140,S1
1219,210,S1
1220,185,S1
1221,203,S1
1222,51,S1
1223,130,S1
1224,129,S1
1225,148,S1
1226,140,S1
1227,25,S1
1228,173,S1
1229,254,S1
1230,212,S1
1231,55,S1
1232,145,S1
1233,241,S1
1234,107,S1
1235,36,S1
1236,189,S1
1237,133,S3
1238,9,S1
1239,287,S1
1240,25,S1
1241,68,S1
1242,230,S2
1243,74,S1
1244,220,S1
1245,240,S1
1246,87,S1
1247,149,S1
1248,220,S1
1249,7,S1
1250,184,S1
1251,192,S1
1252,185,S1
1253,100,S1
1254,62,S1
1255,203,S1
1256,42,S1
1257,74,S1
1258,101,S1
1259,174,S1
1260,133,S1
1261,175,S1
