table,column,non_null_rate,null_count,distinct
leads,lead_id,1.0,0,5000
leads,user_type,1.0,0,4
leads,company_size,0.9486,257,4
leads,industry,0.9698,151,7
leads,search_sector,1.0,0,4
leads,search_modality,1.0,0,3
leads,target_area_sqm,1.0,0,3869
leads,min_budget_mxn_rent_monthly,0.6784,1608,3392
leads,max_budget_mxn_rent_monthly,0.702,1490,3508
leads,min_budget_mxn_sale_total,0.4814,2593,2407
leads,max_budget_mxn_sale_total,0.4994,2503,2497
leads,preferred_state,1.0,0,12
leads,preferred_municipality,1.0,0,17
leads,preferred_corridor,0.924,380,18
leads,source,1.0,0,6
leads,prior_searches,1.0,0,61
leads,prior_inquiries,1.0,0,160
leads,has_converted_before,1.0,0,2
leads,lead_score_internal,1.0,0,3683
leads,created_at,1.0,0,545
spots,spot_id,1.0,0,3000
spots,broker_id,1.0,0,300
spots,sector_name,1.0,0,4
spots,type_name,1.0,0,2
spots,state,1.0,0,12
spots,municipality,1.0,0,17
spots,settlement,1.0,0,15
spots,corridor,1.0,0,18
spots,region,1.0,0,9
spots,lat,1.0,0,2990
spots,lon,1.0,0,2983
spots,title,1.0,0,1245
spots,description,1.0,0,856
spots,area_sqm,1.0,0,2610
spots,price_sqm_mxn_rent,0.7463333333333333,761,2066
spots,price_sqm_mxn_sale,0.6026666666666667,1192,1808
spots,price_total_mxn_rent,0.7463333333333333,761,2239
spots,price_total_mxn_sale,0.6026666666666667,1192,1808
spots,maintenance_cost_mxn,0.7463333333333333,761,2236
spots,modality,1.0,0,3
spots,days_on_market,1.0,0,426
spots,total_inquiries,1.0,0,36
spots,total_views,1.0,0,393
spots,is_active,1.0,0,2
spots,created_at,1.0,0,858
spot_attributes,spot_id,1.0,0,3000
spot_attributes,natural_light,1.0,0,2
spot_attributes,luminaires,1.0,0,41
spot_attributes,charging_ports,0.798,606,21
spot_attributes,security_type,1.0,0,4
spot_attributes,floor_level,1.0,0,31
spot_attributes,elevators,1.0,0,99
spot_attributes,vertical_height_m,0.8476666666666667,457,107
spot_attributes,parking_spaces,1.0,0,302
spot_attributes,building_status,1.0,0,4
spot_attributes,floor_material,0.9213333333333333,236,5
spot_attributes,amenities,1.0,0,986
inquiries,inquiry_id,1.0,0,22576
inquiries,lead_id,1.0,0,5000
inquiries,spot_id,1.0,0,2998
inquiries,inquiry_at,1.0,0,22442
inquiries,channel,1.0,0,5
inquiries,message_length,1.0,0,747
inquiries,requested_area_sqm,1.0,0,7500
inquiries,requested_budget_mxn_rent_monthly,0.7045092133238837,6671,14252
inquiries,requested_budget_mxn_sale_total,0.5010187810063784,11265,10176
inquiries,urgency_days,0.6935683912119065,6918,363
inquiries,asked_visit,1.0,0,2
inquiries,broker_response,1.0,0,4
inquiries,broker_response_hours,0.8494861800141743,3398,676
availability_snapshot,snapshot_id,1.0,0,30000
availability_snapshot,spot_id,1.0,0,3000
availability_snapshot,snapshot_date,1.0,0,545
availability_snapshot,is_available,1.0,0,2
availability_snapshot,days_until_available,1.0,0,354
availability_snapshot,competing_inquiries_30d,1.0,0,18
market_context,state,1.0,0,12
market_context,municipality,1.0,0,17
market_context,corridor,1.0,0,18
market_context,sector,1.0,0,4
market_context,month,1.0,0,30
market_context,similar_available_spots,1.0,0,22
market_context,avg_price_sqm_mxn,1.0,0,495
market_context,recent_occupancy_rate,1.0,0,283
market_context,absorption_velocity_days,1.0,0,447
market_context,recent_inquiry_volume,1.0,0,311
