group,check,value,expected,status,severity,note
primary_key,leads.lead_id unique/non-null,0.0,0,PASS,CRITICAL,
primary_key,spots.spot_id unique/non-null,0.0,0,PASS,CRITICAL,
primary_key,spot_attributes.spot_id unique/non-null,0.0,0,PASS,CRITICAL,
primary_key,inquiries.inquiry_id unique/non-null,0.0,0,PASS,CRITICAL,
primary_key,availability_snapshot.snapshot_id unique/non-null,0.0,0,PASS,CRITICAL,
primary_key,market_context composite key unique,0.0,0,PASS,CRITICAL,
grain,availability spot_id+snapshot_date unique,0.0,0,PASS,CRITICAL,
referential_integrity,inquiries.lead_id -> leads,0.0,0,PASS,CRITICAL,
referential_integrity,inquiries.spot_id -> spots,0.0,0,PASS,CRITICAL,
referential_integrity,spot_attributes.spot_id -> spots,0.0,0,PASS,CRITICAL,
referential_integrity,spots.spot_id -> spot_attributes,0.0,0,PASS,CRITICAL,
referential_integrity,availability.spot_id -> spots,0.0,0,PASS,CRITICAL,
join_preservation,inquiry LEFT lead preserves rows,22576.0,22576,PASS,CRITICAL,
join_preservation,inquiry LEFT spot preserves rows,22576.0,22576,PASS,CRITICAL,
join_preservation,spot LEFT attributes is 1:1,3000.0,3000,PASS,CRITICAL,
join_risk,raw inquiry x availability join expansion factor,10.017319277108435,must be >1 and never used directly,PASS,LOW,Expected one-to-many expansion; production feature join must use backward as-of.
point_in_time,availability backward-asof coverage,0.9238128986534373,>=0.90,PASS,HIGH,
point_in_time,availability coverage with lag <=90d,0.8850549255846917,>=0.80,PASS,MEDIUM,
point_in_time,future availability snapshots used,0.0,0,PASS,CRITICAL,
