spot_id,broker_id,physical_profile,location_profile
1,238,PH1,LOC1
2,23,PH1,LOC7
3,20,PH2,LOC2
4,119,PH2,LOC6
5,160,PH4,LOC2
6,205,PH1,LOC3
7,48,PH1,LOC2
8,19,PH3,LOC4
9,54,PH3,LOC1
10,27,PH1,LOC7
11,49,PH4,LOC7
12,92,PH1,LOC4
13,53,PH1,LOC2
14,148,PH1,LOC7
15,2,PH1,LOC5
16,249,PH1,LOC4
17,98,PH1,LOC2
18,224,PH1,LOC2
19,208,PH2,LOC2
20,148,PH1,LOC5
21,120,PH3,LOC5
22,298,PH1,LOC4
23,128,PH1,LOC4
24,25,PH1,LOC5
25,104,PH2,LOC2
26,287,PH3,LOC1
27,232,PH4,LOC1
28,34,PH1,LOC2
29,128,PH2,LOC6
30,162,PH2,LOC4
31,27,PH2,LOC5
32,236,PH2,LOC3
33,155,PH2,LOC6
34,178,PH1,LOC1
35,64,PH2,LOC1
36,190,PH1,LOC1
37,55,PH1,LOC2
38,208,PH3,LOC1
39,134,PH2,LOC1
40,194,PH3,LOC1
41,131,PH2,LOC3
42,146,PH1,LOC2
43,294,PH2,LOC4
44,96,PH1,LOC1
45,230,PH1,LOC1
46,249,PH1,LOC2
47,89,PH3,LOC2
48,172,PH3,LOC5
49,294,PH1,LOC1
50,259,PH1,LOC1
51,115,PH1,LOC4
52,209,PH3,LOC2
53,142,PH1,LOC5
54,251,PH2,LOC4
55,246,PH1,LOC3
56,219,PH1,LOC1
57,73,PH2,LOC4
58,200,PH2,LOC2
59,192,PH1,LOC5
60,13,PH1,LOC4
61,54,PH1,LOC3
62,259,PH1,LOC5
63,295,PH2,LOC1
64,184,PH4,LOC1
65,263,PH1,LOC3
66,269,PH2,LOC1
67,40,PH1,LOC2
68,272,PH1,LOC3
69,210,PH3,LOC1
70,148,PH1,LOC3
71,193,PH2,LOC2
72,14,PH1,LOC1
73,242,PH1,LOC5
74,40,PH1,LOC2
75,164,PH2,LOC3
76,52,PH3,LOC1
77,140,PH2,LOC1
78,9,PH1,LOC2
79,166,PH2,LOC7
80,73,PH2,LOC4
81,176,PH2,LOC6
82,102,PH1,LOC7
83,129,PH2,LOC4
84,253,PH1,LOC4
85,278,PH3,LOC2
86,295,PH1,LOC1
87,14,PH2,LOC1
88,234,PH1,LOC7
89,19,PH2,LOC6
90,4,PH1,LOC3
91,259,PH2,LOC6
92,45,PH4,LOC2
93,256,PH2,LOC7
94,156,PH2,LOC1
95,300,PH4,LOC7
96,264,PH2,LOC5
97,204,PH2,LOC3
98,25,PH1,LOC5
99,184,PH1,LOC2
100,2,PH1,LOC5
101,91,PH1,LOC1
102,154,PH3,LOC1
103,211,PH1,LOC6
104,169,PH1,LOC7
105,212,PH1,LOC3
106,106,PH1,LOC1
107,23,PH1,LOC1
108,295,PH2,LOC1
109,169,PH1,LOC1
110,6,PH2,LOC1
111,147,PH2,LOC5
112,106,PH1,LOC2
113,186,PH1,LOC2
114,88,PH2,LOC1
115,40,PH2,LOC6
116,122,PH4,LOC2
117,33,PH2,LOC1
118,95,PH3,LOC5
119,74,PH2,LOC5
120,278,PH2,LOC2
121,6,PH1,LOC1
122,46,PH1,LOC5
123,205,PH2,LOC5
124,166,PH1,LOC2
125,151,PH3,LOC2
126,234,PH1,LOC2
127,103,PH2,LOC7
128,287,PH2,LOC3
129,244,PH1,LOC1
130,49,PH4,LOC2
131,60,PH2,LOC2
132,137,PH1,LOC1
133,271,PH1,LOC4
134,272,PH2,LOC7
135,186,PH1,LOC6
136,173,PH1,LOC1
137,22,PH1,LOC7
138,95,PH1,LOC1
139,251,PH1,LOC6
140,177,PH1,LOC5
141,185,PH1,LOC2
142,169,PH2,LOC1
143,32,PH1,LOC1
144,89,PH1,LOC2
145,294,PH1,LOC1
146,80,PH1,LOC2
147,179,PH2,LOC7
148,126,PH4,LOC2
149,219,PH1,LOC5
150,251,PH1,LOC7
151,28,PH1,LOC6
152,41,PH2,LOC1
153,260,PH1,LOC4
154,82,PH4,LOC2
155,240,PH1,LOC1
156,41,PH3,LOC6
157,149,PH3,LOC5
158,82,PH1,LOC1
159,82,PH2,LOC1
160,90,PH1,LOC2
161,268,PH2,LOC1
162,161,PH1,LOC3
163,96,PH2,LOC1
164,97,PH1,LOC5
165,113,PH4,LOC1
166,151,PH1,LOC1
167,64,PH2,LOC4
168,126,PH2,LOC4
169,196,PH1,LOC3
170,252,PH3,LOC1
171,90,PH1,LOC6
172,167,PH1,LOC5
173,74,PH2,LOC6
174,241,PH1,LOC2
175,241,PH2,LOC2
176,38,PH1,LOC4
177,41,PH2,LOC1
178,171,PH2,LOC5
179,243,PH2,LOC1
180,82,PH2,LOC1
181,46,PH1,LOC1
182,216,PH2,LOC1
183,223,PH2,LOC7
184,242,PH4,LOC4
185,268,PH3,LOC5
186,296,PH1,LOC1
187,144,PH1,LOC2
188,266,PH1,LOC1
189,237,PH2,LOC1
190,145,PH4,LOC2
191,213,PH2,LOC1
192,32,PH1,LOC3
193,174,PH2,LOC1
194,151,PH2,LOC2
195,285,PH3,LOC3
196,225,PH4,LOC2
