comparison,control,treatment,delta_auc,delta_auc_low,delta_auc_high,delta_auc_p_positive,delta_ap,delta_ap_low,delta_ap_high,delta_ap_p_positive,delta_lift10,delta_lift10_low,delta_lift10_high,delta_lift10_p_positive,delta_recall20,delta_recall20_low,delta_recall20_high,delta_recall20_p_positive
E008_vs_E006,E006_parent_marginals,E008_behavioral_persona,-0.003962621460581668,-0.012330118294495667,0.004892646426580287,0.1975,-0.007106427203887231,-0.014971302237683224,0.00043728468688659054,0.035,-0.10118934966136836,-0.2826424377638263,0.06233101371032746,0.11,-0.013062056614798779,-0.03433262008776883,0.00642517517517514,0.09
E009_vs_E008,E008_behavioral_persona,E009_dynamic_need_t1,0.0034220318368233284,-0.008219319602774644,0.016307390445413166,0.705,0.004493002890339206,-0.0037181891030463174,0.012611095936373122,0.8725,0.13457273567428893,-0.04931822867710206,0.3211422902577023,0.9025,0.01936197734149812,-0.003222601994518335,0.0417212206190255,0.95
E010_vs_E009,E009_dynamic_need_t1,E010_clean_broker_profiles,0.003608213460980856,-0.009743253512895568,0.018633218209713514,0.6725,0.0004938130970840415,-0.00686030430322959,0.008431632608114827,0.5325,-0.10193042784734666,-0.2641018787476779,0.06194546866240371,0.09,-0.014292849830940826,-0.0357142857142857,0.0075604212249339425,0.0775
E011_vs_E010,E010_clean_broker_profiles,E011_hierarchical_matching,-0.015549198024112148,-0.03262905157397038,0.0009574506647922694,0.04,-0.00018060616164063223,-0.01113154639984925,0.01150754786239667,0.4575,0.06461608610476834,-0.11888863097557707,0.24541670985877664,0.7225,0.002273737390358783,-0.019234913793103464,0.023505892255892256,0.57
E011_vs_E007_old,E007_old_compatibility,E011_hierarchical_matching,-0.013037570022308391,-0.04022778632025249,0.012286597530485827,0.18,-0.004603431895068542,-0.02239847481364998,0.01256057491531385,0.285,-0.02360652485666293,-0.2477592499137967,0.20683603936332007,0.4,-0.015290168034611558,-0.04397969116283357,0.0191335865937732,0.175
E011_vs_E006_parent,E006_parent_marginals,E011_hierarchical_matching,-0.012481574186889631,-0.039440874802823676,0.009821302869216742,0.14,-0.0023002173781046156,-0.018930842314878193,0.01474221503702742,0.3775,-0.003930955729657747,-0.2365164957072492,0.21654654220080835,0.4675,-0.005719191713882702,-0.03612345963376711,0.024188345971344973,0.36
E012_vs_E006,E006_parent_marginals,E012_dynamic_need_strong_baseline,0.0060647007444737215,-0.005638935048170801,0.01881282773664163,0.825,0.0013064115057413875,-0.006901061734223636,0.008811700294327459,0.6375,0.09933924285890365,-0.075313219681181,0.2706355097443855,0.8275,0.021119535302714237,-0.0010428346734962153,0.04158329340811093,0.9725
E012_vs_E007_old,E007_old_compatibility,E012_dynamic_need_strong_baseline,0.005508704909054961,-0.014585288418083781,0.02654321540251682,0.675,-0.000996803011222539,-0.013214012069054766,0.011792731063009671,0.415,0.07966367373189846,-0.1404610055468786,0.28457290048288303,0.755,0.011548558981985379,-0.013895697167755969,0.03911612258324124,0.77
E013_vs_E012,E012_dynamic_need_strong_baseline,E013_balanced_broker_profiles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E014_vs_E013,E013_balanced_broker_profiles,E014_hierarchical_matching_v2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E014_vs_E007_old,E007_old_compatibility,E014_hierarchical_matching_v2,0.005508704909054961,-0.014585288418083781,0.02654321540251682,0.675,-0.000996803011222539,-0.013214012069054766,0.011792731063009671,0.415,0.07966367373189846,-0.1404610055468786,0.28457290048288303,0.755,0.011548558981985379,-0.013895697167755969,0.03911612258324124,0.77
E014_vs_E006_parent,E006_parent_marginals,E014_hierarchical_matching_v2,0.0060647007444737215,-0.005638935048170801,0.01881282773664163,0.825,0.0013064115057413875,-0.006901061734223636,0.008811700294327459,0.6375,0.09933924285890365,-0.075313219681181,0.2706355097443855,0.8275,0.021119535302714237,-0.0010428346734962153,0.04158329340811093,0.9725
E015_vs_E012,E012_dynamic_need_strong_baseline,E015_broker_service_profile,-0.00028907940542297994,-0.0012599987314866029,0.0006714894410671848,0.2925,-1.961411775914766e-05,-0.0006178092074235836,0.0005917913665380642,0.4625,0.007853925133328726,-0.03302865845269886,0.05532206855662164,0.5325,-0.00022562025751510757,-0.00683607522635601,0.006587403448727264,0.3975
E016_vs_E015,E015_broker_service_profile,E016_dynamic_service_hierarchy,-0.016897536159293416,-0.03519294399489963,0.00115029730061556,0.035,4.9279330103828916e-05,-0.010716972973657896,0.011077904891407024,0.4875,0.0498653697998159,-0.15481872459242232,0.24742715847938254,0.6675,-0.01960612483712181,-0.0422338210312894,0.005448579063301184,0.045
E016_vs_E007_old,E007_old_compatibility,E016_dynamic_service_hierarchy,-0.011677910655661438,-0.03366448640476598,0.012197215202696359,0.1625,-0.0009671377988778579,-0.016500553425696972,0.014708701674419572,0.435,0.13738296866504307,-0.09136109759127674,0.3697440026277296,0.86,-0.008283186112651535,-0.035474945126792126,0.01994772529688499,0.27
E016_vs_E006_parent,E006_parent_marginals,E016_dynamic_service_hierarchy,-0.011121914820242678,-0.031793250520989164,0.005831342575865966,0.1325,0.001336076718086069,-0.010817175064479946,0.01366743281722766,0.55,0.15705853779204826,-0.07483392956249325,0.35943157901813017,0.915,0.0012877902080773206,-0.023634980307912626,0.02713825381707411,0.5
