broker_id,broker_supply_profile
1,BS1
2,BS1
3,BS1
4,BS1
5,BS1
6,BS1
7,BS1
8,BS1
9,BS1
10,BS1
11,BS1
12,BS1
13,BS1
14,BS1
15,BS1
16,BS1
17,BS1
18,BS1
19,BS1
20,BS1
21,BS1
22,BS1
23,BS1
24,BS1
25,BS1
26,BS1
27,BS1
28,BS1
29,BS1
30,BS1
31,BS1
32,BS1
33,BS1
34,BS1
35,BS1
36,BS1
37,BS1
38,BS1
39,BS1
40,BS1
41,BS1
42,BS1
43,BS1
44,BS1
45,BS1
46,BS1
47,BS1
48,BS1
49,BS1
50,BS1
51,BS1
52,BS1
53,BS1
54,BS1
55,BS1
56,BS1
57,BS1
58,BS1
59,BS1
60,BS1
61,BS1
62,BS1
63,BS1
64,BS1
65,BS1
66,BS1
67,BS1
68,BS1
69,BS1
70,BS1
71,BS1
72,BS1
73,BS1
74,BS1
75,BS1
76,BS1
77,BS1
78,BS1
79,BS1
80,BS1
81,BS1
82,BS1
83,BS1
84,BS1
85,BS1
86,BS1
87,BS1
88,BS1
89,BS1
90,BS1
91,BS1
92,BS1
93,BS1
94,BS1
95,BS1
96,BS1
97,BS1
98,BS1
99,BS1
100,BS1
101,BS1
102,BS1
103,BS1
104,BS1
105,BS1
106,BS1
107,BS1
108,BS1
109,BS1
110,BS1
111,BS2
112,BS1
113,BS1
114,BS1
115,BS1
116,BS1
117,BS1
118,BS1
119,BS1
120,BS1
121,BS1
122,BS1
123,BS1
124,BS1
125,BS1
126,BS1
127,BS1
128,BS1
129,BS1
130,BS1
131,BS1
132,BS1
133,BS1
134,BS1
135,BS1
136,BS1
137,BS1
138,BS1
139,BS1
140,BS1
141,BS1
142,BS1
143,BS1
144,BS1
145,BS2
146,BS1
147,BS1
148,BS1
149,BS1
150,BS1
151,BS1
152,BS1
153,BS1
154,BS1
155,BS1
156,BS1
157,BS1
158,BS1
159,BS1
160,BS1
161,BS1
162,BS1
163,BS1
164,BS2
165,BS1
166,BS1
167,BS1
168,BS1
169,BS1
170,BS1
171,BS1
172,BS1
173,BS1
174,BS1
175,BS1
176,BS1
177,BS1
178,BS1
179,BS1
180,BS1
181,BS1
182,BS1
183,BS1
184,BS1
185,BS1
186,BS1
187,BS1
188,BS1
189,BS1
190,BS1
191,BS1
192,BS1
193,BS1
194,BS1
195,BS1
196,BS1
197,BS1
198,BS1
199,BS1
200,BS1
201,BS1
202,BS1
203,BS1
204,BS1
205,BS1
206,BS1
207,BS1
208,BS1
209,BS1
210,BS1
211,BS1
212,BS1
213,BS1
214,BS1
215,BS1
216,BS1
217,BS1
218,BS1
219,BS1
220,BS1
221,BS1
222,BS1
223,BS1
224,BS1
225,BS1
226,BS1
227,BS1
228,BS1
229,BS1
230,BS1
231,BS1
232,BS1
233,BS1
234,BS1
235,BS1
236,BS1
237,BS1
238,BS3
239,BS1
240,BS1
241,BS1
242,BS1
243,BS1
244,BS1
245,BS1
246,BS1
247,BS1
248,BS1
249,BS1
250,BS1
251,BS1
252,BS1
253,BS1
254,BS1
255,BS1
256,BS1
257,BS1
258,BS1
259,BS1
260,BS1
261,BS1
262,BS1
263,BS1
264,BS1
265,BS1
266,BS1
267,BS1
268,BS1
269,BS1
270,BS1
271,BS1
272,BS1
273,BS1
274,BS1
275,BS1
276,BS1
277,BS1
278,BS1
279,BS1
280,BS1
281,BS1
282,BS1
283,BS1
284,BS1
285,BS1
286,BS1
287,BS1
288,BS1
289,BS1
290,BS1
291,BS1
292,BS2
293,BS1
294,BS1
295,BS1
296,BS1
297,BS1
298,BS1
299,BS1
300,BS1
