inquiry_id,dynamic_need_profile
1,DN5
2,DN5
3,DN5
4,DN5
5,DN3
6,DN1
7,DN1
8,DN1
9,DN1
10,DN1
11,DN1
12,DN1
13,DN1
14,DN5
15,DN1
16,DN2
17,DN2
18,DN2
19,DN2
20,DN2
21,DN2
22,DN3
23,DN3
24,DN3
25,DN3
26,DN3
27,DN3
28,DN3
29,DN3
30,DN2
31,DN1
32,DN2
33,DN2
34,DN1
35,DN1
36,DN1
37,DN1
38,DN1
39,DN1
40,DN1
41,DN1
42,DN1
43,DN1
44,DN1
45,DN1
46,DN1
47,DN1
48,DN1
49,DN1
50,DN1
51,DN1
52,DN1
53,DN1
54,DN1
55,DN1
56,DN1
57,DN1
58,DN1
59,DN1
60,DN1
61,DN1
62,DN1
63,DN1
64,DN1
65,DN1
66,DN1
67,DN1
68,DN1
69,DN1
70,DN1
71,DN1
72,DN1
73,DN1
74,DN1
75,DN1
76,DN1
77,DN1
78,DN1
79,DN1
80,DN1
81,DN3
82,DN3
83,DN3
84,DN2
85,DN2
86,DN2
87,DN2
88,DN1
89,DN1
90,DN1
91,DN2
92,DN4
93,DN4
94,DN4
95,DN4
96,DN4
97,DN4
98,DN1
99,DN1
100,DN1
101,DN1
102,DN1
103,DN1
104,DN1
105,DN1
106,DN1
107,DN1
108,DN2
109,DN2
110,DN2
111,DN2
112,DN2
113,DN1
114,DN1
115,DN1
116,DN1
117,DN1
118,DN1
119,DN1
120,DN1
121,DN1
122,DN1
123,DN1
124,DN1
125,DN1
126,DN1
127,DN1
128,DN1
129,DN1
130,DN1
131,DN1
132,DN1
133,DN1
134,DN1
135,DN1
136,DN1
137,DN1
138,DN1
139,DN3
140,DN3
141,DN3
142,DN3
143,DN3
144,DN3
145,DN3
146,DN1
147,DN1
148,DN3
149,DN3
150,DN1
151,DN1
152,DN1
153,DN1
154,DN1
155,DN2
156,DN2
157,DN2
158,DN2
159,DN2
160,DN2
161,DN2
162,DN2
163,DN1
164,DN1
165,DN1
166,DN1
167,DN1
168,DN1
169,DN1
170,DN1
171,DN1
172,DN1
173,DN1
174,DN1
175,DN1
176,DN1
177,DN1
178,DN1
179,DN1
180,DN1
181,DN1
182,DN1
183,DN1
184,DN1
185,DN1
186,DN1
187,DN1
188,DN1
189,DN1
190,DN2
191,DN1
192,DN1
193,DN2
194,DN2
195,DN1
196,DN1
197,DN1
198,DN1
199,DN1
200,DN3
201,DN3
202,DN3
203,DN3
204,DN1
205,DN1
206,DN1
207,DN1
208,DN1
209,DN1
210,DN1
211,DN1
212,DN1
213,DN1
214,DN1
215,DN1
216,DN1
217,DN1
218,DN1
219,DN1
220,DN1
221,DN1
222,DN1
223,DN4
224,DN4
225,DN4
226,DN4
227,DN1
228,DN1
229,DN1
230,DN1
231,DN1
232,DN1
233,DN1
234,DN1
235,DN2
236,DN1
237,DN1
238,DN1
239,DN4
240,DN1
241,DN1
242,DN1
243,DN1
244,DN1
245,DN1
246,DN1
247,DN1
248,DN1
249,DN1
250,DN1
251,DN1
252,DN4
253,DN2
254,DN1
255,DN1
256,DN1
257,DN5
258,DN5
259,DN5
260,DN5
261,DN1
262,DN1
263,DN1
264,DN1
265,DN1
266,DN1
267,DN1
268,DN1
269,DN2
270,DN2
271,DN2
272,DN2
273,DN2
274,DN1
275,DN1
276,DN1
277,DN3
278,DN3
279,DN3
280,DN3
281,DN3
282,DN1
283,DN1
284,DN1
285,DN1
286,DN1
287,DN1
288,DN1
289,DN1
290,DN1
291,DN1
292,DN3
293,DN3
294,DN3
295,DN3
296,DN3
297,DN3
298,DN1
299,DN1
300,DN1
301,DN1
302,DN1
303,DN1
304,DN1
305,DN1
306,DN1
307,DN1
308,DN1
309,DN1
310,DN1
311,DN1
312,DN1
313,DN1
314,DN1
315,DN1
316,DN1
317,DN1
318,DN1
319,DN1
320,DN1
321,DN1
322,DN1
323,DN1
324,DN1
325,DN1
326,DN1
327,DN1
328,DN1
329,DN1
330,DN1
331,DN1
332,DN1
333,DN1
334,DN1
335,DN1
336,DN1
337,DN1
338,DN1
339,DN2
340,DN2
341,DN2
342,DN2
343,DN2
344,DN2
345,DN1
346,DN1
347,DN1
348,DN1
349,DN1
350,DN3
351,DN3
352,DN3
353,DN3
354,DN3
355,DN3
356,DN2
357,DN4
358,DN4
359,DN4
360,DN3
361,DN3
362,DN1
363,DN1
364,DN1
365,DN1
366,DN1
367,DN1
368,DN1
369,DN1
370,DN1
371,DN1
372,DN1
373,DN1
374,DN2
375,DN2
376,DN2
377,DN3
378,DN3
379,DN3
380,DN3
381,DN3
382,DN3
383,DN1
384,DN1
385,DN1
386,DN1
387,DN1
388,DN1
389,DN1
390,DN1
391,DN1
392,DN1
393,DN1
394,DN1
395,DN1
396,DN1
397,DN1
398,DN1
399,DN1
400,DN1
401,DN1
402,DN1
403,DN1
404,DN2
405,DN2
406,DN1
407,DN1
408,DN1
409,DN1
410,DN1
411,DN1
412,DN1
413,DN1
414,DN1
415,DN1
416,DN1
417,DN1
418,DN1
419,DN1
420,DN1
421,DN1
422,DN1
423,DN1
424,DN1
425,DN1
426,DN1
427,DN1
428,DN1
429,DN1
430,DN1
431,DN1
432,DN1
433,DN1
434,DN1
435,DN1
436,DN1
437,DN1
438,DN1
439,DN1
440,DN1
441,DN1
442,DN1
443,DN1
444,DN1
445,DN1
446,DN1
447,DN1
448,DN1
449,DN1
450,DN1
451,DN1
452,DN1
453,DN1
454,DN3
455,DN3
456,DN1
457,DN1
458,DN1
459,DN1
460,DN1
461,DN1
462,DN1
463,DN1
464,DN1
465,DN1
466,DN1
467,DN1
468,DN1
469,DN1
470,DN1
471,DN1
472,DN1
473,DN1
474,DN1
475,DN1
476,DN1
477,DN1
478,DN1
479,DN1
480,DN1
481,DN1
482,DN1
483,DN1
484,DN1
485,DN1
486,DN1
487,DN1
488,DN1
489,DN1
490,DN1
491,DN1
492,DN1
493,DN1
494,DN1
495,DN1
496,DN1
497,DN1
498,DN1
499,DN1
500,DN1
501,DN1
502,DN1
503,DN1
504,DN1
505,DN1
506,DN1
507,DN1
508,DN1
509,DN1
510,DN1
511,DN1
512,DN1
513,DN1
514,DN1
515,DN1
516,DN1
517,DN3
518,DN3
519,DN1
520,DN1
521,DN1
522,DN1
523,DN1
524,DN1
525,DN1
526,DN1
527,DN1
528,DN1
529,DN1
530,DN1
531,DN1
532,DN1
533,DN1
534,DN1
535,DN1
536,DN1
537,DN1
538,DN1
539,DN1
540,DN1
541,DN1
542,DN1
543,DN1
544,DN1
545,DN1
546,DN3
547,DN3
548,DN1
549,DN3
550,DN1
551,DN3
552,DN2
553,DN2
554,DN2
555,DN2
556,DN2
557,DN1
558,DN1
559,DN1
560,DN1
561,DN2
562,DN2
563,DN2
564,DN2
565,DN2
566,DN2
567,DN2
568,DN2
569,DN1
570,DN1
571,DN1
572,DN1
573,DN1
574,DN1
575,DN1
576,DN1
577,DN1
578,DN1
579,DN1
580,DN1
581,DN1
582,DN1
583,DN1
584,DN1
585,DN2
586,DN1
587,DN1
588,DN1
589,DN1
590,DN1
591,DN1
592,DN1
593,DN1
594,DN1
595,DN1
596,DN1
597,DN1
598,DN1
599,DN1
600,DN1
601,DN1
602,DN1
603,DN1
604,DN1
605,DN3
606,DN4
607,DN3
608,DN4
609,DN4
610,DN3
611,DN4
612,DN2
613,DN2
614,DN2
615,DN1
616,DN1
617,DN1
618,DN1
619,DN1
620,DN1
621,DN3
622,DN1
623,DN1
624,DN1
625,DN3
626,DN3
627,DN1
628,DN1
629,DN1
630,DN1
631,DN1
632,DN1
633,DN1
634,DN1
635,DN1
636,DN1
637,DN1
638,DN1
639,DN1
640,DN1
641,DN2
642,DN2
643,DN2
644,DN2
645,DN2
646,DN2
647,DN1
648,DN1
649,DN1
650,DN1
651,DN1
652,DN1
