interaction,n,visit_rate,smoothed_rate,lift_vs_global,wilson_low,wilson_high,wilson_low_lift,behavioral_profile,dynamic_need_profile,need_transition,physical_profile,location_profile,broker_supply_profile,broker_service_profile,beats_prior_best_1_366x
dynamic_need_x_broker_service,99,0.32323232323232326,0.29636572119114807,1.4268524487198557,0.23919862826396276,0.4204721664339027,1.15162154076765,,DN4,,,,,BV1,True
dynamic_need_x_location_x_broker_supply,89,0.30337078651685395,0.27925359692149665,1.3444661446668218,0.21764052928150573,0.40537329210890544,1.0478300961996587,,DN4,,,LOC1,BS1,,False
dynamic_need_x_location,90,0.3,0.27692648361381755,1.3332622601279318,0.2151077805125653,0.4012670468561069,1.0356361799517535,,DN4,,,LOC1,,,False
dynamic_need_x_broker_supply,242,0.28512396694214875,0.2765852133590372,1.3316192148501191,0.2319453220169602,0.3450180560280901,1.116700505574192,,DN4,,,,BS1,,False
dynamic_need_x_broker_service,78,0.2948717948717949,0.2706590558672047,1.3030877359235569,0.20524076724417498,0.40376003430418184,0.9881314550902922,,DN2,,,,,BV3,False
behavioral_x_dynamic_need,163,0.27607361963190186,0.26544651830910937,1.2779919794071832,0.21319744025496024,0.3492618025238192,1.026438848818124,BP1,DN4,,,,,,False
behavioral_x_dynamic_need,51,0.29411764705882354,0.26211330905750746,1.2619442470188738,0.1870856524031203,0.42999335331516647,0.9007236740431677,BP2,DN5,,,,,,False
dynamic_need_x_physical_x_broker_supply,143,0.2727272727272727,0.2614518961483127,1.2587598752726867,0.2063929580358212,0.35095318910504353,0.9936786764283245,,DN5,,PH1,,BS1,,False
need_transition_x_physical,63,0.2857142857142857,0.2605503014371839,1.2544191484971454,0.18903043457341695,0.4070295041473797,0.9100868257287323,,,N3->DN4,PH3,,,,False
dynamic_need_x_physical,145,0.2689655172413793,0.2584638744780463,1.2443740481267134,0.2034414774869696,0.3464155517306684,0.9794687764724463,,DN5,,PH1,,,,False
dynamic_need_x_physical_x_broker_supply,122,0.27049180327868855,0.2580998554845928,1.2426214790708112,0.1995691795923129,0.3554269425167512,0.960825602386871,,DN4,,PH3,,BS1,,False
dynamic_need_x_physical,123,0.2682926829268293,0.25641292832456275,1.2344997700572764,0.19788382484416442,0.352736791735885,0.9527114637486636,,DN4,,PH3,,,,False
behavioral_x_dynamic_need,92,0.2717391304347826,0.25599326257096805,1.2324792897339996,0.19135648353357726,0.3704204484041199,0.9212855859676278,BP2,DN3,,,,,,False
dynamic_need_x_location,53,0.2830188679245283,0.25579732570672414,1.2315359519099853,0.17966135362950314,0.4157054200010772,0.8649793955126185,,DN5,,,LOC1,,,False
dynamic_need_x_location_x_broker_supply,53,0.2830188679245283,0.25579732570672414,1.2315359519099853,0.17966135362950314,0.4157054200010772,0.8649793955126185,,DN5,,,LOC1,BS1,,False
