fold,model,stage,n,positive_rate,roc_auc,average_precision,brier,log_loss,lift_top_10pct,recall_top_20pct
1,multihead_calibrated,T0_cold,484.0,0.39462809917355374,0.5091399674785126,0.41520133055405983,0.2392485339192717,0.6715374385284405,1.0860134629768137,0.225130890052356
1,multihead_calibrated,T1_first_inquiry,483.0,0.3995859213250518,0.4684920493121315,0.38596247306545817,0.23998132071745715,0.6729779729698007,1.1236121391561806,0.18652849740932642
1,multihead_calibrated,T2_engaged,1078.0,0.2987012987012987,0.5726855959775214,0.3394858629862138,0.2068317715625826,0.6032432479050779,1.0849436392914653,0.2453416149068323
1,multihead_calibrated,MACRO,2045.0,0.36430510639996805,0.5167725375893886,0.3802165555352439,0.2286872087331038,0.649252886467773,1.0981897471414863,0.21900033412283823
1,pooled_nn_calibrated,T0_cold,484.0,0.39462809917355374,0.5385343887925951,0.440295104416751,0.23845752732040462,0.6698947487616602,1.1377283897852335,0.24607329842931938
1,pooled_nn_calibrated,T1_first_inquiry,483.0,0.3995859213250518,0.5226907271752724,0.40790294858632836,0.23983872482209223,0.6726775509044952,1.0214655810510733,0.20207253886010362
1,pooled_nn_calibrated,T2_engaged,1078.0,0.2987012987012987,0.5825651516645305,0.3490562338239468,0.20579810466708323,0.6004327135375775,1.208937198067633,0.2236024844720497
1,pooled_nn_calibrated,MACRO,2045.0,0.36430510639996805,0.5479300892107993,0.3990847622756754,0.22803145226986002,0.6476683377345777,1.1227103896346466,0.22391610725382424
1,separate_logistic,T0_cold,484.0,0.39462809917355374,0.516948698247056,0.4057534614114322,0.2518594917322654,0.6985767578401402,1.034298536168394,0.2198952879581152
1,separate_logistic,T1_first_inquiry,483.0,0.3995859213250518,0.5212077898874398,0.41206116217888,0.2540408539237091,0.7069581176942104,1.0214655810510733,0.19689119170984457
1,separate_logistic,T2_engaged,1078.0,0.2987012987012987,0.5596470472246869,0.33606574951313284,0.21234333039555972,0.6179241476099366,1.1469404186795493,0.20186335403726707
1,separate_logistic,MACRO,2045.0,0.36430510639996805,0.5326011784530609,0.38462679103448166,0.23941455868384476,0.6744863410480958,1.0675681786330056,0.20621661123507562
1,specialist_random_forest_calibrated,T0_cold,484.0,0.39462809917355374,0.5487375587441703,0.43001778564618176,0.23798511909258754,0.6688284483347426,1.189443316593653,0.23036649214659685
1,specialist_random_forest_calibrated,T1_first_inquiry,483.0,0.3995859213250518,0.5229051277470074,0.4101338526907021,0.24210723244087745,0.6771884528024501,0.9703923019985196,0.22797927461139897
1,specialist_random_forest_calibrated,T2_engaged,1078.0,0.2987012987012987,0.5880779848171152,0.36214319969474906,0.20656005539189176,0.6029761070373054,1.2709339774557167,0.2577639751552795
1,specialist_random_forest_calibrated,MACRO,2045.0,0.36430510639996805,0.5532402237694309,0.4007649460105443,0.22888413564178559,0.6496643360581661,1.1435898653492964,0.23870324730442513
1,specialist_extra_trees_calibrated,T0_cold,484.0,0.39462809917355374,0.4866250915783643,0.4012544306256205,0.23938824747847387,0.6718212948805276,1.034298536168394,0.19895287958115182
1,specialist_extra_trees_calibrated,T1_first_inquiry,483.0,0.3995859213250518,0.5054850812935502,0.39262224348012564,0.23994747452066206,0.6729070945669922,0.8171724648408585,0.20207253886010362
1,specialist_extra_trees_calibrated,T2_engaged,1078.0,0.2987012987012987,0.5534030037135627,0.3231311096328824,0.20870908729545704,0.6077823233152886,0.9919484702093397,0.22981366459627328
1,specialist_extra_trees_calibrated,MACRO,2045.0,0.36430510639996805,0.5151710588618257,0.3723359279128762,0.22934826976486433,0.6508369042542694,0.9478064904061974,0.21027969434584293
1,specialist_lightgbm_calibrated,T0_cold,484.0,0.39462809917355374,0.5259010417597341,0.4305005514350464,0.2383817087522207,0.6696910345288395,1.189443316593653,0.2198952879581152
1,specialist_lightgbm_calibrated,T1_first_inquiry,483.0,0.3995859213250518,0.5156065749508665,0.3974121169754661,0.24380736221703636,0.6807635208734328,0.8171724648408585,0.18134715025906736
1,specialist_lightgbm_calibrated,T2_engaged,1078.0,0.2987012987012987,0.5875706562818364,0.3515626040526052,0.20835892062603756,0.6058712359572521,1.1469404186795493,0.2546583850931677
1,specialist_lightgbm_calibrated,MACRO,2045.0,0.36430510639996805,0.543026090997479,0.3931584241543726,0.2301826638650982,0.6521085971198414,1.0511854000380205,0.21863360777011676
1,specialist_catboost_calibrated,T0_cold,484.0,0.39462809917355374,0.5321373050050926,0.414259676308702,0.23910554242732174,0.6712142490428671,1.2411582434020727,0.2356020942408377
1,specialist_catboost_calibrated,T1_first_inquiry,483.0,0.3995859213250518,0.5335536894765053,0.40632072429878835,0.2422116261058853,0.6770528768156248,0.7150259067357513,0.16580310880829016
1,specialist_catboost_calibrated,T2_engaged,1078.0,0.2987012987012987,0.6030431496270006,0.3721848567598667,0.20411264937038015,0.5964964433021807,1.1159420289855073,0.2546583850931677
1,specialist_catboost_calibrated,MACRO,2045.0,0.36430510639996805,0.5562447147028662,0.39758841912245235,0.22847660596786237,0.6482545230535576,1.024042059707777,0.21868786271409854
1,pooled_catboost_calibrated,T0_cold,484.0,0.39462809917355374,0.5263120275896574,0.41085720023871675,0.2391051809369663,0.6712134819624137,1.3445880970189124,0.193717277486911
1,pooled_catboost_calibrated,T1_first_inquiry,483.0,0.3995859213250518,0.5444255851348937,0.42383283657796833,0.23879820681203262,0.6701037299288853,1.1236121391561806,0.20207253886010362
1,pooled_catboost_calibrated,T2_engaged,1078.0,0.2987012987012987,0.6261276249630287,0.39499319389346177,0.20159096399525453,0.5910496802926952,1.5499194847020934,0.30745341614906835
1,pooled_catboost_calibrated,MACRO,2045.0,0.36430510639996805,0.5656217458958599,0.40989441023671563,0.22649811724808447,0.6441222973946648,1.3393732402923957,0.23441441083202763
1,validation_selected_hybrid,T0_cold,484.0,0.39462809917355374,0.4866250915783643,0.4012544306256205,0.23938824747847387,0.6718212948805276,1.034298536168394,0.19895287958115182
1,validation_selected_hybrid,T1_first_inquiry,483.0,0.3995859213250518,0.5335536894765053,0.40632072429878835,0.2422116261058853,0.6770528768156248,0.7150259067357513,0.16580310880829016
1,validation_selected_hybrid,T2_engaged,1078.0,0.2987012987012987,0.6261276249630287,0.39499319389346177,0.20159096399525453,0.5910496802926952,1.5499194847020934,0.30745341614906835
1,validation_selected_hybrid,MACRO,2045.0,0.36430510639996805,0.5487688020059661,0.40085611627262346,0.22773027919320457,0.6466412839962825,1.0997479758687463,0.22406980151283676
2,multihead_calibrated,T0_cold,484.0,0.4380165289256198,0.5267411209766926,0.45210657218662254,0.24903342468190012,0.691235431605495,1.071621101270697,0.22641509433962265
2,multihead_calibrated,T1_first_inquiry,482.0,0.44813278008298757,0.5080583402951824,0.4591106640023307,0.25092593537591945,0.695303578062084,1.1385109599395313,0.2037037037037037
2,multihead_calibrated,T2_engaged,1058.0,0.34026465028355385,0.5811962750716333,0.3890511265442687,0.2223930612746274,0.6364675640637795,1.1367400419287212,0.2111111111111111
2,multihead_calibrated,MACRO,2024.0,0.40880465309738706,0.5386652454478361,0.4334227875777406,0.240784140444149,0.6743355245771195,1.11562403437965,0.21374330305147915
2,pooled_nn_calibrated,T0_cold,484.0,0.4380165289256198,0.5365566037735849,0.4705524406521666,0.24572298274526674,0.6845715450505151,0.9784366576819407,0.20754716981132076
2,pooled_nn_calibrated,T1_first_inquiry,482.0,0.44813278008298757,0.4954922027290448,0.46201393458499573,0.2504600928246631,0.6942814582038679,1.1385109599395313,0.2037037037037037
2,pooled_nn_calibrated,T2_engaged,1058.0,0.34026465028355385,0.5797795288124802,0.3849628108249401,0.22415450342870455,0.6405253188519976,1.0258385744234801,0.225
2,pooled_nn_calibrated,MACRO,2024.0,0.40880465309738706,0.5372761117717033,0.4391763953540342,0.24011252633287813,0.6731261073687934,1.0475953973483174,0.21208362450500814
2,separate_logistic,T0_cold,484.0,0.4380165289256198,0.45218854051054386,0.40798959314960936,0.2922707301524343,0.8051394399407849,0.7454755487100501,0.1792452830188679
2,separate_logistic,T1_first_inquiry,482.0,0.44813278008298757,0.5075536062378168,0.4613911531274659,0.2703772207656389,0.7460259560950863,1.0018896447467875,0.2037037037037037
2,separate_logistic,T2_engaged,1058.0,0.34026465028355385,0.5125358166189112,0.3575644247552034,0.23572461894136745,0.6745189980694029,0.9426624737945493,0.2111111111111111
2,separate_logistic,MACRO,2024.0,0.40880465309738706,0.49075932112242393,0.40898172367742625,0.2661241899531469,0.7418947980350913,0.8966758890837956,0.19802003261122758
2,specialist_random_forest_calibrated,T0_cold,484.0,0.4380165289256198,0.5299320199778024,0.4836412944609757,0.24685662283438567,0.6867846444764649,1.2113977666538314,0.22641509433962265
2,specialist_random_forest_calibrated,T1_first_inquiry,482.0,0.44813278008298757,0.5786166805903648,0.5263748366015635,0.2489190063032174,0.6910522223817801,1.1385109599395313,0.2175925925925926
2,specialist_random_forest_calibrated,T2_engaged,1058.0,0.34026465028355385,0.6118433619866285,0.42323257904329636,0.2194158755694299,0.6295768453451929,1.303092243186583,0.2833333333333333
2,specialist_random_forest_calibrated,MACRO,2024.0,0.40880465309738706,0.5734640208515985,0.47774957003527857,0.23839716823567766,0.6691379040678127,1.2176669899266486,0.24244700675518285
2,specialist_extra_trees_calibrated,T0_cold,484.0,0.4380165289256198,0.5321170921198668,0.47102727636429925,0.24589938586465546,0.6849126960195787,1.1648055448594532,0.20754716981132076
2,specialist_extra_trees_calibrated,T1_first_inquiry,482.0,0.44813278008298757,0.5121136173767752,0.4775831986303398,0.249241272233918,0.6918088126479431,0.9563492063492063,0.18981481481481483
2,specialist_extra_trees_calibrated,T2_engaged,1058.0,0.34026465028355385,0.544380770455269,0.37755323809762603,0.2249659883857634,0.6425563983396633,1.2476415094339623,0.2361111111111111
2,specialist_extra_trees_calibrated,MACRO,2024.0,0.40880465309738706,0.5295371599839703,0.4420545710307551,0.2400355488281123,0.6730926356690617,1.1229320868808739,0.21115769857908226
2,specialist_lightgbm_calibrated,T0_cold,484.0,0.4380165289256198,0.4772301609322973,0.4246986234417904,0.25115318452745056,0.6959670690171509,0.7454755487100501,0.18396226415094338
2,specialist_lightgbm_calibrated,T1_first_inquiry,482.0,0.44813278008298757,0.535923141186299,0.4902002289933346,0.25539471386518525,0.7056114125453176,1.0474300831443688,0.20833333333333334
2,specialist_lightgbm_calibrated,T2_engaged,1058.0,0.34026465028355385,0.5690783190066857,0.38519294353343303,0.22479750123039333,0.6420536150324864,1.109014675052411,0.21388888888888888
2,specialist_lightgbm_calibrated,MACRO,2024.0,0.40880465309738706,0.527410540375094,0.4333639319895193,0.24378179987434304,0.681210698864985,0.9673067689689433,0.20206149545772187
2,specialist_catboost_calibrated,T0_cold,484.0,0.4380165289256198,0.5,0.4380165289256198,0.24803998960481433,0.6893379233746196,0.9318444358875626,0.18396226415094338
2,specialist_catboost_calibrated,T1_first_inquiry,482.0,0.44813278008298757,0.5909391534391535,0.5281915564532981,0.24524554173133753,0.6833554963019592,1.3206727135298564,0.23148148148148148
