feature,kind,low_group,low_n,low_rate,high_group,high_n,high_rate,delta_pp
hist_prior_median_response_hours,numeric_quartiles,<=Q25 (4.4),273,0.4065934065934066,>=Q75 (13.3),266,0.41353383458646614,0.694042799305955
hist_prior_realized_responses,numeric_quartiles,<=Q25 (1),697,0.4921090387374462,>=Q75 (2),600,0.3616666666666667,-13.044237207077952
availability_snapshot_age_days,numeric_quartiles,<=Q25 (5.792),325,0.3630769230769231,>=Q75 (32.53),325,0.48,11.69230769230769
min_budget_mxn_sale_total,numeric_quartiles,<=Q25 (6.132e+06),161,0.3167701863354037,>=Q75 (2.068e+07),159,0.4528301886792453,13.606000234384158
hist_prior_accepted_responses,numeric_quartiles,<=Q25 (0),514,0.5136186770428015,>=Q75 (1),783,0.3780332056194125,-13.5585471423389
spot_floor_level,numeric_quartiles,<=Q25 (0),635,0.4188976377952756,>=Q75 (3),439,0.42596810933940776,0.7070471544132151
spot_maintenance_cost_mxn,numeric_quartiles,<=Q25 (2968),267,0.44569288389513106,>=Q75 (3.168e+04),268,0.44776119402985076,0.20683101347196975
hist_prior_accept_rate,numeric_quartiles,<=Q25 (0),278,0.4568345323741007,>=Q75 (1),391,0.4117647058823529,-4.506982649174779
spot_price_sqm_mxn_rent,numeric_quartiles,<=Q25 (121.5),267,0.3782771535580524,>=Q75 (331.4),268,0.4216417910447761,4.3364637486723705
spot_lat,numeric_quartiles,<=Q25 (19.43),325,0.4553846153846154,>=Q75 (25.64),326,0.40797546012269936,-4.7409155261916025
spot_charging_ports,numeric_quartiles,<=Q25 (0),798,0.43609022556390975,>=Q75 (0),1040,0.42788461538461536,-0.8205610179294387
inquiry_number,numeric_quartiles,<=Q25 (2),507,0.48520710059171596,>=Q75 (4),471,0.3609341825902335,-12.427291800148243
