family,columns,ap_drop_mean,ap_drop_std,auc_drop_mean,auc_drop_std,cohort
interaction_history,hist_prior_inquiries|hist_prior_unique_spots|hist_prior_asked_visit_rate|hist_prior_message_length_mean|hist_prior_urgency_mean|hist_prior_realized_responses|hist_prior_accepted_responses|hist_prior_accept_rate|hist_prior_median_response_hours|days_since_first_inquiry,0.06379272245428871,0.010078210664378272,0.07203382438457054,0.014442363864014434,all_t2
spot_static,spot_sector_name|spot_type_name|spot_state|spot_municipality|spot_settlement|spot_corridor|spot_region|spot_modality|spot_natural_light|spot_security_type|spot_building_status|spot_floor_material|spot_lat|spot_lon|spot_area_sqm|spot_price_sqm_mxn_rent|spot_price_sqm_mxn_sale|spot_price_total_mxn_rent|spot_price_total_mxn_sale|spot_maintenance_cost_mxn|spot_luminaires|spot_charging_ports|spot_floor_level|spot_elevators|spot_vertical_height_m|spot_parking_spaces|spot_amenities_count,0.00982479004294009,0.007984213906951964,0.0030752083737157544,0.004940724693308714,all_t2
availability_asof,availability_is_available|availability_days_until_available|availability_competing_inquiries_30d|availability_snapshot_age_days,0.007431400273578715,0.008400492444507638,0.005823560767590585,0.006142904125326072,all_t2
lead_intake,user_type|company_size|industry|search_sector|search_modality|preferred_state|preferred_municipality|preferred_corridor|source|target_area_sqm|min_budget_mxn_rent_monthly|max_budget_mxn_rent_monthly|min_budget_mxn_sale_total|max_budget_mxn_sale_total|prior_searches|prior_inquiries|has_converted_before,0.006358259765023022,0.004780998827531499,0.007440395425469992,0.0021348497063287237,all_t2
context_flags,has_inquiry_context|has_spot_context|has_availability_context,0.0,0.0,0.0,0.0,all_t2
lead_spot_match,same_preferred_municipality|same_preferred_corridor|same_sector|compatible_modality|requested_to_spot_area_ratio|rent_budget_to_price_ratio|sale_budget_to_price_ratio,-0.0012031139821933711,0.00116099335915433,-0.0008763810816050377,0.001124519607087069,all_t2
current_inquiry,channel|asked_visit|score_weekday|message_length|requested_area_sqm|requested_budget_mxn_rent_monthly|requested_budget_mxn_sale_total|urgency_days|score_hour|score_month|days_from_lead_creation|inquiry_number,-0.0023542524963840127,0.003961023950540627,0.00193981391742577,0.005527675717653069,all_t2
interaction_history,hist_prior_inquiries|hist_prior_unique_spots|hist_prior_asked_visit_rate|hist_prior_message_length_mean|hist_prior_urgency_mean|hist_prior_realized_responses|hist_prior_accepted_responses|hist_prior_accept_rate|hist_prior_median_response_hours|days_since_first_inquiry,0.04707223427152463,0.008537652367617998,0.04716381646575081,0.015725775785571296,first_t2_per_lead
spot_static,spot_sector_name|spot_type_name|spot_state|spot_municipality|spot_settlement|spot_corridor|spot_region|spot_modality|spot_natural_light|spot_security_type|spot_building_status|spot_floor_material|spot_lat|spot_lon|spot_area_sqm|spot_price_sqm_mxn_rent|spot_price_sqm_mxn_sale|spot_price_total_mxn_rent|spot_price_total_mxn_sale|spot_maintenance_cost_mxn|spot_luminaires|spot_charging_ports|spot_floor_level|spot_elevators|spot_vertical_height_m|spot_parking_spaces|spot_amenities_count,0.023610259471090966,0.013935416347344963,0.003202192941469617,0.015405161297434819,first_t2_per_lead
lead_intake,user_type|company_size|industry|search_sector|search_modality|preferred_state|preferred_municipality|preferred_corridor|source|target_area_sqm|min_budget_mxn_rent_monthly|max_budget_mxn_rent_monthly|min_budget_mxn_sale_total|max_budget_mxn_sale_total|prior_searches|prior_inquiries|has_converted_before,0.006417261021563259,0.011398537329228417,-0.0004469987228608474,0.010666319869504512,first_t2_per_lead
availability_asof,availability_is_available|availability_days_until_available|availability_competing_inquiries_30d|availability_snapshot_age_days,0.004694928959910527,0.011830298746608108,-0.0031928480204342245,0.009098069736418666,first_t2_per_lead
lead_spot_match,same_preferred_municipality|same_preferred_corridor|same_sector|compatible_modality|requested_to_spot_area_ratio|rent_budget_to_price_ratio|sale_budget_to_price_ratio,0.0018804357248967563,0.0028929335770493773,0.0009749867613618512,0.002438514125662144,first_t2_per_lead
context_flags,has_inquiry_context|has_spot_context|has_availability_context,0.0,0.0,0.0,0.0,first_t2_per_lead
current_inquiry,channel|asked_visit|score_weekday|message_length|requested_area_sqm|requested_budget_mxn_rent_monthly|requested_budget_mxn_sale_total|urgency_days|score_hour|score_month|days_from_lead_creation|inquiry_number,-0.007023496076063074,0.008486310886114212,-0.0033392517833224834,0.007598473740637223,first_t2_per_lead
interaction_history,hist_prior_inquiries|hist_prior_unique_spots|hist_prior_asked_visit_rate|hist_prior_message_length_mean|hist_prior_urgency_mean|hist_prior_realized_responses|hist_prior_accepted_responses|hist_prior_accept_rate|hist_prior_median_response_hours|days_since_first_inquiry,0.07571942419930497,0.019767911570336905,0.08700024909702324,0.029357961840947903,last_t2_per_lead
spot_static,spot_sector_name|spot_type_name|spot_state|spot_municipality|spot_settlement|spot_corridor|spot_region|spot_modality|spot_natural_light|spot_security_type|spot_building_status|spot_floor_material|spot_lat|spot_lon|spot_area_sqm|spot_price_sqm_mxn_rent|spot_price_sqm_mxn_sale|spot_price_total_mxn_rent|spot_price_total_mxn_sale|spot_maintenance_cost_mxn|spot_luminaires|spot_charging_ports|spot_floor_level|spot_elevators|spot_vertical_height_m|spot_parking_spaces|spot_amenities_count,0.022536065175200126,0.011216303550183927,0.009636941088553952,0.007292239574358654,last_t2_per_lead
availability_asof,availability_is_available|availability_days_until_available|availability_competing_inquiries_30d|availability_snapshot_age_days,0.014752109117764634,0.01589794051512699,0.008979947689625045,0.007683503513067535,last_t2_per_lead
lead_intake,user_type|company_size|industry|search_sector|search_modality|preferred_state|preferred_municipality|preferred_corridor|source|target_area_sqm|min_budget_mxn_rent_monthly|max_budget_mxn_rent_monthly|min_budget_mxn_sale_total|max_budget_mxn_sale_total|prior_searches|prior_inquiries|has_converted_before,0.012335831079106806,0.008348015438652722,0.0067910075974591646,0.006615022184394403,last_t2_per_lead
current_inquiry,channel|asked_visit|score_weekday|message_length|requested_area_sqm|requested_budget_mxn_rent_monthly|requested_budget_mxn_sale_total|urgency_days|score_hour|score_month|days_from_lead_creation|inquiry_number,0.007675780735811477,0.01198808913926991,0.00691555610910446,0.006969157710574102,last_t2_per_lead
lead_spot_match,same_preferred_municipality|same_preferred_corridor|same_sector|compatible_modality|requested_to_spot_area_ratio|rent_budget_to_price_ratio|sale_budget_to_price_ratio,0.007386015955397074,0.0021515451759905476,0.0016035620874330192,0.001327853397743924,last_t2_per_lead
context_flags,has_inquiry_context|has_spot_context|has_availability_context,0.0,0.0,0.0,0.0,last_t2_per_lead
