model,stage,n,positive_rate,roc_auc,average_precision,brier,log_loss,lift_top_10pct,recall_top_20pct
multihead_raw,T0_cold,727.0,0.4938101788170564,0.4858226353397117,0.49523798268569746,0.2911601537309023,0.7839478928867671,0.9154424390430037,0.18662952646239556
multihead_raw,T1_first_inquiry,699.0,0.5035765379113019,0.4901427822897564,0.5075105460587273,0.2745282733064322,0.745105156571975,0.9928977272727273,0.20170454545454544
multihead_raw,T2_engaged,1297.0,0.4317656129529684,0.5946743554952509,0.5147819895580609,0.2440447935012073,0.682014214506118,1.3896428571428572,0.24821428571428572
multihead_raw,MACRO,2723.0,0.47638410989377555,0.523546591041573,0.5058435061008285,0.2699110735128473,0.73702242132162,1.0993276744861962,0.2121827858770756
multihead_calibrated,T0_cold,727.0,0.4938101788170564,0.5141773646602883,0.5026447422576382,0.25128221896342134,0.695725143825457,0.9709237989850039,0.2116991643454039
multihead_calibrated,T1_first_inquiry,699.0,0.5035765379113019,0.4901427822897564,0.5075105460587273,0.25124079681759054,0.6956412751172341,0.9928977272727273,0.20170454545454544
multihead_calibrated,T2_engaged,1297.0,0.4317656129529684,0.5946743554952509,0.5147819895580609,0.24418264762699052,0.6821780554128138,1.3896428571428572,0.24821428571428572
multihead_calibrated,MACRO,2723.0,0.47638410989377555,0.5329981674817652,0.5083124259581422,0.24890188780266745,0.691181491451835,1.1178214611335295,0.22053933183807836
pooled_raw,T0_cold,727.0,0.4938101788170564,0.46627861208671434,0.47215899759589197,0.28595383211847125,0.7713847471331245,0.9431831190140038,0.181058495821727
pooled_raw,T1_first_inquiry,699.0,0.5035765379113019,0.47363767356562747,0.5033030436617262,0.270074965178368,0.7350258100564764,1.0780032467532468,0.17613636363636365
pooled_raw,T2_engaged,1297.0,0.4317656129529684,0.5723565613490987,0.47561153749997787,0.2487033004695176,0.6908523814612443,1.104587912087912,0.22142857142857142
pooled_raw,MACRO,2723.0,0.47638410989377555,0.5040909490004801,0.4836911929191987,0.2682440325887856,0.7324209795502817,1.0419247592850542,0.19287447696222068
pooled_calibrated,T0_cold,727.0,0.4938101788170564,0.5337176032457308,0.5114528695001802,0.2510514461309372,0.6952608947631301,1.0541458388980043,0.2200557103064067
pooled_calibrated,T1_first_inquiry,699.0,0.5035765379113019,0.47363358003667805,0.5032985161641289,0.2506994001791841,0.6945474028651848,1.0780032467532468,0.17613636363636365
pooled_calibrated,T2_engaged,1297.0,0.4317656129529684,0.5723565613490987,0.47561153749997787,0.24642308909955324,0.6863141607921408,1.104587912087912,0.22142857142857142
pooled_calibrated,MACRO,2723.0,0.47638410989377555,0.5265692482105025,0.4967876410547623,0.24939131180322482,0.6920408194734852,1.078912332579721,0.20587354845711392
separate_logistic,T0_cold,727.0,0.4938101788170564,0.48338530943441926,0.49828839016785287,0.29549990923021885,0.7986385016512537,0.9709237989850039,0.19498607242339833
separate_logistic,T1_first_inquiry,699.0,0.5035765379113019,0.4912725962798009,0.5099172015883906,0.278951331911452,0.7597888209198094,1.0496347402597404,0.21306818181818182
separate_logistic,T2_engaged,1297.0,0.4317656129529684,0.535062512114751,0.4877591273165038,0.2689078650955221,0.7467483792580295,1.2827472527472528,0.24464285714285713
separate_logistic,MACRO,2723.0,0.47638410989377555,0.5032401392763237,0.4986549063575824,0.28111970207906434,0.7683919006096976,1.101101930663999,0.21756570379481244
