model,reference_model,scope,metric,point_delta,bootstrap_mean_delta,ci95_low,ci95_high,probability_delta_gt_0,n_boot
multihead_trajectory,multihead_calibrated,MACRO,average_precision,0.005069521034536673,0.005057314507864741,-0.00269901654656208,0.012870613147545885,0.90125,800
multihead_trajectory,multihead_calibrated,MACRO,roc_auc,0.007671908712273412,0.007607004743520669,-0.0010021576692022388,0.016096197534325077,0.95375,800
multihead_trajectory,multihead_calibrated,T0_cold,average_precision,0.000571285969419244,-9.55288845760275e-05,-0.014087487739555375,0.014989592362494227,0.49875,800
multihead_trajectory,multihead_calibrated,T0_cold,roc_auc,-0.001970753563450889,-0.002203226507087188,-0.01320157820606506,0.008785990898737356,0.3625,800
multihead_trajectory,multihead_calibrated,T1_first_inquiry,average_precision,-0.0007983349418165808,-0.0004989012396123566,-0.012696625240758649,0.01203841583864013,0.46875,800
multihead_trajectory,multihead_calibrated,T1_first_inquiry,roc_auc,0.00742437683918995,0.007429706750317673,-0.01374751792708918,0.029189366745056917,0.73625,800
multihead_trajectory,multihead_calibrated,T2_engaged,average_precision,0.015435612076007355,0.015766373647782602,0.001129169210574571,0.030212447502462846,0.9825,800
multihead_trajectory,multihead_calibrated,T2_engaged,roc_auc,0.017562102861081175,0.017594533987331528,0.005553214596472,0.02976744563132992,0.9975,800
specialist_random_forest_trajectory,specialist_random_forest_calibrated,MACRO,average_precision,-0.0020913186326577127,-0.0017583714937919308,-0.007334229988406644,0.003776061090856956,0.26,800
specialist_random_forest_trajectory,specialist_random_forest_calibrated,MACRO,roc_auc,0.0037822381942089756,0.0038661849452154068,-0.0011722645915046876,0.008899161542739205,0.9325,800
specialist_random_forest_trajectory,specialist_random_forest_calibrated,T0_cold,average_precision,0.002212740795107193,0.002795333600295471,-0.008931311127795721,0.013959447347921572,0.6925,800
specialist_random_forest_trajectory,specialist_random_forest_calibrated,T0_cold,roc_auc,0.00552286268562574,0.005738430513945709,-0.003311262989127675,0.014787409765117436,0.89375,800
specialist_random_forest_trajectory,specialist_random_forest_calibrated,T1_first_inquiry,average_precision,0.0010354411101503036,0.0013535241763635842,-0.007374057076077586,0.00970658335498696,0.63875,800
specialist_random_forest_trajectory,specialist_random_forest_calibrated,T1_first_inquiry,roc_auc,0.0050545265708845655,0.005077572713439291,-0.0032712952383494474,0.014095215149136198,0.88625,800
specialist_random_forest_trajectory,specialist_random_forest_calibrated,T2_engaged,average_precision,-0.009522137803230524,-0.009423972258034844,-0.019128576656302358,-0.0002364169882862393,0.02125,800
specialist_random_forest_trajectory,specialist_random_forest_calibrated,T2_engaged,roc_auc,0.000769325326116177,0.0007825516082612154,-0.007655214577800715,0.00875740456118177,0.595,800
specialist_catboost_trajectory,specialist_catboost_calibrated,MACRO,average_precision,-0.0014802428414890656,-0.0011657460755696084,-0.011860411950415598,0.009133833694922074,0.42125,800
specialist_catboost_trajectory,specialist_catboost_calibrated,MACRO,roc_auc,-0.0012727057832369049,-0.0013241668062258108,-0.008270521916469932,0.0054845953062849975,0.37375,800
specialist_catboost_trajectory,specialist_catboost_calibrated,T0_cold,average_precision,0.0012518797548402572,0.0017383097741984267,-0.007405872897668519,0.010685608328394321,0.64625,800
specialist_catboost_trajectory,specialist_catboost_calibrated,T0_cold,roc_auc,0.00013772051484783887,0.00016950572787783523,-0.005467172141727758,0.005954910788770129,0.50875,800
specialist_catboost_trajectory,specialist_catboost_calibrated,T1_first_inquiry,average_precision,0.0044363685703708855,0.004491981049606583,-0.019570992357461594,0.02929255895173273,0.635,800
specialist_catboost_trajectory,specialist_catboost_calibrated,T1_first_inquiry,roc_auc,0.0014616150250996718,0.0012126878516122066,-0.016125080142473665,0.017741046178785313,0.56125,800
specialist_catboost_trajectory,specialist_catboost_calibrated,T2_engaged,average_precision,-0.010128976849678395,-0.009727529050513833,-0.025154596148474227,0.0046826758920447435,0.1175,800
specialist_catboost_trajectory,specialist_catboost_calibrated,T2_engaged,roc_auc,-0.005417452889658447,-0.005354693998167479,-0.016905500810438127,0.0061235100475114075,0.20125,800
pooled_catboost_trajectory,pooled_catboost_calibrated,MACRO,average_precision,0.008699097909727949,0.008993378385980832,-0.004290344366676633,0.022780045778797237,0.89125,800
pooled_catboost_trajectory,pooled_catboost_calibrated,MACRO,roc_auc,0.008980699010653015,0.00943702078409757,-0.0020896449018581284,0.020604517107156807,0.94125,800
pooled_catboost_trajectory,pooled_catboost_calibrated,T0_cold,average_precision,-0.0036980156105707596,-0.0033792780535837844,-0.033141250704600805,0.027374222041241868,0.43,800
pooled_catboost_trajectory,pooled_catboost_calibrated,T0_cold,roc_auc,-0.0038972205299701024,-0.003469224823619166,-0.02848653084993521,0.022113092852715673,0.39,800
pooled_catboost_trajectory,pooled_catboost_calibrated,T1_first_inquiry,average_precision,0.013733958532028745,0.013870527330770538,-0.007523842019809546,0.034395435245433224,0.92,800
pooled_catboost_trajectory,pooled_catboost_calibrated,T1_first_inquiry,roc_auc,0.019125952051237682,0.019527539823383025,0.0008878430236081969,0.03613593761187102,0.975,800
pooled_catboost_trajectory,pooled_catboost_calibrated,T2_engaged,average_precision,0.016061350807725805,0.016488885880755744,0.00031369224336205573,0.032238294059606654,0.97875,800
pooled_catboost_trajectory,pooled_catboost_calibrated,T2_engaged,roc_auc,0.011713365510691354,0.01225274735252885,0.00040314896183202595,0.023727721471533934,0.9775,800
