inquiry_id,intent_profile
1,I3
2,I6
3,I4
4,I1
5,I6
6,I6
7,I5
8,I1
9,I5
10,I6
11,I4
12,I3
13,I6
14,I5
15,I4
16,I4
17,I2
18,I1
19,I3
20,I6
21,I6
22,I3
23,I1
24,I3
25,I1
26,I6
27,I6
28,I4
29,I2
30,I5
31,I4
32,I3
33,I3
34,I5
35,I1
36,I4
37,I6
38,I4
39,I1
40,I1
41,I5
42,I6
43,I1
44,I3
45,I5
46,I5
47,I3
48,I2
49,I4
50,I7
51,I1
52,I2
53,I7
54,I2
55,I4
56,I3
57,I1
58,I4
59,I5
60,I5
61,I1
62,I2
63,I2
64,I5
65,I1
66,I4
67,I1
68,I2
69,I3
70,I5
71,I4
72,I5
73,I7
74,I5
75,I4
76,I4
77,I6
78,I2
79,I6
80,I1
81,I6
82,I1
83,I3
84,I1
85,I1
86,I1
87,I6
88,I1
89,I3
90,I2
91,I5
92,I5
93,I3
94,I6
95,I1
96,I1
97,I3
98,I7
99,I2
100,I5
101,I3
102,I1
103,I1
104,I3
105,I4
106,I6
107,I6
108,I1
109,I1
110,I4
111,I5
112,I1
113,I6
114,I3
115,I1
116,I5
117,I1
118,I6
119,I2
120,I3
121,I3
122,I6
123,I6
124,I3
125,I3
126,I2
127,I5
128,I6
129,I1
130,I4
131,I6
132,I6
133,I7
134,I7
135,I4
136,I5
137,I1
138,I1
139,I5
140,I4
141,I2
142,I2
143,I2
144,I5
145,I6
146,I3
147,I3
148,I5
149,I5
150,I4
151,I4
152,I2
153,I2
154,I3
155,I3
156,I2
157,I2
158,I2
159,I2
160,I5
161,I4
162,I6
163,I1
164,I6
165,I2
166,I1
167,I6
168,I6
169,I3
170,I1
171,I6
172,I6
173,I5
174,I6
175,I5
176,I1
177,I1
178,I6
179,I2
180,I3
181,I5
182,I5
183,I4
184,I4
185,I5
186,I5
187,I6
188,I2
189,I2
190,I6
191,I6
192,I2
193,I1
194,I7
195,I4
196,I6
197,I4
198,I2
199,I1
200,I1
201,I3
202,I3
203,I5
204,I1
205,I5
206,I5
207,I2
208,I1
209,I7
210,I7
211,I7
212,I7
213,I7
214,I7
215,I5
216,I4
217,I6
218,I5
219,I4
220,I4
221,I1
222,I2
223,I6
224,I5
225,I6
226,I6
227,I5
228,I4
229,I6
230,I6
231,I1
232,I6
233,I4
234,I5
235,I6
236,I5
237,I3
238,I3
239,I1
240,I4
241,I7
242,I2
243,I4
244,I1
245,I5
246,I1
247,I1
248,I5
249,I6
250,I3
251,I4
252,I7
253,I5
254,I1
255,I4
256,I1
