intent_profile,broker_profile,n,scheduled_visit_rate,smoothed_visit_rate,positive_response_rate,lift_vs_global,expected_model_probability,residual_synergy,wilson_low,wilson_high
I2,B6,42,0.2619047619047619,0.23546630949037567,0.6666666666666666,1.133652296011233,0.12390433901745473,0.11156197047292093,0.15302485372603591,0.41069019984975563
I4,B7,35,0.3142857142857143,0.25744316504281073,0.7428571428571429,1.239459843638948,0.15311629041990404,0.10432687462290668,0.18550658059782457,0.47980071879251973
I3,B3,129,0.24806201550387597,0.23851028034444263,0.6046511627906976,1.1483074904429669,0.14990553708903176,0.08860474325541087,0.1815425856479483,0.3291528591524756
I7,B3,40,0.225,0.21635296722763506,0.725,1.0416311300639658,0.13044045033273952,0.08591251689489554,0.1231595325467853,0.3750339640409305
I6,B4,63,0.2698412698412698,0.245711042506901,0.6825396825396826,1.182975552197404,0.1634748415629265,0.08223620094397452,0.17583701687980413,0.39030143582031074
I6,B7,38,0.18421052631578946,0.19625945356680521,0.7105263157894737,0.9448909299655568,0.11456625007114911,0.0816932034956561,0.09221648453257492,0.33419168341511346
I5,B5,61,0.19672131147540983,0.20107165721000797,0.6065573770491803,0.9680592792754754,0.11942622800419674,0.08164542920581123,0.11627688559536849,0.3131017848877781
I6,B2,84,0.25,0.23635675305008713,0.6428571428571429,1.1379393355801635,0.1747285231952128,0.061628229854874345,0.16972188801500593,0.35214474465106566
I1,B7,56,0.26785714285714285,0.24279413935636254,0.6785714285714286,1.1689321250888414,0.18903982241604303,0.05375431694031951,0.1695715866189496,0.3959480518933896
I3,B5,59,0.2542372881355932,0.23543674119404853,0.6271186440677966,1.1335099394800885,0.18597933945732814,0.04945740173672039,0.1605583829520582,0.3779638698231735
I4,B5,80,0.225,0.21923531148509004,0.5875,1.0555081734186211,0.17171143461057922,0.04752387687451082,0.14733090169782392,0.3278699532476924
I3,B1,144,0.2638888888888889,0.25167520314245,0.6666666666666666,1.2116899972188744,0.20428237749388525,0.04739282564856476,0.19871366119384087,0.3413346066820479
I6,B6,59,0.1864406779661017,0.19503270079000812,0.6101694915254238,0.938984730029506,0.15008604137837325,0.044946659411634865,0.10742612239043585,0.30379192425382523
I5,B1,155,0.2064516129032258,0.2067089096318503,0.6709677419354839,0.9951998250505713,0.16291582250713035,0.04379308712471994,0.15020577115483125,0.2768964489184996
I4,B3,100,0.25,0.2379159812729343,0.58,1.1454462381967712,0.19471405070109163,0.043201930571842684,0.1754509400372426,0.3430464637007583
I5,B6,78,0.21794871794871795,0.21447658795093902,0.6153846153846154,1.032597304036717,0.17231222779219602,0.042164360158743,0.14076696665343852,0.32160913547555214
I2,B1,101,0.2376237623762376,0.2291364353064596,0.7029702970297029,1.1031771235010357,0.19022900274869864,0.03890743255776097,0.16519850461757263,0.3292769707662444
I6,B3,111,0.1891891891891892,0.19409428727291925,0.6936936936936937,0.9344667391519225,0.1552803517982888,0.03881393547463044,0.12720241592903933,0.27197000939418847
I4,B2,83,0.24096385542168675,0.23014827136756752,0.6506024096385542,1.1080486071385234,0.20061771692400013,0.02953055444356739,0.1617462229721785,0.34309938097800213
I2,B5,76,0.25,0.23541583946733452,0.6973684210526315,1.1334093081391072,0.21079267990738637,0.02462315955994815,0.16628799382577897,0.3577696402897699
I1,B5,135,0.2222222222222222,0.21890421358977602,0.5777777777777777,1.0539141029546146,0.1954552360124862,0.02344897757728981,0.1603281725224173,0.2994879056558809
I7,B1,35,0.2,0.2041098317094774,0.6,0.982686567164179,0.1809991728517265,0.023110658857750904,0.10042319445900805,0.3589193660946251
I5,B2,122,0.19672131147540983,0.19943356406302967,0.639344262295082,0.9601726815657163,0.18135983826102367,0.018073725802006002,0.13591035553474007,0.27604880582366603
I7,B4,50,0.22,0.21453597086900894,0.66,1.0328832030324566,0.19757189207048748,0.016964078798521465,0.12753786224302288,0.35241815689459555
I1,B2,154,0.21428571428571427,0.21292905865057116,0.6493506493506493,1.0251467258699138,0.20038570940828995,0.012543349242281204,0.1568490368353665,0.28563000544499556
I6,B1,203,0.20689655172413793,0.20702978344942718,0.6502463054187192,0.9967446717032122,0.20181034914263454,0.005219434306792642,0.15686748123634006,0.2678130472453579
I1,B6,121,0.19834710743801653,0.20067228185224104,0.6198347107438017,0.9661364870412799,0.20132501107428663,-0.0006527292220455949,0.13706713532662643,0.27819188089873426
I2,B7,41,0.17073170731707318,0.1889905849161828,0.7560975609756098,0.9098949695964622,0.19011275483812431,-0.0011221699219415016,0.08525143995273898,0.31262909954629764
I6,B5,83,0.2289156626506024,0.22201819006675452,0.6506024096385542,1.0689063393832232,0.22379524930414593,-0.0017770592373914096,0.15173247416801833,0.33008269275658925
I2,B2,71,0.22535211267605634,0.21899312953343067,0.8309859154929577,1.0543421886705466,0.22094948173146417,-0.001956352198033501,0.1437454836103039,0.33515395199770026
I1,B3,197,0.17258883248730963,0.17851576952831563,0.6903553299492385,0.8594639820787562,0.18051316857127714,-0.0019973990429615063,0.12621428506706214,0.23148850160661497
I4,B1,161,0.20496894409937888,0.20551361879706867,0.6708074534161491,0.9894450986008124,0.21331471240901648,-0.007801093611947807,0.14983694920066543,0.27385221664096676
I2,B3,128,0.203125,0.20421569867982622,0.6640625,0.9831962635800588,0.2152107279214674,-0.010995029241641169,0.14255643643579252,0.28099424862870914
I1,B1,261,0.18007662835249041,0.18374829693757744,0.6513409961685823,0.8846559797122597,0.1974524787363731,-0.01370418179879565,0.13820672520646118,0.23122768388939083
I5,B3,106,0.1792452830188679,0.18704272176856715,0.6226415094339622,0.9005169845488797,0.20321730535594132,-0.01617458358737417,0.11786105495852325,0.26306566133111564
I4,B4,131,0.183206106870229,0.18893706069129126,0.6335877862595419,0.9096372772727839,0.20904805188582679,-0.02011099119453552,0.1263170931455936,0.25814586190685307
I2,B4,79,0.20253164556962025,0.20427090233790593,0.6962025316455697,0.9834620415330311,0.23385968936814688,-0.029588787030240954,0.12869001243979505,0.303962181626954
I5,B7,41,0.24390243902439024,0.22602762195321982,0.6585365853658537,1.0882097449261627,0.2568811598333357,-0.030853537880115883,0.13824855751022433,0.39343630654458195
I7,B5,40,0.125,0.1663529672276351,0.625,0.80090618336887,0.19889112310230045,-0.03253815587466535,0.05459419773541284,0.26112420670238146
I7,B6,36,0.19444444444444445,0.20142417602908957,0.6666666666666666,0.9697564807541241,0.23486776167929932,-0.033443585650209745,0.09752972019453349,0.350283620635152
I1,B4,209,0.17703349282296652,0.18196079268357754,0.583732057416268,0.8760500423870321,0.21672498020216488,-0.03476418751858734,0.13125265631066352,0.23447284096054666
I3,B2,83,0.21686746987951808,0.2138881087659415,0.6626506024096386,1.029764071627923,0.2496744013133823,-0.03578629254744081,0.14181449316941397,0.3169702367296206
I3,B4,72,0.1388888888888889,0.16346640516259647,0.5277777777777778,0.7870088333840998,0.20959251499761233,-0.04612610983501586,0.077226478114719,0.23713397841573391
I4,B6,93,0.17204301075268819,0.18276870209181056,0.7311827956989247,0.8799397213716593,0.23389524247069451,-0.05112654037888395,0.10876471240246265,0.26134069684315087
I3,B6,53,0.18867924528301888,0.19686276750764306,0.6792452830188679,0.9477955842905288,0.2513218679404422,-0.05445910043279914,0.10585211943149554,0.31358716447325025
I7,B2,41,0.2926829268292683,0.25071897997791115,0.8292682926829268,1.2070862618126297,0.31303319232081644,-0.062314212342905295,0.1760901763305888,0.44479757076139725
I5,B4,123,0.15447154471544716,0.16753519863933009,0.6422764227642277,0.8065980352401009,0.24742052384777455,-0.07988532520844446,0.10117712466277536,0.22869572462326332
