intent_profile,spot_profile,n,scheduled_visit_rate,smoothed_visit_rate,positive_response_rate,lift_vs_global,expected_model_probability,residual_synergy,wilson_low,wilson_high
I3,S3,84,0.27380952380952384,0.25248578530815163,0.7142857142857143,1.2155925441914848,0.18471225806976913,0.06777352723838251,0.18992693848374492,0.3774762053569865
I6,S1,205,0.24390243902439024,0.23799280562535022,0.6780487804878049,1.145816108959575,0.1716923817236008,0.06630042390174942,0.19017998996695418,0.3070466162264479
I5,S3,117,0.2564102564102564,0.24400151196312614,0.6837606837606838,1.174745019216927,0.18122020004483266,0.06278131191829348,0.1859156601937761,0.3423924721050348
I6,S7,61,0.22950819672131148,0.22087363740802776,0.639344262295082,1.0633958918279887,0.16321276043783842,0.057660876970189345,0.141931023788832,0.34913643907451497
I2,S4,90,0.25555555555555554,0.2408325952170062,0.6333333333333333,1.1594882729211087,0.18346326077564254,0.05736933444136366,0.17674636135607297,0.35437842765008193
I3,S4,66,0.25757575757575757,0.23875695639821515,0.5909090909090909,1.1494951120408736,0.18722761898154733,0.05152933741666782,0.16748707345896682,0.37433327429938923
I6,S3,81,0.2222222222222222,0.21742344940670086,0.654320987654321,1.046784965373839,0.16762369313317607,0.04979975627352479,0.1454449167155174,0.32415490224122073
I5,S6,69,0.2318840579710145,0.22301135209367712,0.7246376811594203,1.073687916903034,0.1734360972194691,0.049575254874208025,0.14807779670568114,0.3439707030526986
I2,S6,46,0.2608695652173913,0.23614229509547446,0.7391304347826086,1.1369068279863142,0.18733151923411562,0.048810775861358846,0.15600735194449333,0.402594298082793
I4,S7,90,0.26666666666666666,0.2485249029093139,0.6777777777777778,1.1965228801049697,0.20417619155923508,0.04434871135007881,0.18623692042961365,0.3662003781671706
I6,S4,81,0.20987654320987653,0.2091589865967835,0.654320987654321,1.00699571798622,0.16762326213147788,0.04153572446530562,0.1353706249001661,0.3106558526768715
I4,S1,202,0.23267326732673269,0.22854643544715209,0.6633663366336634,1.1003365698073975,0.187253719861503,0.04129271558564909,0.17972362036282863,0.295601095340897
I2,S5,33,0.30303030303030304,0.2507977723042576,0.7575757575757576,1.2074656073838244,0.21128774051567506,0.039510031788582534,0.17375347814547223,0.4733845397473445
I7,S1,73,0.2465753424657534,0.2328162599841664,0.7534246575342466,1.120893635488801,0.20036257155445455,0.03245368842971186,0.16204336317654705,0.35644662141513245
I4,S5,57,0.22807017543859648,0.21967255029083305,0.631578947368421,1.0576132591827314,0.1903521982971032,0.029320351993729843,0.13841760968495653,0.3520625880744711
I3,S5,43,0.3023255813953488,0.2567257515447085,0.627906976744186,1.236005857117168,0.22823414108801424,0.028491610456694266,0.18601827946182872,0.4510564575240983
I7,S5,39,0.23076923076923078,0.21909161238241526,0.6153846153846154,1.0548163342419907,0.1920155255600512,0.027076086822364065,0.1264566242878376,0.38336560457382957
I1,S5,114,0.22807017543859648,0.22278076219617407,0.6491228070175439,1.072577742087337,0.19756048925185507,0.025220272944319,0.16065986333040766,0.3132101452234477
I5,S1,167,0.2215568862275449,0.21888037380778166,0.6227544910179641,1.0537993263496184,0.19390522851568917,0.024975145292092493,0.16522886359243172,0.29040723440711874
I6,S5,64,0.203125,0.2048868978674116,0.640625,0.9864277513531244,0.1803869899569597,0.024499907910451896,0.12273302562695812,0.3171386755121659
I2,S2,84,0.20238095238095238,0.2040986885339581,0.7142857142857143,0.982632918357521,0.1815306874312614,0.02256800110269669,0.1303734963013758,0.30042011401537616
I5,S4,106,0.16037735849056603,0.17334409163158085,0.5943396226415094,0.8345649443584425,0.15280702442207572,0.020537067209505128,0.10260935199272832,0.24190128878453637
I7,S7,30,0.16666666666666666,0.19011767683158295,0.6666666666666666,0.9153213524215656,0.1706125847390157,0.01950509209256726,0.07336434240351686,0.33564705185680177
I4,S6,63,0.2222222222222222,0.21658482891466802,0.6349206349206349,1.0427474279089985,0.19811146925364206,0.01847335966102595,0.1372488386182315,0.33912515601983817
I1,S2,146,0.18493150684931506,0.1898292332161871,0.6643835616438356,0.9139326409427515,0.1737477301882947,0.016081503027892408,0.1303220534783932,0.2556962485151787
I2,S3,102,0.24509803921568626,0.23456505195923102,0.7156862745098039,1.129313192588366,0.21918961885923158,0.015375433099999447,0.17188040381978262,0.3368193890782839
I1,S7,133,0.18045112781954886,0.18675281721509135,0.6466165413533834,0.8991212393852371,0.18136728657741177,0.005385530637679575,0.12436657584839936,0.25447728449816187
I3,S1,195,0.17435897435897435,0.18003505267323747,0.6051282051282051,0.8667785691602775,0.18485685364286264,-0.004821800969625173,0.12753880342113094,0.23376184996327154
I7,S4,31,0.06451612903225806,0.14518644194663108,0.7096774193548387,0.6989999699690681,0.15089402636923735,-0.005707584422606271,0.017874407775063147,0.20718988318746434
