need_profile,spot_profile,n,scheduled_visit_rate,smoothed_visit_rate,positive_response_rate,lift_vs_global,expected_model_probability,residual_synergy,wilson_low,wilson_high
N2,S5,155,0.23225806451612904,0.22722173014467079,0.6129032258064516,1.093958777540867,0.15870924247870719,0.0685124876659636,0.1727449576065253,0.3047219024603589
N1,S6,172,0.2441860465116279,0.23730300650099437,0.6337209302325582,1.1424950718107574,0.18758412154385795,0.04971888495713642,0.18603087651705913,0.31351871811811255
N2,S4,159,0.20754716981132076,0.20757908230256686,0.5911949685534591,0.9993892704460468,0.17702893409944842,0.030550148203118438,0.15177548839413274,0.2771173743632954
N1,S4,317,0.2113564668769716,0.21094744363644483,0.6529968454258676,1.0156062424969987,0.1806973521191661,0.030250091517278727,0.17000464355965322,0.25962044246410426
N1,S5,157,0.2484076433121019,0.24014333694523252,0.6496815286624203,1.1561698397064712,0.21274859044329228,0.027394746501940237,0.18736938275892337,0.32146415284380636
N1,S3,337,0.21364985163204747,0.21301919728968383,0.6646884272997032,1.0255806982518252,0.18736524584171702,0.02565395144796681,0.17324275328521588,0.2605118118852328
N2,S7,103,0.21359223300970873,0.2119457159315441,0.6407766990291263,1.020412423397498,0.19059878076931328,0.021346935162230823,0.14549640074609002,0.3022842390047187
N3,S6,128,0.2265625,0.22207284153696907,0.7109375,1.0691694588283074,0.20124306939199776,0.02082977214497131,0.1626314704520524,0.3064283710547254
N3,S1,314,0.22611464968152867,0.22403456886500228,0.6496815286624203,1.0786141929577295,0.20693441177431338,0.017100157090688906,0.18331704913974609,0.27553289372487577
N2,S3,197,0.25380710659898476,0.2460263180515224,0.7309644670050761,1.184493445970869,0.2302219038075243,0.01580441424399809,0.19814467553664894,0.3188876524272788
N1,S1,644,0.2127329192546584,0.2124389435353959,0.6583850931677019,1.0227870671704136,0.19693186263469362,0.015507080900702297,0.1828766152016122,0.24599612159083833
N1,S7,250,0.188,0.19071805992486485,0.676,0.918211896184104,0.17602924473581066,0.014688815189054183,0.14442509786439153,0.24101842281937344
N2,S1,322,0.19254658385093168,0.19422165021605195,0.65527950310559,0.9350799279058535,0.1806197474247484,0.01360190279130355,0.1532048436536174,0.23913793885174714
N1,S2,294,0.1870748299319728,0.1895456208928467,0.7074829931972789,0.9125671897143878,0.1934770149888549,-0.003931394096008178,0.1466383995369554,0.23558356005498887
N3,S3,158,0.18354430379746836,0.18842544130409497,0.6012658227848101,0.9071740862785638,0.1931973932803111,-0.004771951976216132,0.1309433835179178,0.2511685086037617
N3,S2,130,0.2,0.20181316104829886,0.6153846153846154,0.971629248714411,0.2115324134097385,-0.00971925236143964,0.140298557361553,0.27692299408433524
N2,S6,128,0.203125,0.20421569867982622,0.640625,0.9831962635800588,0.22463779113740262,-0.020422092457576396,0.14255643643579252,0.28099424862870914
N3,S7,118,0.1694915254237288,0.1791660593557646,0.6779661016949152,0.8625948017597366,0.2101098469175922,-0.030943787561827613,0.11248224271964079,0.24734231638004267
N3,S4,170,0.17647058823529413,0.18242017799148003,0.611764705882353,0.8782617524621789,0.21577721368930353,-0.0333570356978235,0.1265006037723213,0.2407394584452377
N2,S2,172,0.1744186046511628,0.1806992329160887,0.6104651162790697,0.8699762642314035,0.23060843434385356,-0.049909201427764865,0.12499412236734236,0.23806899807742155
N3,S5,91,0.16483516483516483,0.17792547616954812,0.6373626373626373,0.8566220153322807,0.2312998099443596,-0.05337433377481149,0.10251340708451503,0.254308915609324
