lead_profile,spot_profile,broker_profile,n,scheduled_visit_rate,smoothed_visit_rate,positive_response_rate,lift_vs_global,expected_model_probability,residual_synergy,wilson_low,wilson_high
L1,S5,B2,35,0.34285714285714286,0.2707764983761441,0.8571428571428571,1.3036531627576404,0.18522581241004135,0.08555068596610274,0.20831495282688925,0.5084835312726328
L6,S1,B1,40,0.3,0.25385296722763506,0.725,1.2221748400852877,0.16899267259139605,0.08486029463623901,0.18074670915695296,0.454303106543204
L2,S1,B3,41,0.1951219512195122,0.20133626392852846,0.6585365853658537,0.9693332280396956,0.13476577101761952,0.06657049291090894,0.10234315749205929,0.34013882352556724
L1,S1,B5,93,0.3010752688172043,0.272994266001585,0.5806451612903226,1.3143306026259678,0.20660865774205148,0.06638560825953352,0.21726167583661843,0.400671113377934
L1,S2,B4,55,0.2727272727272727,0.2453498671390611,0.6363636363636364,1.181236673773987,0.1883295173846531,0.057020349754408006,0.17280602508013648,0.40232449482414895
L2,S1,B1,56,0.23214285714285715,0.22196080602302923,0.6785714285714286,1.0686300639658848,0.1702353109239936,0.05172549509903562,0.1409924724565329,0.35768403351924316
L1,S3,B3,53,0.18867924528301888,0.19686276750764306,0.6792452830188679,0.9477955842905288,0.14575400874041308,0.05110875876722998,0.10585211943149554,0.31358716447325025
L1,S4,B6,33,0.24242424242424243,0.223400512030285,0.6060606060606061,1.07556152700295,0.17324343558643673,0.05015707644384826,0.12831561346647294,0.4102494868549029
L6,S1,B3,30,0.2,0.20440339111729725,0.7,0.9840999086201645,0.16008469546459894,0.0443186956526983,0.09504978102401235,0.37306047381027446
L1,S4,B5,48,0.125,0.16259360657057734,0.5,0.7828067454933126,0.12208701084179273,0.04050659572878461,0.05856971750400845,0.2470072708605482
L1,S6,B1,36,0.25,0.22773996550277376,0.6388888888888888,1.096453821119964,0.18878780187841762,0.038952163624356134,0.13750323839225387,0.41070767683203424
L1,S3,B1,68,0.22058823529411764,0.21581701276121115,0.6176470588235294,1.039050777856748,0.18112479262343273,0.03469222013777842,0.1384889157967965,0.3325696352377016
L1,S1,B7,34,0.17647058823529413,0.1933545591650109,0.6470588235294118,0.9309053189650205,0.1628054100003045,0.030549149164706413,0.08348855603569685,0.33514067740052156
L1,S4,B3,54,0.14814814814814814,0.1734918870022426,0.5370370370370371,0.8352765050129292,0.14903296537377994,0.024458921628462665,0.07702971308229412,0.266003674652485
L4,S1,B1,30,0.2,0.20440339111729725,0.7333333333333333,0.9840999086201645,0.18022746801122685,0.02417592310607039,0.09504978102401235,0.37306047381027446
L1,S1,B3,115,0.1826086956521739,0.18908540244006972,0.5826086956521739,0.910351468464131,0.1723878521146901,0.016697550325379618,0.12265283002248902,0.26308415096733273
L1,S4,B2,49,0.24489795918367346,0.2281824424518068,0.6122448979591837,1.0985841259193598,0.21739683400460844,0.010785608447198364,0.14602203389475285,0.38086587260315785
L1,S1,B6,61,0.19672131147540983,0.20107165721000797,0.7049180327868853,0.9680592792754754,0.19081097156835175,0.01026068564165622,0.11627688559536849,0.3131017848877781
L1,S3,B5,36,0.2222222222222222,0.21458207076593164,0.6111111111111112,1.033105150937044,0.20509306355608742,0.009489007209844219,0.11716192974839595,0.38085019827859085
L1,S2,B2,44,0.13636363636363635,0.17033615926441437,0.6363636363636364,0.8200832571834704,0.16204435130979877,0.008291807954615593,0.0640286740786005,0.2670973752174096
L2,S6,B1,40,0.275,0.24135296722763505,0.675,1.1619936034115137,0.2343379362704062,0.007015030957228857,0.1610785343314309,0.4283525083312457
L1,S4,B4,32,0.15625,0.18483663025292787,0.625,0.8898957592987444,0.18029200102261003,0.004544629230317843,0.06864319106627216,0.31754492553566527
L1,S1,B2,69,0.2463768115942029,0.23218566402028262,0.6956521739130435,1.1178576318929598,0.22788820622348682,0.0042974577967958005,0.15989647451132608,0.35960886309795215
L1,S1,B1,138,0.18840579710144928,0.19274290661916182,0.7318840579710145,0.9279605184351116,0.18873744097441178,0.004005465644750045,0.13194064080494428,0.26174922168955667
L1,S5,B1,52,0.17307692307692307,0.18813301498055224,0.5384615384615384,0.9057662000556225,0.18690889012829873,0.0012241248522535109,0.0938236875646778,0.29731123693605277
L1,S2,B1,73,0.2465753424657534,0.2328162599841664,0.6438356164383562,1.120893635488801,0.2339906341276412,-0.0011743741434747934,0.16204336317654705,0.35644662141513245
L1,S2,B3,64,0.15625,0.17604074402125774,0.703125,0.8475479744136459,0.17933625382024854,-0.003295509798990792,0.08714748876961673,0.26428290202305327
L1,S7,B3,33,0.12121212121212122,0.16860599148233982,0.6363636363636364,0.811753366241201,0.17758716177613051,-0.008981170293790697,0.04816083267584231,0.2732584325026516
L1,S4,B1,66,0.22727272727272727,0.21988903186991327,0.7272727272727273,1.0586555095144223,0.23286141456934592,-0.012972382699432655,0.14285105087244676,0.34169684035570386
L1,S5,B4,47,0.14893617021276595,0.17595675147368744,0.5957446808510638,0.847143592382913,0.19013399295091185,-0.014177241477224406,0.07406626087497505,0.2768589657111277
L1,S7,B1,31,0.12903225806451613,0.1733554560311381,0.6451612903225806,0.8346196582479953,0.19240462540935088,-0.01904916937821277,0.05134201164644764,0.28852756954385356
L1,S2,B6,33,0.15151515151515152,0.18230462161932612,0.6363636363636364,0.8777054064316383,0.2075190327832173,-0.02521441116389117,0.06650359257960958,0.3092021313846048
L1,S3,B4,56,0.17857142857142858,0.19071080602302923,0.6964285714285714,0.9181769722814498,0.2215737814937832,-0.03086297547075398,0.0999974974134418,0.2984143097574895
L1,S6,B4,44,0.13636363636363635,0.17033615926441437,0.6363636363636364,0.8200832571834704,0.20870404164387474,-0.03836788237946037,0.0640286740786005,0.2670973752174096
L1,S3,B6,34,0.17647058823529413,0.1933545591650109,0.7058823529411765,0.9309053189650205,0.2325488223657529,-0.039194263200741986,0.08348855603569685,0.33514067740052156
L2,S4,B1,30,0.1,0.16154624826015437,0.7666666666666667,0.777764240024368,0.20562617683698214,-0.04407992857682777,0.034599259959716175,0.2562144131526662
L1,S3,B2,60,0.15,0.17308237378210806,0.7,0.8333049040511726,0.2225477697812756,-0.04946539599916755,0.08097349242295689,0.26114825891159615
L1,S5,B3,44,0.11363636363636363,0.15843139735965245,0.6363636363636364,0.762767793684638,0.23818097167753646,-0.07974957431788401,0.04952707589567494,0.23979435148133582
L1,S1,B4,78,0.19230769230769232,0.19752743540856615,0.6410256410256411,0.9509956271909219,0.28442658167721097,-0.08689914626864481,0.12015101048823744,0.2933501918342978
